,0,1,2,3
0,George Sand,"There is only one happiness in this life, to love and be loved.","[love, happiness, loved]",life
1,Charles R. Swindoll,Life is 10% what happens to you and 90% how you react to it.,"[motivational, you, react]",life
2,Hubert H. Humphrey,"The greatest gift of life is friendship, and I have received it.","[friendship, greatest, gift]",life
3,Joseph Campbell,"We must let go of the life we have planned, so as to accept the one that is waiting for us.","[inspirational, waiting]",life
4,Bradley Whitford,"Infuse your life with action. Don't wait for it to happen. Make it happen. Make your own future. Make your own hope. Make your own love. And whatever your beliefs, honor your creator, not by passively waiting for grace to come down from upon high, but by doing what you can to make grace happen... yourself, right now, right down here on Earth.","[motivational, love, hope]",life
5,Elbert Hubbard,Do not take life too seriously. You will never get out of it alive.,"[funny, seriously, you]",life
6,Confucius,"Life is really simple, but we insist on making it complicated.","[simple, complicated, insist]",life
7,Voltaire,God gave us the gift of life; it is up to us to give ourselves the gift of living well.,"[birthday, god, gift]",life
8,Steve Jobs,"Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work. And the only way to do great work is to love what you do. If you haven't found it yet, keep looking. Don't settle. As with all matters of the heart, you'll know when you find it.","[inspirational, love, work]",life
9,Omar Khayyam,Be happy for this moment. This moment is your life.,"[happiness, happy, moment]",life
10,Arthur Rubinstein,"I have found that if you love life, life will love you back.","[love, love life, you]",life
11,Kevyn Aucoin,"Today I choose life. Every morning when I wake up I can choose joy, happiness, negativity, pain... To feel the freedom that comes from being able to continue to make mistakes and choices - today I choose to feel life, not to deny my humanity but embrace it.","[inspirational, happiness]",life
12,Bertrand Russell,The good life is one inspired by love and guided by knowledge.,"[love, knowledge, good]",life
13,Thomas S. Monson,"The spirit of Christmas is the spirit of love and of generosity and of goodness. It illuminates the picture window of the soul, and we look out upon the world's busy life and become more interested in people than in things.","[christmas, love, soul]",life
14,Yoko Ono,Smile in the mirror. Do that every morning and you'll start to see a big difference in your life.,"[smile, morning, mirror]",life
15,Buddha,"Do not dwell in the past, do not dream of the future, concentrate the mind on the present moment.","[future, past, mind]",life
16,Phillips Brooks,Be patient and understanding. Life is too short to be vengeful or malicious.,"[patience, short]",life
17,George Bernard Shaw,Life isn't about finding yourself. Life is about creating yourself.,"[yourself, finding]",life
18,Audrey Hepburn,The best thing to hold onto in life is each other.,"[love, best, hold]",life
19,Maya Angelou,"My mission in life is not merely to survive, but to thrive; and to do so with some passion, some compassion, some humor, and some style.","[inspirational, passion]",life
20,William James,Believe that life is worth living and your belief will help create the fact.,"[positive, believe, help]",life
21,Joyce Meyer,You cannot have a positive life and a negative mind.,"[positive, mind, negative]",life
22,William Barclay,There are two great days in a person's life - the day we are born and the day we discover why.,"[birthday, great, day]",life
23,Kim Kardashian,"At the end of the day, life is about being happy being who you are, and I feel like we are so blessed to have the support system and the best family to really just support each other no matter what we're going through.","[family, best, happy]",life
24,Abraham Lincoln,"In the end, it's not the years in your life that count. It's the life in your years.","[end, count, in the end]",life
25,Oscar Wilde,Keep love in your heart. A life without it is like a sunless garden when the flowers are dead.,"[love, flowers, heart]",life
