,0,1,2,3
0,Ralph Marston,"What if you gave someone a gift, and they neglected to thank you for it - would you be likely to give them another? Life is the same way. In order to attract more of the blessings that life has to offer, you must truly appreciate what you already have.","[gift, thank you, blessings]",life
1,Woody Allen,Seventy percent of success in life is showing up.,"[success, showing up, seventy]",life
2,Samuel Smiles,Life will always be to a large extent what we ourselves make it.,"[always, will, ourselves]",life
3,Henry Miller,"The aim of life is to live, and to live means to be aware, joyously, drunkenly, serenely, divinely aware.","[live, aim, aware]",life
4,Fidel Castro,I am a Marxist Leninist and I will be one until the last day of my life.,"[day, i am, my life]",life
5,Hillary Clinton,The worst thing that can happen in a democracy - as well as in an individual's life - is to become cynical about the future and lose hope.,"[hope, future, democracy]",life
6,Arthur Miller,"The closer a man approaches tragedy the more intense is his concentration of emotion upon the fixed point of his commitment, which is to say the closer he approaches what in life we call fanaticism.","[man, commitment, tragedy]",life
7,Jane Goodall,"You cannot share your life with a dog, as I had done in Bournemouth, or a cat, and not know perfectly well that animals have personalities and minds and feelings.","[pet, dog, animals]",life
8,Frank Sinatra,"I'm not one of those complicated, mixed-up cats. I'm not looking for the secret to life... I just go on from day to day, taking what comes.","[day, cats, looking]",life
9,John Wooden,Don't let making a living prevent you from making a life.,"[money, living, you]",life
10,Jeffrey Kluger,"It's one of the worst-kept secrets of family life that all parents have a preferred son or daughter, and the rules for acknowledging it are the same everywhere: The favored kids recognize their status and keep quiet about it - the better to preserve the good thing they've got going and to keep their siblings off their back.","[family, good, daughter]",life
11,Edgar Allan Poe,"Man's real life is happy, chiefly because he is ever expecting that it soon will be so.","[happy, man, real]",life
12,Rudolf Diesel,"The automobile engine will come, and then I will consider my life's work complete.","[work, car, automobile]",life
13,Adam Johnson,"But, in North Korea, it's just the opposite. There's one story. It's written by the Kim regime. And 23 million people are conscripted to be secondary characters. There, as a youth, your aptitude towards certain jobs is measured, and the rest of your life is dictated, whether you'll be a fisherman or a farmer or an opera singer.","[youth, people, story]",life
14,Kirk Cameron,"It is my goal to love everyone. I hate no one. Regardless of their race, religion, their proclivities, the desire of their heart and how they want to live their life and the decisions that they make. I can even respect people's decisions and lifestyle choices just as I hope they have the courtesy to respect my decisions and my choices.","[love, hope, respect]",life
15,Leland Ryken,"For the Puritans, the God-centered life meant making the quest for spiritual and moral holiness the great business of life.","[business, great, spiritual]",life
16,Magic Johnson,"Just celebrate the life you had, not the life you could've had.","[celebrate, you, just]",life
17,Patrick Henry,"Is life so dear or peace so sweet as to be purchased at the price of chains and slavery? Forbid it, Almighty God! I know not what course others may take, but as for me, give me liberty, or give me death!","[death, peace, god]",life
18,Leo Buscaglia,Life lived for tomorrow will always be just a day away from being realized.,"[day, tomorrow, lived]",life
19,Arthur Miller,The theater is so endlessly fascinating because it's so accidental. It's so much like life.,"[theater, much, like]",life
20,Marcus Aurelius,Nothing has such power to broaden the mind as the ability to investigate systematically and truly all that comes under thy observation in life.,"[science, power, mind]",life
21,Anais Nin,"There is not one big cosmic meaning for all, there is only the meaning we each give to our life, an individual meaning, an individual plot, like an individual novel, a book for each person.","[book, meaning, individual]",life
22,Arnold H. Glasow,Make your life a mission - not an intermission.,"[mission, your, make]",life
23,Emma Goldman,"The ultimate end of all revolutionary social change is to establish the sanctity of human life, the dignity of man, the right of every human being to liberty and well-being.","[change, end, man]",life
24,Rollo May,"Joy, rather than happiness, is the goal of life, for joy is the emotion which accompanies our fulfilling our natures as human beings. It is based on the experience of one's identity as a being of worth and dignity.","[happiness, experience, joy]",life
25,Woodrow Wilson,"Business underlies everything in our national life, including our spiritual life. Witness the fact that in the Lord's Prayer, the first petition is for daily bread. No one can worship God or love his neighbor on an empty stomach.","[love, business, god]",life
