,0,1,2,3
0,George Sand,"There is only one happiness in this life, to love and be loved.","[life, happiness, loved]",love
1,Joel Osteen,"Christmas is the perfect time to celebrate the love of God and family and to create memories that will last forever. Jesus is God's perfect, indescribable gift. The amazing thing is that not only are we able to receive this gift, but we are able to share it with others on Christmas and every other day of the year.","[christmas, family, time]",love
2,Jenn Proske,Love yourself. It is important to stay positive because beauty comes from the inside out.,"[positive, beauty]",love
3,"H. Jackson Brown, Jr.",Love is when the other person's happiness is more important than your own.,"[happiness, love is]",love
4,Bradley Whitford,"Infuse your life with action. Don't wait for it to happen. Make it happen. Make your own future. Make your own hope. Make your own love. And whatever your beliefs, honor your creator, not by passively waiting for grace to come down from upon high, but by doing what you can to make grace happen... yourself, right now, right down here on Earth.","[motivational, life, hope]",love
5,Richard Bach,"If you love someone, set them free. If they come back they're yours; if they don't they never were.","[relationship, free, someone]",love
6,Euripides,"Friends show their love in times of trouble, not in happiness.","[friendship, happiness]",love
7,Steve Jobs,"Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work. And the only way to do great work is to love what you do. If you haven't found it yet, keep looking. Don't settle. As with all matters of the heart, you'll know when you find it.","[inspirational, life, work]",love
8,Arthur Rubinstein,"I have found that if you love life, life will love you back.","[life, love life, you]",love
9,Mother Teresa,"I have found the paradox, that if you love until it hurts, there can be no more hurt, only more love.","[hurt, you, paradox]",love
10,Bertrand Russell,The good life is one inspired by love and guided by knowledge.,"[life, knowledge, good]",love
11,Dale Evans,"Christmas, my child, is love in action. Every time we love, every time we give, it's Christmas.","[christmas, time, action]",love
12,Mother Teresa,"Let us always meet each other with smile, for the smile is the beginning of love.","[smile, beginning, meet]",love
13,Lao Tzu,"Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.","[strength, courage, loved]",love
14,Thomas S. Monson,"The spirit of Christmas is the spirit of love and of generosity and of goodness. It illuminates the picture window of the soul, and we look out upon the world's busy life and become more interested in people than in things.","[christmas, life, soul]",love
15,William Shakespeare,"Love all, trust a few, do wrong to none.","[trust, wrong, few]",love
16,Jean de La Fontaine,"Rare as is true love, true friendship is rarer.","[friendship, true love, true]",love
17,Pele,"Success is no accident. It is hard work, perseverance, learning, studying, sacrifice and most of all, love of what you are doing or learning to do.","[success, work, hard work]",love
18,Ann Landers,"Love is friendship that has caught fire. It is quiet understanding, mutual confidence, sharing and forgiving. It is loyalty through good and bad times. It settles for less than perfection and makes allowances for human weaknesses.","[friendship, good, confidence]",love
19,Johnny Weir,"Love myself I do. Not everything, but I love the good as well as the bad. I love my crazy lifestyle, and I love my hard discipline. I love my freedom of speech and the way my eyes get dark when I'm tired. I love that I have learned to trust people with my heart, even if it will get broken. I am proud of everything that I am and will become.","[trust, freedom, good]",love
20,Audrey Hepburn,The best thing to hold onto in life is each other.,"[life, best, hold]",love
21,Oscar Wilde,Keep love in your heart. A life without it is like a sunless garden when the flowers are dead.,"[life, flowers, heart]",love
22,"Martin Luther King, Jr.",Love is the only force capable of transforming an enemy into a friend.,"[friendship, love is, enemy]",love
23,Audrey Hepburn,"The beauty of a woman must be seen from in her eyes, because that is the doorway to her heart, the place where love resides.","[beauty, eyes, heart]",love
24,Douglas Adams,I love deadlines. I like the whooshing sound they make as they fly by.,"[funny, fly, sound]",love
25,Albert Schweitzer,"Success is not the key to happiness. Happiness is the key to success. If you love what you are doing, you will be successful.","[success, happiness]",love
