,0,1,2,3
0,Beyonce Knowles,Y'all are so cute and y'all talk so proper over here. I love England.,"[cute, talk, england]",love
1,Sherman Hemsley,"I'm just an old hippie. You know, peace and love.","[peace, know, you]",love
2,Jessica Simpson,"I love to be comfortable, but I also love to play up the glamour.","[play, glamour, comfortable]",love
3,Bernie Mac,"I love my daughter, but there's a certain feeling, a certain emotion when you got a granddaughter, you know?","[daughter, know, feeling]",love
4,Cameron Diaz,"When I go out, I love steak and caviar.","[go, steak, caviar]",love
5,Lucille Ball,"Once in his life, every man is entitled to fall madly in love with a gorgeous redhead.","[life, man, fall]",love
6,Mahatma Gandhi,Man's nature is not essentially evil. Brute nature has been known to yield to the influence of love. You must never despair of human nature.,"[nature, evil, man]",love
7,Don Miguel Ruiz,Be Impeccable With Your Word. Speak with integrity. Say only what you mean. Avoid using the word to speak against yourself or to gossip about others. Use the power of your word in the direction of truth and love.,"[motivational, truth, power]",love
8,Colleen Haskell,"I love graphic design. I love working with design, and I love storytelling, so I've been working on a children's book for a while, and I'd like to see that through.","[children, book, design]",love
9,Kenny Loggins,"My trust in a higher power that wants me to survive and have love in my life, is what keeps me moving forward.","[life, trust, power]",love
10,Rachael Leigh Cook,"Yeah, I definitely want to find that right person and fall in love and have kids someday.","[right person, fall, find]",love
11,Henny Youngman,"I've been in love with the same woman for forty-one years. If my wife finds out, she'll kill me.","[anniversary, woman, wife]",love
12,Michel de Montaigne,"If there is such a thing as a good marriage, it is because it resembles friendship rather than love.","[friendship, marriage, good]",love
13,William Howard Taft,"I love judges, and I love courts. They are my ideals, that typify on earth what we shall meet hereafter in heaven under a just God.","[god, earth, heaven]",love
14,Pearl S. Buck,A good marriage is one which allows for change and growth in the individuals and in the way they express their love.,"[change, marriage, good]",love
15,Oscar Hammerstein II,"Do you love me because I'm beautiful, or am I beautiful because you love me?","[beautiful, me, love me]",love
16,Geoffrey Chaucer,Love is blind.,"[love is, blind]",love
17,Cyril Connolly,"We love but once, for once only are we perfectly equipped for loving.","[loving, only, perfectly]",love
18,Francois de La Rochefoucauld,"There is no disguise which can hide love for long where it exists, or simulate it where it does not.","[long, hide, where]",love
19,Francis of Assisi,"Lord, grant that I might not so much seek to be loved as to love.","[loved, much, lord]",love
20,Truman Capote,"Love, having no geography, knows no boundaries.","[boundaries, geography, knows]",love
21,Virgil,Love conquers all.,[conquers],love
22,Virginia Satir,We need 4 hugs a day for survival. We need 8 hugs a day for maintenance. We need 12 hugs a day for growth.,"[growth, day, survival]",love
23,Gilbert Parker,Love knows not distance; it hath no continent; its eyes are for the stars.,"[stars, eyes, distance]",love
24,Haniel Long,"So much of what is best in us is bound up in our love of family, that it remains the measure of our stability because it measures our sense of loyalty. All other pacts of love or fear derive from it and are modeled upon it.","[family, best, fear]",love
25,Ingrid Newkirk,"Although we have, in theory, abolished human slavery, recognized women's rights, and stopped child labor, we continue to enslave other species who, if we simply pay attention, show quite clearly that they experience parental love, pain, and the desire for freedom, just as we do.","[experience, women, freedom]",love
