,0,1,2,3
0,Mignon McLaughlin,"A successful marriage requires falling in love many times, always with the same person.","[love, successful]",marriage
1,Michel de Montaigne,A good marriage would be between a blind wife and a deaf husband.,"[good, wife, husband]",marriage
2,Barbara De Angelis,"The real act of marriage takes place in the heart, not in the ballroom or church or synagogue. It's a choice you make - not just on your wedding day, but over and over again - and that choice is reflected in the way you treat your husband or wife.","[wedding, heart, day]",marriage
3,Franz Schubert,"Happy is the man who finds a true friend, and far happier is he who finds that true friend in his wife.","[happy, true friend, man]",marriage
4,Martin Luther,"There is no more lovely, friendly and charming relationship, communion or company than a good marriage.","[relationship, anniversary]",marriage
5,Friedrich Nietzsche,"It is not a lack of love, but a lack of friendship that makes unhappy marriages.","[love, friendship, unhappy]",marriage
6,Martin Luther,"Let the wife make the husband glad to come home, and let him make her sorry to see him leave.","[home, wife, sorry]",marriage
7,Zsa Zsa Gabor,A man in love is incomplete until he has married. Then he's finished.,"[love, love is, man]",marriage
8,John Florio,A good husband makes a good wife.,"[good, wife, husband]",marriage
9,Barack Obama,"I believe marriage is between a man and a woman. I am not in favor of gay marriage. But when you start playing around with constitutions, just to prohibit somebody who cares about another person, it just seems to me that's not what America's about. Usually, our constitutions expand liberties, they don't contract them.","[woman, believe, man]",marriage
10,Winston Churchill,My most brilliant achievement was my ability to be able to persuade my wife to marry me.,"[achievement, wife, me]",marriage
11,Simone Signoret,"Chains do not hold a marriage together. It is threads, hundreds of tiny threads, which sew people together through the years.","[anniversary, together]",marriage
12,Zig Ziglar,Many people spend more time in planning the wedding than they do in planning the marriage.,"[time, wedding, planning]",marriage
13,Socrates,"By all means, marry. If you get a good wife, you'll become happy; if you get a bad one, you'll become a philosopher.","[good, happy, wife]",marriage
14,Julia Child,The secret of a happy marriage is finding the right person. You know they're right if you love to be with them all the time.,"[love, time, anniversary]",marriage
15,Pope John Paul II,"Marriage is an act of will that signifies and involves a mutual gift, which unites the spouses and binds them to their eventual souls, with whom they make up a sole family - a domestic church.","[family, anniversary, gift]",marriage
16,Dada Vaswani,"Marriage is a commitment for life. It is a permanent, lifelong relationship.","[life, relationship]",marriage
17,Prince Philip,"When a man opens a car door for his wife, it's either a new car or a new wife.","[car, man, wife]",marriage
18,Dick Gregory,"Political promises are much like marriage vows. They are made at the beginning of the relationship between candidate and voter, but are quickly forgotten.","[relationship, beginning]",marriage
19,Zsa Zsa Gabor,Getting divorced just because you don't love a man is almost as silly as getting married just because you do.,"[love, man, silly]",marriage
20,Keith O'Brien,Same-sex marriage would eliminate entirely in law the basic idea of a mother and a father for every child. It would create a society which deliberately chooses to deprive a child of either a mother or a father.,"[father, mother, society]",marriage
21,Audrey Hepburn,"If I get married, I want to be very married.","[want, married, get]",marriage
22,Joseph Campbell,"When people get married because they think it's a long-time love affair, they'll be divorced very soon, because all love affairs end in disappointment. But marriage is a recognition of a spiritual identity.","[love, end, spiritual]",marriage
23,Johnny Vegas,It's lovely being a parent and being in a strong marriage with somebody who is your best friend.,"[best, best friend, strong]",marriage
24,Amy Grant,"Every good relationship, especially marriage, is based on respect. If it's not based on respect, nothing that appears to be good will last very long.","[relationship, respect, good]",marriage
25,Honore de Balzac,One should believe in marriage as in the immortality of the soul.,"[anniversary, soul, believe]",marriage
