,0,1,2,3
0,Justin Timberlake,"I think it's important to remember that you go into something like marriage knowing that you don't know very much about it at all. But I do look at the marriage of my mother and stepdad, and what makes it work for them is that it's a team effort.","[work, mother, team]",marriage
1,Jessica Simpson,"A marriage doesn't have to be perfect, but you can be perfect for each other.","[perfect, you, other]",marriage
2,Erma Bombeck,"Marriage has no guarantees. If that's what you're looking for, go live with a car battery.","[car, looking, live]",marriage
3,Roseanne Barr,Take this marriage thing seriously - it has to last all the way to the divorce.,"[divorce, seriously, way]",marriage
4,Roseanne Barr,"I was raised on government cheese. As an adult, in my first marriage, my husband and I worked real hard just to go bankrupt. I happened to write some jokes about it. I did real well for myself.","[myself, government, husband]",marriage
5,Richard Corliss,"You know the fairy-tale drill, especially from the Disney versions: the heroines endure awful stuff in rites of passage that lead to a joyous resolution of, usually, marriage to a prince. 'Into the Woods' follows that template, then asks, 'What happens after Happy Ever After?'","[happy, resolution, know]",marriage
6,Sean Bean,Of course I believe in love despite four divorces. There is nobody who doesn't believe in love. But marriage - that fits some people but obviously not me.,"[love, believe, people]",marriage
7,Joan Collins,I am a fan of marriage and a fan of being committed to the right person.,"[i am, right person, right]",marriage
8,Joan Collins,"Having had five husbands, I guess I should know a thing or two about marriage.","[know, two, five]",marriage
9,Elvis Presley,"When I get married, it'll be no secret.","[secret, married, get]",marriage
10,Nancy Pelosi,"A successful marriage is a decision. You decide it's going to work. You can't always be there, but you have to be there enough. And you have to make sure you are where you're needed most.","[work, decision, successful]",marriage
11,Sonia Sotomayor,"If I write a book where all I've ever experienced is success, people won't take a positive lesson from it. In being candid, I have to own up to my own failures, both in my marriage and in my work environment.","[positive, success, work]",marriage
12,Tia Mowry,"I think it's something that needs to be said - that there are interracial marriages out there, and the couples live happy lives, and there's nothing wrong with it.","[happy, live, nothing]",marriage
13,Warren Farrell,"When women hold off from marrying men, we call it independence. When men hold off from marrying women, we call it fear of commitment.","[women, fear, men]",marriage
14,Lauren Bacall,"I put my career in second place throughout both my marriages and it suffered. I don't regret it. You make choices. If you want a good marriage, you must pay attention to that. If you want to be independent, go ahead. You can't have it all.","[good, choices, regret]",marriage
15,Samuel Richardson,"Marriage is the highest state of friendship. If happy, it lessens our cares by dividing them, at the same time that it doubles our pleasures by mutual participation.","[friendship, time, happy]",marriage
16,Susan B. Anthony,"Marriage, to women as to men, must be a luxury, not a necessity; an incident of life, not all of it.","[life, women, men]",marriage
17,Susan B. Anthony,"If women will not accept marriage with subjection, nor men proffer it without, there is, there can be, no alternative. The women who will not be ruled must live without marriage. And during this transition period... single women make comfortable and attractive homes for themselves.","[women, men, transition]",marriage
18,Euripides,"It's not beauty but fine qualities, my girl, that keep a husband.","[beauty, girl, husband]",marriage
19,Barbara Bush,"I married the first man I ever kissed. When I tell this to my children, they just about throw up.","[children, man, first]",marriage
20,Rita Rudner,In Hollywood a marriage is a success if it outlasts milk.,"[success, hollywood, milk]",marriage
21,Jean de la Bruyere,"Marriage, it seems, confines every man to his proper rank.","[man, every, seems]",marriage
22,Bette Davis,"I'd marry again if I found a man who had fifteen million dollars, would sign over half to me, and guarantee that he'd be dead within a year.","[man, year, me]",marriage
23,Cher,Husbands are like fires - they go out when they're left unattended.,"[go, left, like]",marriage
24,Helen Rowland,It isn't tying himself to one woman that a man dreads when he thinks of marrying; it's separating himself from all the others.,"[woman, man, others]",marriage
25,Helen Rowland,"A husband is what is left of a lover, after the nerve has been extracted.","[husband, left, been]",marriage
