,0,1,2,3
0,Jasmine Guy,"It is a full time job being honest one moment at a time, remembering to love, to honor, to respect. It is a practice, a discipline, worthy of every moment.","[love, time, respect]",marriage
1,Anna Benson,"But marriage goes in waves. You've got to be patient. People bail and give up on their marriages way too early. They just don't put the work and the effort into it. You've got to suck up your ego a lot of times, because that can be a big downfall.","[work, effort, people]",marriage
2,Miroslav Volf,"In a way, fraud in business is no different from infidelity in marriage or plagiarism in scholarly work. Even people committed to high moral standards succumb.","[work, business, people]",marriage
3,John Ridley,"Gay marriage will be universally accepted in time. But if I may be so bold as to say to gays and lesbians, don't wait for that time to arrive. Just as my father and his generation did not 'wait' for their civil rights, nor should you. The toothpaste ain't going back in the tube. The tide has turned.","[time, father, generation]",marriage
4,Snoop Dogg,"When I heard the royal family wanted to have me perform in celebration of Prince William's marriage, I knew I had to give them a little something. 'Wet' is the perfect anthem for Prince William or any playa to get the club smokin'.","[family, me, perfect]",marriage
5,William Hazlitt,"Even in the common affairs of life, in love, friendship, and marriage, how little security have we when we trust our happiness in the hands of others!","[life, love, friendship]",marriage
6,Kyle Chandler,"I love the institution of marriage, and I love my marriage.","[love, anniversary]",marriage
7,Doris Lessing,I do not think that marriage is one of my talents. I've been much happier unmarried than married.,"[think, talents, much]",marriage
8,Marilyn Monroe,"Experts on romance say for a happy marriage there has to be more than a passionate love. For a lasting union, they insist, there must be a genuine liking for each other. Which, in my book, is a good definition for friendship.","[love, friendship]",marriage
9,Gordon B. Hinckley,If there were no immortality there would be no need for temples. There would be no need for eternal marriage if there were no eternity.,"[immortality, eternity, need]",marriage
10,Oscar Wilde,"How marriage ruins a man! It is as demoralizing as cigarettes, and far more expensive.","[man, cigarettes, more]",marriage
11,Rainer Maria Rilke,More belongs to marriage than four legs in a bed.,"[four, bed, legs]",marriage
12,Mel Gibson,"After about 20 years of marriage, I'm finally starting to scratch the surface of what women want. And I think the answer lies somewhere between conversation and chocolate.","[women, anniversary]",marriage
13,Voltaire,"Friendship is the marriage of the soul, and this marriage is liable to divorce.","[friendship, soul, divorce]",marriage
14,Pearl S. Buck,Nothing in life is as good as the marriage of true minds between man and woman. As good? It is life itself.,"[life, good, woman]",marriage
15,Omar Khayyam,"You know, my friends, with what a brave carouse I made a Second Marriage in my house; favored old barren reason from my bed, and took the daughter of the vine to spouse.","[daughter, friends, brave]",marriage
16,Douglas William Jerrold,Marriage is like wine. It is not be properly judged until the second glass.,"[wine, glass, like]",marriage
17,Nick Cave,"Getting married, for me, was the best thing I ever did. I was suddenly beset with an immense sense of release, that we have something more important than our separate selves, and that is the marriage. There's immense happiness that can come from working towards that.","[happiness, best, wedding]",marriage
18,Stephen Harper,I have no difficulty with the recognition of civil unions for non-traditional relationships but I believe in law we should protect the traditional definition of marriage.,"[believe, law, i believe]",marriage
19,Stockwell Day,Our national media refuses to report that even the Supreme Court did not say marriage was a human right in all cases nor did it say that the heterosexual definition violated anyone's right or that the heterosexual definition of marriage was unconstitutional.,"[media, supreme court, court]",marriage
20,Giacomo Casanova,Marriage is the tomb of love.,"[love, tomb]",marriage
21,Rod Parsley,"It was the courts, of course, that took away prayer from our schools, that took away Bible reading from our schools. It's the courts that gave us same-sex marriage. So it is quite a battlefield, and the Supreme Court is the highest court in the land.","[prayer, reading, bible]",marriage
22,Vanessa Kerry,"I think there is a generation gap. I personally look forward to, as our generation becomes the leaders, you are gonna see a change, and I think hopefully gay marriage will be a part of that country.","[change, generation, gay]",marriage
23,Tony Campolo,"I don't know of many evangelicals who want to deny gay couples their legal rights. However, most of us don't want to call it marriage, because we think that word has religious connotations, and we're not ready to see it used in ways that offend us.","[gay, legal, know]",marriage
24,Donald Johanson,"When the first fossils began to be found in eastern Africa, in the late 1950s, I thought, what a wonderful marriage this was, biology and anthropology. I was around 16 years old when I made this particular choice of academic pursuit.","[thought, choice, late]",marriage
25,Barack Obama,I opposed the Defense of Marriage Act in 1996. It should be repealed and I will vote for its repeal on the Senate floor. I will also oppose any proposal to amend the U.S. Constitution to ban gays and lesbians from marrying.,"[constitution, vote, will]",marriage
