,0,1,2,3
0,William Osler,The good physician treats the disease; the great physician treats the patient who has the disease.,"[good, great, physician]",medical
1,Groucho Marx,A hospital bed is a parked taxi with the meter running.,"[hospital, bed, taxi]",medical
2,Seth Berkley,"For just a few dollars a dose, vaccines save lives and help reduce poverty. Unlike medical treatment, they provide a lifetime of protection from deadly and debilitating disease. They are safe and effective. They cut healthcare and treatment costs, reduce the number of hospital visits, and ensure healthier children, families and communities.","[children, poverty, help]",medical
3,Erma Bombeck,Never go to a doctor whose office plants have died.,"[doctor, plants, office]",medical
4,Mary Stuart Masterson,"The fact that he didn't get credit for a while is more the story of social injustice. But his own spirit wasn't driven by that, and wasn't dependent upon that. He just wished he had the cash to go to medical school.","[school, injustice, story]",medical
5,Earl Wilson,"You may not be able to read a doctor's handwriting and prescription, but you'll notice his bills are neatly typewritten.","[doctor, you, may]",medical
6,Oliver Cromwell,Nature can do more than physicians.,"[nature, more, physicians]",medical
7,Patti Davis,My father started growing very quiet as Alzheimer's started claiming more of him. The early stages of Alzheimer's are the hardest because that person is aware that they're losing awareness. And I think that that's why my father started growing more and more quiet.,"[father, losing, awareness]",medical
8,Naomi Judd,"For many people, managing pain involves using prescription medicine in combination with complementary techniques like physical therapy, acupuncture, yoga and massage. I appreciate this because I truly believe medical care should address the person as a whole - their mind, body, and spirit.","[mind, pain, believe]",medical
9,Dianne Feinstein,"Today we have a health insurance industry where the first and foremost goal is to maximize profits for shareholders and CEOs, not to cover patients who have fallen ill or to compensate doctors and hospitals for their services. It is an industry that is increasingly concentrated and where Americans are paying more to receive less.","[health, today, goal]",medical
10,Ralph Merkle,"If you look at the human condition today, not everyone is well fed, has access to good medical care, or the physical basics that provide for a healthy and a happy life.","[life, good, happy]",medical
11,Bill Hicks,"If you're so pro-life, do me a favour: don't lock arms and block medical clinics. If you're so pro-life, lock arms and block cemeteries.","[me, you, arms]",medical
12,John Doolittle,"Developments in medical technology have long been confined to procedural or pharmaceutical advances, while neglecting a most basic and essential component of medicine: patient information management.","[technology, management]",medical
13,Malcolm Gladwell,"You don't train someone for all of those years of medical school and residency, particularly people who want to help others optimize their physical and psychological health, and then have them run a claims-processing operation for insurance companies.","[health, school, help others]",medical
14,Potter Stewart,Abortion is inherently different from other medical procedures because no other procedure involves the purposeful termination of a potential life.,"[life, abortion, potential]",medical
15,Saint Augustine,The greatest evil is physical pain.,"[greatest, evil, pain]",medical
16,Jack Kevorkian,"As a medical doctor, it is my duty to evaluate the situation with as much data as I can gather and as much expertise as I have and as much experience as I have to determine whether or not the wish of the patient is medically justified.","[experience, doctor, wish]",medical
17,Sue Kelly,The sacrifices made by veterans and their willingness to fight in defense of our nation merit our deep respect and praise - and to the best in benefits and medical care.,"[best, respect, deep]",medical
18,Dwight D. Eisenhower,"If you want total security, go to prison. There you're fed, clothed, given medical care and so on. The only thing lacking... is freedom.","[freedom, security, prison]",medical
19,Denis Diderot,The best doctor is the one you run to and can't find.,"[best, doctor, find]",medical
20,William Osler,It is much more important to know what sort of a patient has a disease than what sort of a disease a patient has.,"[know, important, patient]",medical
21,Ramakrishna,"The physicians of one class feel the patients and go away, merely prescribing medicine. As they leave the room they simply ask the patient to take the medicine. They are the poorest class of physicians.","[medicine, class, feel]",medical
22,Venus Williams,"I have been recently diagnosed with Sjogren's Syndrome, an autoimmune disease which is an ongoing medical condition that affects my energy level and causes fatigue and joint pain.","[pain, energy, disease]",medical
23,Peter Agre,"Now a cholera epidemic was sweeping through Southeast Asia and south Asia in the early 1970s, so I started medical school and I joined a laboratory to work on this.","[work, school, early]",medical
24,Paul Stamets,The virus-to-cancer connection is where medicinal mushrooms offer unique opportunities for medical research.,"[opportunities, unique]",medical
25,John Madden,"You're not going to eliminate concussions. Anytime you hit your head, you have a chance of getting a concussion, in any sport, too. I think we have to learn more about it. Part of it is rules, part of it is equipment, part of it is medical studies, knowing more about the brain.","[brain, rules, chance]",medical
