,0,1,2,3
0,Greg Anderson,"Wellness is not a 'medical fix' but a way of living - a lifestyle sensitive and responsive to all the dimensions of body, mind, and spirit, an approach to life we each design to achieve our highest potential for well-being now and forever.","[life, mind, design]",medical
1,Paul Farmer,"Civil and political rights are critical, but not often the real problem for the destitute sick. My patients in Haiti can now vote but they can't get medical care or clean water.","[water, political, problem]",medical
2,Dianne Feinstein,"I basically believe the medical insurance industry should be nonprofit, not profit-making. There is no way a health reform plan will work when it is implemented by an industry that seeks to return money to shareholders instead of using that money to provide health care.","[work, money, health]",medical
3,David Gerrold,"In the 20th century, we had a century where at the beginning of the century, most of the world was agricultural and industry was very primitive. At the end of that century, we had men in orbit, we had been to the moon, we had people with cell phones and colour televisions and the Internet and amazing medical technology of all kinds.","[technology, end, moon]",medical
4,Ezekiel Emanuel,Medical school education and post graduate education emphasize thoroughness.,"[education, school]",medical
5,Anton Chekhov,"Medicine is my lawful wife and literature my mistress; when I get tired of one, I spend the night with the other.","[wife, night, literature]",medical
6,Marcel Proust,"Illness is the doctor to whom we pay most heed; to kindness, to knowledge, we make promise only; pain we obey.","[kindness, knowledge, pain]",medical
7,Norman Cousins,The human body experiences a powerful gravitational pull in the direction of hope. That is why the patient's hopes are the physician's secret weapon. They are the hidden ingredients in any prescription.,"[hope, body, physician]",medical
8,Plato,They certainly give very strange names to diseases.,"[strange, names, diseases]",medical
9,Maria Shriver,"No matter who you are, what you've accomplished, what your financial situation is - when you're dealing with a parent with Alzheimer's, you yourself feel helpless. The parent can't work, can't live alone, and is totally dependent, like a toddler. As the disease unfolds, you don't know what to expect.","[work, alone, yourself]",medical
10,Ivan Illich,"Modern medicine is a negation of health. It isn't organized to serve human health, but only itself, as an institution. It makes more people sick than it heals.","[health, people, medicine]",medical
11,Patrick Swayze,"I keep dreaming of a future, a future with a long and healthy life, not lived in the shadow of cancer but in the light.","[life, light, future]",medical
12,Abe Lemons,You know what they call the fellow who finishes last in his medical school graduating class? They call him 'Doctor.',"[school, doctor, know]",medical
13,Grete Waitz,"In terms of fitness and battling through cancer, exercise helps you stay strong physically and mentally.","[fitness, strong, exercise]",medical
14,Tina Fey,"A Harvard Medical School study has determined that rectal thermometers are still the best way to tell a baby's temperature. Plus, it really teaches the baby who's boss.","[best, school, baby]",medical
15,Mark Twain,"The Christian's Bible is a drug store. Its contents remain the same, but the medical practice changes.","[bible, practice, changes]",medical
16,John Backus,They don't like thinking in medical school. They memorize - that's all they want you to do. You must not think.,"[school, thinking, want]",medical
17,John Cameron,When I entered medical physics in 1958 there were fewer than 100 in the U.S. and I could see many opportunities to apply my knowledge of nuclear physics.,"[knowledge, opportunities]",medical
18,Sydney Brenner,"In my second year, after moving to the Medical School, I began the courses of Anatomy and Physiology. I had begun to see that I was interested in cells and their functions.","[school, moving, year]",medical
19,Samora Machel,"The rich man's dog gets more in the way of vaccination, medicine and medical care than do the workers upon whom the rich man's wealth is built.","[dog, man, wealth]",medical
20,Jerry Brown,"Jobs for every American is doomed to failure because of modern automation and production. We ought to recognize it and create an income-maintenance system so every single American has the dignity and the wherewithal for shelter, basic food, and medical care. I'm talking about welfare for all. Without it, you're going to have warfare for all.","[food, failure, american]",medical
21,Paul Farmer,"I mean, everybody should have access to medical care. And, you know, it shouldn't be such a big deal.","[care, know, you]",medical
22,Robert Atkins,"Nobody had ever told me junk food was bad for me. Four years of medical school, and four years of internship and residency, and I never thought anything was wrong with eating sweet rolls and doughnuts, and potatoes, and bread, and sweets.","[food, school, thought]",medical
23,Andrew Weil,We need to accept the seemingly obvious fact that a toxic environment can make people sick and that no amount of medical intervention can protect us. The health care community must become a powerful political lobby for environmental policy and legislation.,"[health, community]",medical
24,Steven Pressfield,"Artists, writers and people in creative fields are entrepreneurs by necessity. Nobody gives them a paycheck or picks up their medical insurance. The ones who succeed learn to think and act like 'independent operators.' I think people who are technically 'employees' have to think this way as well. The company is not looking out for you.","[people, looking, creative]",medical
25,Dale Archer,"I did live through Katrina and also Hurricane Rita, which hit Lake Charles. Interestingly, when Katrina hit, they evacuated and Lake Charles was one of the evacuation destinations. We opened up the civic center of the city to the evacuees and provided them free medical and psychiatric care there.","[care, free, live]",medical
