,0,1,2,3
0,Nana Mouskouri,"For my convalescence, I had to exercise my voice only with vowels. It is a medical rule after a long loss of voice.","[loss, voice, exercise]",medical
1,Ernest Istook,We cannot sacrifice innocent human life now for vague and exaggerated promises of medical treatments thirty of forty years from now. There are ways to pursue this technology and respect life at the same time.,"[life, time, technology]",medical
2,Toni Braxton,"I've been advised not to have any more children for medical reasons, so that's it - the shop has closed, even though I would have loved a daughter.","[children, daughter, loved]",medical
3,Larry Niven,"I'd visit the near future, close enough that someone might want to talk to Larry Niven and can figure out the language; distant enough to get me decent medical techniques and a ticket to the Moon.","[future, moon, language]",medical
4,Gabrielle Giffords,"Countless hours of physical therapy - and the talents of the medical community - have brought me new movement in my right arm. It's fractional progress, and it took a long time, but my arm moves when I tell it to.","[time, community, progress]",medical
5,Gary Wolf,The history of using mice to stand in for humans in medical experiments is replete with failures.,"[history, stand, failures]",medical
6,David Bohm,"Yet it looks as if the thing we use to solve our problems with is the source of our problems. It's like going to the doctor and having him make you ill. In fact, in 20% of medical cases we do apparently have that going on. But in the case of thought, its far over 20%.","[thought, doctor, problems]",medical
7,Vikram Patel,"The difference in the quality of medical care received by people with mental illness is one of the reasons why they live shorter lives than people without mental illness. Even in the best-resourced countries in the world, this life expectancy gap is as much as 20 years. In the developing countries of the world, this gap is even larger.","[life, quality, world]",medical
8,Vikram Patel,I used to be one of the lead actors of a theatre group called Hetu when I was in medical school. Prithvi Theatre was our stomping ground. I'd got many positive reviews.,"[positive, school, theatre]",medical
9,Risa Lavizzo-Mourey,"Increasingly we know that we're going to have multiple medical conditions, and the person who's got the greatest incentive to manage those conditions is the patient him or herself.","[greatest, know, patient]",medical
10,Risa Lavizzo-Mourey,"Once I started working with older people, I realized how much I enjoyed the intellectual challenge of taking care of patients who have multiple, complex medical problems.","[challenge, people, problems]",medical
11,Harmon Killebrew,The Mayo Clinic is one of the largest and most experienced medical centers treating esophageal cancer in the world.,"[world, cancer, most]",medical
12,Philip Emeagwali,"Because I am not formally trained in the medical sciences, I can bring in new ideas to AIDS research and the cross-fertilization of ideas from different fields could be a valuable contribution to finding the cure for AIDS.","[i am, research, ideas]",medical
13,Charles Jencks,"A placebo is a phony cure that works. This is very hard for the medical profession to get their teeth around because they hate placebos, but scientifically, placebos work in about 30% of cases that are psychogenic diseases.","[work, hate, teeth]",medical
14,Chester Brown,"That's the thing. in medicine, you're used to saying there's a problem within the person, and saying there's a problem within the culture, that's not a medical answer. Medicine has to look in one direction, so there's only one type of answer that they can find.","[culture, problem, medicine]",medical
15,Hosea Ballou,Disease is the retribution of outraged Nature.,"[nature, disease, outraged]",medical
16,Taylor Hicks,I'm involved with Kid One Transport and Studio by the Tracks in Alabama. Kid One literally transports kids to better health by giving them transportation they may need to get medical care. Studio by the Tracks is an art outlet for mentally challenged children.,"[art, health, children]",medical
17,Kathryn Stockett,"When Demetrie got sick, we knew it was our responsibility to take care of her and pay her medical bills. And we embraced that. But the tricky part is, like so many families in the South, we also expected her to use a separate bathroom, to use separate utensils.","[responsibility, care, sick]",medical
18,H. G. Bissinger,There are the medical dangers of football in general caused by head trauma over repetitive hits.,"[football, head, trauma]",medical
19,Karen Duffy,"In addition, I'll be attending women's health expos and medical conferences with the goal to promote dialogue between women and their health-care providers.","[health, women, goal]",medical
20,Miguel Syjuco,"I treat my writing like a day job, like my main job, even if for many years I was doing other jobs to pay the bills. I worked as a copy editor. I was a medical guinea pig. I was an eBay power seller of ladies' handbags. I was an assistant to a bookie at the horse races. I bartended. I did anything I could to make ends meet.","[power, horse, day]",medical
21,Cote de Pablo,I love the Discovery Channel. I love all sorts of medical shows. I love a show called 'Diagnosis: Unknown.',"[love, discovery, unknown]",medical
22,MaryJanice Davidson,"I used to be a model and a medical test subject, though never at the same time. And since we didn't have much money when I was a kid, I know how to fish and hunt for my supper. And I used to win awards in speech in high school, which comes in handy when I speak to 200 people at a writers' conference.","[time, money, school]",medical
23,Taslima Nasrin,I studied in a medical college and qualified myself as a medical graduate.,"[myself, college, qualified]",medical
24,Dave Reichert,Ensuring Americans have access to adequate medical care should be a priority for all of us.,"[care, medical care, us]",medical
25,Edward M. Lerner,"The medical nanobots in my novel 'Small Miracles' tap the energy sources that the patient's own body provides. That is, they can metabolize glycerol and glucose, just as the cells in our bodies do.","[small, body, energy]",medical
