,0,1,2,3
0,"Martin Luther King, Jr.","In the End, we will remember not the words of our enemies, but the silence of our friends.","[end, silence, friends]",memorialday
1,John F. Kennedy,"My fellow Americans, ask not what your country can do for you, ask what you can do for your country.","[country, you, ask]",memorialday
2,Mark Twain,"Patriotism is supporting your country all the time, and your government when it deserves it.","[time, patriotism, government]",memorialday
3,Alexander Smith,I would rather be remembered by a song than by a victory.,"[victory, song, remembered]",memorialday
4,Robert Charles Winthrop,There are no points of the compass on the chart of true patriotism.,"[patriotism, compass, true]",memorialday
5,Pete Hegseth,"Memorial Day isn't just about honoring veterans, its honoring those who lost their lives. Veterans had the fortune of coming home. For us, that's a reminder of when we come home we still have a responsibility to serve. It's a continuation of service that honors our country and those who fell defending it.","[home, service, day]",memorialday
6,Alexander Henry,"On what rests the hope of the republic? One country, one language, one flag!","[hope, language, country]",memorialday
7,William J. Clinton,There is nothing wrong with America that cannot be cured with what is right in America.,"[america, nothing, wrong]",memorialday
8,George Washington,Guard against the impostures of pretended patriotism.,"[patriotism, against]",memorialday
9,Bob Riley,I have long believed that sacrifice is the pinnacle of patriotism.,"[patriotism, sacrifice, long]",memorialday
10,Jeff Miller,The willingness of America's veterans to sacrifice for our country has earned them our lasting gratitude.,"[gratitude, sacrifice]",memorialday
11,Robin Hayes,Memorial Day this year is especially important as we are reminded almost daily of the great sacrifices that the men and women of the Armed Services make to defend our way of life.,"[life, women, daily]",memorialday
12,James Bryce,"Patriotism consists not in waving the flag, but in striving that our country shall be righteous as well as strong.","[patriotism, strong, country]",memorialday
13,John M. McHugh,"As America celebrates Memorial Day, we pay tribute to those who have given their lives in our nation's wars.","[day, america, nation]",memorialday
14,Jim Ramstad,"The heroes of Flight 93 won the first battle in the War on Terror, and they should never be forgotten.","[war, battle, heroes]",memorialday
15,Nathan Hale,I only regret that I have but one life to lose for my country.,"[life, regret, country]",memorialday
16,Philip James Bailey,"Man is a military animal, glories in gunpowder, and loves parade.","[man, animal, military]",memorialday
17,Herbert Croly,The average American is nothing if not patriotic.,"[american, nothing, average]",memorialday
18,George William Curtis,"A man's country is not a certain area of land, of mountains, rivers, and woods, but it is a principle and patriotism is loyalty to that principle.","[loyalty, patriotism, man]",memorialday
19,Eric Burdon,"On Memorial Day, I don't want to only remember the combatants. There were also those who came out of the trenches as writers and poets, who started preaching peace, men and women who have made this world a kinder place to live.","[peace, women, day]",memorialday
20,Doc Hastings,"137 years later, Memorial Day remains one of America's most cherished patriotic observances. The spirit of this day has not changed - it remains a day to honor those who died defending our freedom and democracy.","[freedom, democracy, day]",memorialday
21,James A. Baldwin,"I love America more than any other country in this world, and, exactly for this reason, I insist on the right to criticize her perpetually.","[love, america, world]",memorialday
22,Leonardo da Vinci,Who sows virtue reaps honor.,"[honor, virtue, who]",memorialday
23,Robert Reich,True patriotism isn't cheap. It's about taking on a fair share of the burden of keeping America going.,"[patriotism, america, true]",memorialday
24,Michael Ignatieff,There's intense national feeling in America that could be called patriotism.,"[patriotism, america, feeling]",memorialday
25,Paul Tsongas,America is hope. It is compassion. It is excellence. It is valor.,"[hope, excellence, compassion]",memorialday
