,0,1,2,3
0,John Lewis,"When growing up, I saw segregation. I saw racial discrimination. I saw those signs that said white men, colored men. White women, colored women. White waiting. And I didn't like it.","[women, waiting]",men
1,Jackie Speier,"Since President Kennedy signed the Equal Pay Act in 1963, the gap between men and women's earnings has narrowed by less than a half-cent per year. At this rate, American women will have to wait until 2062 to bring home the same salary as their male counterparts.","[home, women, american]",men
2,Mike Honda,"It's amazing to me that, in the 42 years since President Kennedy signed the Equal Pay Act into law, women today still receive fewer wages than men for the same work.","[work, women, today]",men
3,Curtis Stone,"I love how the men stand around cooking the barbie while the women have done all the work beforehand doing the marinade and making the salads and then everybody says, 'what a great barbie' to the guy cooking. A barbecue is just the ultimate blokes' pastime, isn't it?","[love, work, women]",men
4,Muhammad Iqbal,"People who have no hold over their process of thinking are likely to be ruined by liberty of thought. If thought is immature, liberty of thought becomes a method of converting men into animals.","[thinking, people, thought]",men
5,William Penn,"True godliness does not turn men out of the world, but enables them to live better in it and excites their endeavors to mend it.","[world, live, better]",men
6,Dale Carnegie,"Men of age object too much, consult too long, adventure too little, repent too soon, and seldom drive business home to the full period, but content themselves with a mediocrity of success.","[success, adventure, home]",men
7,Napoleon Hill,"Wise men, when in doubt whether to speak or to keep quiet, give themselves the benefit of the doubt, and remain silent.","[wise, speak, silent]",men
8,William E. Gladstone,Men are apt to mistake the strength of their feeling for the strength of their argument. The heated mind resents the chill touch and relentless scrutiny of logic.,"[strength, mind, mistake]",men
9,Marquis de Sade,"To judge from the notions expounded by theologians, one must conclude that God created most men simply with a view to crowding hell.","[god, hell, judge]",men
10,Mahatma Gandhi,It has always been a mystery to me how men can feel themselves honoured by the humiliation of their fellow beings.,"[me, mystery, feel]",men
11,Napoleon Bonaparte,Men take only their needs into consideration - never their abilities.,"[never, consideration, only]",men
12,Joe Baca,"As costly as it was in the lives of our men and women in uniform, in military assets, and in esteem and pride, Pearl Harbor was a watershed moment for America.","[women, pearl harbor, pride]",men
13,Whitney Houston,"I like being a woman, even in a man's world. After all, men can't wear dresses, but we can wear the pants.","[woman, man, world]",men
14,Cameron Diaz,I believe that when you're in love you have to pour your heart and soul out to your partner... or why bother? So in that sense I'm an incurable romantic when it comes to men.,"[love, romantic, heart]",men
15,Plato,"The punishment which the wise suffer who refuse to take part in the government, is to live under the government of worse men.","[wise, government, live]",men
16,John Shelby Spong,"When I grew up in the South, I was taught that segregation was the will of God, and the Bible was quoted to prove it. I was taught that women were by nature in inferior to men, and the Bible was quoted to prove it. I was taught that it was okay to hate other religions, and especially the Jews, and the Bible was quoted to prove it.","[nature, god, women]",men
17,Paramahansa Yogananda,The Western day is indeed nearing when the inner science of self-control will be found as necessary as the outer conquest of nature. This new Atomic Age will see men's minds sobered and broadened by the now scientifically indisputable truth that matter is in reality a concentrate of energy.,"[nature, science, age]",men
18,Katharine Hepburn,Sometimes I wonder if men and women really suit each other. Perhaps they should live next door and just visit now and then.,"[relationship, women, door]",men
19,Voltaire,"All men are born with a nose and five fingers, but no one is born with a knowledge of God.","[knowledge, god, born]",men
20,Marcus Tullius Cicero,Justice consists in doing no injury to men; decency in giving them no offense.,"[giving, justice, legal]",men
21,E. M. Forster,To make us feel small in the right way is a function of art; men can only make us feel small in the wrong way.,"[art, small, way]",men
22,Dion Boucicault,"Men talk of killing time, while time quietly kills them.","[time, talk, them]",men
23,Charles Caleb Colton,"Much may be done in those little shreds and patches of time which every day produces, and which most men throw away.","[time, day, may]",men
24,Marvin Davis,"As men get older, the toys get more expensive.","[age, toys, older]",men
25,William Shakespeare,"Fishes live in the sea, as men do a-land; the great ones eat up the little ones.","[nature, great, sea]",men
