,0,1,2,3
0,Jim DeMint,"One of the greatest titles in the world is parent, and one of the biggest blessings in the world is to have parents to call mom and dad.","[dad, greatest, parents]",mom
1,Michael Jackson,My mother's wonderful. To me she's perfection.,"[mother, perfection, me]",mom
2,Jessica Lange,"The natural state of motherhood is unselfishness. When you become a mother, you are no longer the center of your own universe. You relinquish that position to your children.","[children, mother, universe]",mom
3,Mark Twain,"My mother had a great deal of trouble with me, but I think she enjoyed it.","[great, mother, me]",mom
4,Mitt Romney,"Mom and Dad were married 64 years. And if you wondered what their secret was, you could have asked the local florist - because every day Dad gave Mom a rose, which he put on her bedside table. That's how she found out what happened on the day my father died - she went looking for him because that morning, there was no rose.","[morning, father, anniversary]",mom
5,Honore de Balzac,The heart of a mother is a deep abyss at the bottom of which you will always find forgiveness.,"[forgiveness, mother, deep]",mom
6,Sarah Michelle Gellar,Everything I am is because of my mom.,"[i am, everything, because]",mom
7,Paul Walker,"I think my mom put it best. She said, 'Little girls soften their daddy's hearts.'","[best, father's day]",mom
8,J. Cole,"There was the time I bought three cars in the span of three or four weeks. It was crazy; it wasn't greedy. It was mine, my girl's, my mom's. I got Benzes for my ladies. But I felt crazy. You have to understand I come from a world where we're very modest. But that's not greedy. That's nice, right?","[time, girl, world]",mom
9,Ralph Waldo Emerson,Men are what their mothers made them.,"[men, mothers, made]",mom
10,Lauryn Hill,"That strong mother doesn't tell her cub, Son, stay weak so the wolves can get you. She says, Toughen up, this is reality we are living in.","[mother, strong, son]",mom
11,Wayne Brady,"My mom didn't let me play video games growing up, so now I do. Gaming gives me a chance to just let go, blow somebody up and fight somebody from another dimension. It's all escapism.","[video games, fight]",mom
12,Alicia Keys,My mom is definitely my rock.,"[mother's day, rock]",mom
13,Magic Johnson,"God blessed me with two unbelievable parents, and I am just like both of them. I have the smile and charisma of my mother and the big heart of my mom, because she wants to save the world and help the world, so I am just like her.","[smile, god, mother]",mom
14,"Cuba Gooding, Jr.",Don't let people disrespect you. My mom says don't open the door to the devil. Surround yourself with positive people.,"[positive, yourself]",mom
15,Miranda Lambert,"My mom was always saying: 'Be whatever you want to be, but stick with it. Don't waver. Don't change who you are for anybody.'","[change, want, you]",mom
16,Chris Christie,"Mom spent the time that she was supposed to be a kid actully raising children, her younger brother and younger sister. She was tough as nails and did not suffer fools at all. And the truth was she could not afford to. She spoke the truth, bluntly, directly, and without much varnish. I am her son.","[time, truth, children]",mom
17,Taylor Spreitler,"I grew up very differently than a lot of other people in my hometown in Mississippi. But I can't imagine my life any other way. I flew home and surprised my best friend at his graduation, and I remember turning to my mom and saying, 'My graduation was so much cooler than this.' I had Melissa Joan Hart give my commencement speech.","[life, best, home]",mom
18,Pink,My mom has always wished me a daughter just like me.,"[daughter, me, always]",mom
19,Charlize Theron,"From the moment this baby came into our home, those two dogs have never been more in love. It's the most beautiful thing I've ever witnessed. People keep saying, 'Oh, you're a single mom.' I'm like, 'Actually, I'm not. I've got two boys helping.'","[love, home, beautiful]",mom
20,Ann Romney,"It's the moms of this nation - single, married, widowed - who really hold this country together. We're the mothers, we're the wives, we're the grandmothers, we're the big sisters, we're the little sisters, we're the daughters. You know it's true, don't you? You're the ones who always have to do a little more.","[together, know, true]",mom
21,Ryan White,"AIDS can destroy a family if you let it, but luckily for my sister and me, Mom taught us to keep going. Don't give up, be proud of who you are, and never feel sorry for yourself.","[family, sister, yourself]",mom
22,Chris Christie,And the greatest lesson that mom ever taught me though was this one. She told me there would be times in your life when you have to choose between being loved and being respected. Now she said to always pick being respected.,"[life, respect, greatest]",mom
23,Ashton Kutcher,"My parents couldn't give me a whole lot of financial support, but they gave me good genes. My dad is a handsome son-of-a-gun, and my mom is beautiful. And I've definitely been the lucky recipient. So, thank you, Mom and Dad.","[good, dad, beautiful]",mom
24,Gabby Douglas,"My mom says I'm a fighter, a fierce competitor, and I think I am, too.","[i am, think, fighter]",mom
25,Alice Walker,"How simple a thing it seems to me that to know ourselves as we are, we must know our mothers names.","[simple, me, know]",mom
