,0,1,2,3
0,Octavia Spencer,"My mom always told me I could do or be anything I dared to dream, and I always wanted to work in the movie industry.","[work, me, dream]",mom
1,Mark McKinnon,"I'll tell you, Liz Cheney is going to be a very good candidate. I worked with her during the Bush campaigns. She's smart, she's focused, she's disciplined - and she's got a great back story. She's got a large family. She's a great mom. And she's a hard worker. I think she's going to be a very effective campaigner.","[family, good, great]",mom
2,Gillian Jacobs,"My mom wouldn't let me buy clothes she didn't like, so I dressed like a middle-aged woman in high school.","[school, woman, me]",mom
3,Gillian Jacobs,My mom wouldn't know Tom Cruise if he punched her in the face.,"[face, know, cruise]",mom
4,Gillian Jacobs,My mom always said fighting with me as a kid was like going to court. I'm trying to realize that being right is not the most important thing.,"[me, trying, important]",mom
5,Rick Scott,"I am grateful for the lessons I learned from my parents' sacrifices. They often had trouble making ends meet, so we moved for them to find work. I remember my mom would sometimes take on second jobs, like ironing, just so we could buy groceries.","[work, parents, grateful]",mom
6,Rick Scott,"My mom never went to college, but for her own children, getting a great education was not an option.","[education, children, great]",mom
7,Rick Scott,Mom somehow made it to every one of my graduations - even when it meant she had to travel far away.,"[travel, she, away]",mom
8,Aisha Tyler,"For a little while, my mom was a school teacher. And I went to the school that she taught.","[teacher, school, she]",mom
9,Angelina Jolie,I became an actress because my mom wanted me to become an actress. It took me until my mid-30s to realize I actually didn't. I actually wanted to write and direct and be more involved in politics and humanitarian issues.,"[politics, me, realize]",mom
10,Queen Latifah,"I think I'd be a great mom, honestly. I don't think I'll have any problem giving them all the love in the world. Discipline will be the hard part.","[love, giving, great]",mom
11,Queen Latifah,My mom will make me walk the dogs or take out the trash when I go home.,"[home, me, walk]",mom
12,Queen Latifah,"My mom has always been my champion. She was very smart and grounded. She said, 'Save your money. Pay your taxes. Don't put everything in one basket,' but she let me explore and be creative.","[money, smart, creative]",mom
13,Queen Latifah,"There are a lot of people who helped make Queen Latifah who she is today. I don't forget, but a lot of people do and get big heads. My mom will make me walk the dogs or take out the trash when I go home. I'm not allowed to get a big head; I've still got to do the simple things in life.","[life, home, today]",mom
14,Queen Latifah,"There was always music in our home. My mom and my dad loved music. I remember when we were kids we would have these great parties at the house with congas and bongos and African drums, and it was amazing. It wasn't until years later that I found out that they were actually Black Panther meetings.","[music, home, dad]",mom
15,Queen Latifah,"I promised my mom that if, after a year of putting 150 percent into my career it didn't work out, I would go back to school. I never did go back.","[work, school, year]",mom
16,Queen Latifah,"I know a lot of people who really aren't beautiful because their attitudes are very nasty... Whether I make the 50 most beautiful list or not, I'm always going to feel like I'm number one most beautiful to myself... I get that from my mom, and my daddy and my friends who raised me.","[myself, beautiful, friends]",mom
17,Queen Latifah,"My mom was my main influence growing up, and Phylicia Rashad reminded me a lot of my mother, just the way she handled certain things, she was... not soft-spoken but smooth-spoken. Just very calm, cool, collected about things.","[mother, cool, calm]",mom
18,Carrie Underwood,"The only reason I felt like I could sing a song like 'Blown Away' is because I have definitely lived through my fair share of trips to the cellar in the spring. We were no stranger to that. I still ask my mom, 'Is the cellar cleaned out now? Is everything OK?' Even in my new house, I had something built in it that's like a storm shelter.","[storm, spring, song]",mom
19,Carrie Underwood,"My mom had a job, and she also took care of us, and she also took care of Dad - I always saw her pulling triple duty, doing more than I ever felt like she needed to. I made a promise to myself that it would be more of a team effort in my family someday. And because of that, I became more independent.","[family, dad, myself]",mom
20,Carrie Underwood,"I would say that my role model, as far as just somebody leading by example, which to me is what a great youth counselor does - they are there to talk to and lead by example - would be my mom, but she wasn't a youth counselor. She was a teacher, and she is a good person and definitely one of the biggest influences in my life.","[life, teacher, good]",mom
21,Bill Hader,"My mom, dad, grandparents, we all do voices.","[dad, grandparents, voices]",mom
22,Bill Hader,"I grew up with my two sisters and my mom, so it's my lot in life to be surrounded by women.","[life, women, two]",mom
23,Chuck Norris,"My mom was essentially a single mother raising three boys. If anyone could have had any reason to give up, it was her. But she didn't, and neither did we.","[mother, she, reason]",mom
24,Jeb Bush,"Look, I am in the establishment because my dad, the greatest man alive was president of the United States and my brother, who I adore as well as fantastic brother was president. Fine, I'll take it. I guess I'm part of the establishment Barbara Bush is my mom. I'll take that, too.","[dad, greatest, man]",mom
25,Brad Pitt,"One of the greatest, smartest things I ever did was give my kids Angie as their mom. She is such a great mom. Oh, man, I'm so happy to have her.","[happy, great, greatest]",mom
