,0,1,2,3
0,Arlen Specter,"My father was an immigrant who literally walked across Europe to get out of Russia. He fought in World War I. He was wounded in action. My father was a great success even though he never had money. He was a very determined man, a great role model.","[success, war, father]",money
1,Iain Duncan Smith,"Kids are meant to believe that their stepping stone to massive money is 'The X Factor.' Luck is great, but most of life is hard work. We do not celebrate people who have made success out of serious hard work.","[life, success, work]",money
2,Peter Lynch,The real key to making money in stocks is not to get scared out of them.,"[making money, key, real]",money
3,Chris Kyle,"I'm just trying to be the me that I am and not all of this other crap. I just want to be the family man, and if somehow I can make the money to get my ranch and get the hell away from everybody else, that would be awesome.","[family, man, i am]",money
4,Bernie Sanders,"In my view, a corporation is not a person. A corporation does not have First Amendment rights to spend as much money as it wants, without disclosure, on a political campaign.","[political, rights]",money
5,Arundhati Roy,"I'm not ambitious. I don't want to get anywhere, I don't want anything more. I sometimes think that for me that is the real freedom, that I don't want anything. I don't want money or prizes. I want people to know that a war is going to be fought.","[war, freedom, people]",money
6,Margaret Thatcher,"Every family should have the right to spend their money, after tax, as they wish, and not as the government dictates. Let us extend choice, extend the will to choose and the chance to choose.","[family, government, chance]",money
7,Salman Khan,"People in the film industry always want to save for a rainy day. Many early actors died in small houses with no money, and so they are insecure. My advantage is I don't value money that much. It's an easy thing for me to let go.","[day, small, people]",money
8,Karisma Kapoor,"I have learned so many things from my mother about the right upbringing, the right values, value for money, value for elders, for family members. I think these things only a parent can teach you.","[family, mother, value]",money
9,Zig Ziglar,Success must never be measured by how much money you have.,"[success, you, measured]",money
10,Cutter Hodierne,"I think the guys who are sort of infantry in Somali piracy are not unlike low-level drug dealers in urban areas in America, who see it as, you know, not having many other options. I think it comes down to money and needing to survive.","[america, know, down]",money
11,Bobby Bowden,"A guy's who has all the money he needs and never faced any hard times, he won't have any character. But when you've had it tough and you've had it rough and you thought you were at the end of the rope and you work your way out of it, that's the way you build character.","[work, character, end]",money
12,Gloria Steinem,"Pop culture shapes our ideas of what is normal and what our dreams can be and what our roles are. Politics, of course, decides how the power and the money in the country is distributed. Both are equally important, and each affects the other.","[dreams, power, culture]",money
13,Sophia Amoruso,"I didn't buy the Porsche for status. I hate that, and it's actually kind of goofy now because in L.A., a Porsche is like a Honda. It was just that I could pay that much money for a car and drive it off the lot.","[car, hate, drive]",money
14,Bernie Sanders,"Every day we are paying more for energy than we should due to poor insulation, inefficient lights, appliances, and heating and cooling equipment - money we could save by investing in energy efficiency.","[day, lights, energy]",money
15,"Philippe Cousteau, Jr.","I hate plastic bottles. Just think about it before you buy one. We pay more for a gallon of water than we do for a gallon of gas. I think people will realize that water quality standards in most municipalities are as good or better for the stuff coming out of the tap than bottled water companies. You'll save money and save the environment, too.","[good, water, hate]",money
16,Arlen Specter,"There's nothing in the First Amendment that even remotely talks about spending money for political contests, and to say that an individual can spend as much of his or her own money as he or she wants constitutionally without any limitation, I think is just absurd.","[political, nothing, she]",money
17,Noel Gallagher,"I'm not interested in making money. It's just that with my talent, I'm cursed with it.","[talent, making money]",money
18,Thomas Hobbes,Words are the money of fools.,"[words, fools]",money
19,Chris Tucker,"You loan your friend money. You see them again, they don't say nothin' 'bout the money. 'Hi, how ya doin'? How's ya mama doing?' Man, how's my money doin'?","[man, doing, friend]",money
20,Andre Benjamin,"Hip-hop don't have no fresh energy, none at all. It's money driven, everybody tryin' to make that cheque, nobody putting art in their albums any more.","[art, energy, hip-hop]",money
21,Karl Pilkington,"I'm not that lazy, but I don't need that much money. I lead a fairly simple life.","[life, simple, lazy]",money
22,Alexis de Tocqueville,The American Republic will endure until the day Congress discovers that it can bribe the public with the public's money.,"[day, american, endure]",money
23,Benjamin Franklin,"Money has never made man happy, nor will it, there is nothing in its nature to produce happiness. The more of it one has the more one wants.","[happiness, nature, happy]",money
24,Christopher Marlowe,"Money can't buy love, but it improves your bargaining position.","[love, position, buy]",money
25,John Maynard Keynes,The importance of money flows from it being a link between the present and the future.,"[future, present, link]",money
