,0,1,2,3
0,Kevyn Aucoin,"Today I choose life. Every morning when I wake up I can choose joy, happiness, negativity, pain... To feel the freedom that comes from being able to continue to make mistakes and choices - today I choose to feel life, not to deny my humanity but embrace it.","[inspirational, life]",morning
1,Yoko Ono,Smile in the mirror. Do that every morning and you'll start to see a big difference in your life.,"[life, smile, mirror]",morning
2,Winston Churchill,"I may be drunk, Miss, but in the morning I will be sober and you will still be ugly.","[funny, drunk, ugly]",morning
3,Bernard Williams,There was never a night or a problem that could defeat sunrise or hope.,"[hope, sunrise, night]",morning
4,Tecumseh,"When you rise in the morning, give thanks for the light, for your life, for your strength. Give thanks for your food and for the joy of living. If you see no reason to give thanks, the fault lies in yourself.","[life, strength, food]",morning
5,Alice Cooper,The two most joyous times of the year are Christmas morning and the end of school.,"[christmas, end, school]",morning
6,Prince,"Every day I feel is a blessing from God. And I consider it a new beginning. Yeah, everything is beautiful.","[god, beautiful, day]",morning
7,William Arthur Ward,"Opportunities are like sunrises. If you wait too long, you miss them.","[opportunities, wait, long]",morning
8,Henny Youngman,"If you're going to do something tonight that you'll be sorry for tomorrow morning, sleep late.","[funny, sleep, tomorrow]",morning
9,Khalil Gibran,"In the sweetness of friendship let there be laughter, and sharing of pleasures. For in the dew of little things the heart finds its morning and is refreshed.","[friendship, laughter, heart]",morning
10,Marcus Aurelius,"When you arise in the morning, think of what a precious privilege it is to be alive - to breathe, to think, to enjoy, to love.","[love, enjoy, think]",morning
11,Dalai Lama,"Old friends pass away, new friends appear. It is just like the days. An old day passes, a new day arrives. The important thing is to make it meaningful: a meaningful friend - or a meaningful day.","[old friends, day, friends]",morning
12,Mahatma Gandhi,Prayer is the key of the morning and the bolt of the evening.,"[religion, prayer, evening]",morning
13,William Blake,Think in the morning. Act in the noon. Eat in the evening. Sleep in the night.,"[sleep, night, evening]",morning
14,George Washington Carver,Nothing is more beautiful than the loveliness of the woods before sunrise.,"[beautiful, sunrise, nothing]",morning
15,Chanakya,"A good wife is one who serves her husband in the morning like a mother does, loves him in the day like a sister does and pleases him like a prostitute in the night.","[good, mother, sister]",morning
16,Henry David Thoreau,An early-morning walk is a blessing for the whole day.,"[day, blessing, walk]",morning
17,F. Sionil Jose,"When I wake up every morning, I thank God for the new day.","[god, day, thank god]",morning
18,Shalom Harlow,You don't learn style from watching people on a runway. Fashion happens every morning when you wake up.,"[style, people, wake up]",morning
19,J. B. Priestley,"I have always been delighted at the prospect of a new day, a fresh try, one more start, with perhaps a bit of magic waiting somewhere behind the morning.","[day, waiting, magic]",morning
20,Mitt Romney,"Mom and Dad were married 64 years. And if you wondered what their secret was, you could have asked the local florist - because every day Dad gave Mom a rose, which he put on her bedside table. That's how she found out what happened on the day my father died - she went looking for him because that morning, there was no rose.","[father, anniversary, mom]",morning
21,Lindsay Lohan,"Everyone has highs and lows that they have to learn from, but every morning I start off with a good head on my shoulders, saying to myself, 'It's going to be a good day!'.","[good, myself, day]",morning
22,Gena Lee Nolin,"My children are the reason I laugh, smile and want to get up every morning.","[smile, children, parenting]",morning
23,Erma Bombeck,There's nothing sadder in this world than to awake Christmas morning and not be a child.,"[christmas, world, child]",morning
24,Steve Jobs,"For the past 33 years, I have looked in the mirror every morning and asked myself: 'If today were the last day of my life, would I want to do what I am about to do today?' And whenever the answer has been 'No' for too many days in a row, I know I need to change something.","[life, change, today]",morning
25,Jennifer Aniston,"I love that feeling of being in love, the effect of having butterflies when you wake up in the morning. That is special.","[love, wake up, being in love]",morning
