,0,1,2,3
0,Hugh Grant,"I don't hate L.A., but I'm nervous about becoming one of those people who has a ferocious interest in how films did at the box office that weekend and, you know, would want to meet for egg-white omelets in the morning.","[hate, people, know]",morning
1,Gretchen Rubin,"As goofy as it sounds, I try to sing in the morning. It's hard both to sing and to maintain a grouchy mood, and it sets a happy tone for everyone - particularly in my case, because I'm tone deaf, and my audience finds my singing a source of great hilarity.","[happy, great, singing]",morning
2,Estelle,"Sometimes I wake up in the morning and feel like going straight back to bed. But I still have to get up and work, and I still have to take advantage of the chances I've been given in life.","[life, work, wake up]",morning
3,Melissa McCarthy,"Do I sometimes hope I wake up in the morning and people are like, 'What's wrong with her? She looks emaciated.' Of course I would love that. I'm such a clothes whore, I would love the opportunity to be a hanger. But I think I'm more confident than I've ever felt in my life.","[life, love, hope]",morning
4,Solange Knowles,I really enjoy my privacy and being able to walk my son to school every morning and pick him up every afternoon.,"[school, son, privacy]",morning
5,Nikki Reed,"This may sound surprising for someone who works in Hollywood, but I do not count calories, and I don't even care about weight gain, which I know sounds really bizarre. I listen to my body. I don't just wake up in the morning and cook whatever I eat.","[wake up, body, care]",morning
6,John McAfee,"Success, for me, is being able to wake up in the morning and feel like a 12 year old.","[success, wake up, year]",morning
7,Julianne Moore,"You might have, as a character, 30 pages of dialogue a day if you're what they call a 'front-burner story.' So you go home, you learn your lines for the next day, you get up, you're there at 7 in the morning, you do a quick rehearsal, you're on camera, you might leave, you know, at 7 at night and start the whole thing over again.","[home, character, day]",morning
8,Paloma Faith,I don't feel I fit in with morning television because I'm like a vampire and I like to stay up late.,"[late, television, feel]",morning
9,Victoria Beckham,"I wake up every morning and I feel like I'm juggling glass balls. I live in Los Angeles, my business is run out of London, and most evenings I'm cuddled up in front of Skype, in my dressing gown, speaking with my studio in London. I travel a lot, my team travel a lot, but I wouldn't have it any other way.","[travel, business, team]",morning
10,Victoria Beckham,"I'm living in Beverly Hills. I'm very, very lucky. I wake up every morning and I recognize that I'm blessed.","[blessed, wake up, living]",morning
11,Madeleine Albright,Most of the time I spend when I get up in the morning is trying to figure out what is going to happen.,"[time, trying, happen]",morning
12,Jerry Hall,"When I was 16 and arrived in France, I discovered chocolate mousse. I was crazy about the bread, too. Every morning, I'd go to the bakery and get a fresh croissant. It made me feel very sophisticated.","[crazy, me, chocolate]",morning
13,Bindi Irwin,"In the morning, my alarm clock is a chorus of lemurs yelling!","[clock, yelling, alarm]",morning
14,Joanna Lumley,I'm very good at getting up in the morning - so much of my life has been spent on film sets where we start at the crack of dawn.,"[life, good, my life]",morning
15,Alicia Keys,"I grew up in the middle of everything. I walked the streets alone, I rode the trains alone, I came home at three in the morning alone; that was what I did.","[home, alone, three]",morning
16,Christina Ricci,You won't see me in a better mood than 4:00 in the morning on my way to work.,"[work, me, better]",morning
17,Christina Ricci,"I'm always in bed by 11 or 12 and people laugh all the time - they want me to hang out until two in the morning, but n-n-no, I need my nine hours.","[time, people, me]",morning
18,Dick Dale,"I surfed Dana Point, San Clemente, and of course Huntington Beach. Every morning, you could find me at the hot water pipe.","[water, beach, me]",morning
19,Ronda Rousey,"I love waking up to Sunday morning pancakes. The whole process of making them, just out in the kitchen together making pancakes on a Sunday morning; that's an experience every girl should have.","[love, experience, together]",morning
20,Ashton Eaton,"In high school, I had a gold 1992 Ford Explorer. It was a gift. I used to have a terrible habit of locking the keys in the car when I used leave the car running to help it start on a cold morning. I think the local locksmith became used to me calling him.","[car, school, gift]",morning
21,Caitlyn Jenner,"There's nothing more, nothing better in life to wake up in the morning, look at yourself in the mirror, and feel comfortable with yourself and who you are.","[life, mirror, yourself]",morning
22,Anthony Hopkins,"I remember coming to New York in 1974 to do a play here called 'Equis.' And I remember the first morning getting up and walking around the streets, and I thought, 'I'm home.' I felt really at peace here.","[peace, home, walking]",morning
23,Liam Neeson,"Some mornings you wake up and think, gee I look handsome today. Other days I think, what am I doing in the movies? I wanna go back to Ireland and drive a forklift.","[today, wake up, doing]",morning
24,Liam Neeson,"I do believe at the end of the night when you're with your family, the character gets hung up on the door like a coat, and is there to be taken on the next morning.","[family, character, end]",morning
25,Jim Harrison,"I work every morning, all morning, sometimes in the afternoons. Then sometimes I hunt in the afternoons - quail, doves, grouse up north - but just to stay alive, because writers die from their lifestyle but also from their lack of movement.","[work, die, sometimes]",morning
