,0,1,2,3
0,Stevie Wonder,"Mama was my greatest teacher, a teacher of compassion, love and fearlessness. If love is sweet as a flower, then my mother is that sweet flower of love.","[love, teacher, flower]",mothersday
1,Abraham Lincoln,"All that I am, or hope to be, I owe to my angel mother.","[hope, mother, i am]",mothersday
2,Abraham Lincoln,I remember my mother's prayers and they have always followed me. They have clung to me all my life.,"[life, mother, me]",mothersday
3,Robert Browning,Motherhood: All love begins and ends there.,"[love, motherhood, begins]",mothersday
4,Mahatma Gandhi,"It may be possible to gild pure gold, but who can make his mother more beautiful?","[mother, beautiful, gold]",mothersday
5,Theodore Hesburgh,The most important thing a father can do for his children is to love their mother.,"[love, father, children]",mothersday
6,Victor Hugo,A mother's arms are made of tenderness and children sleep soundly in them.,"[children, sleep, mother]",mothersday
7,Honore de Balzac,"A mother's happiness is like a beacon, lighting up the future but reflected also on the past in the guise of fond memories.","[happiness, future, memories]",mothersday
8,Barbara Kingsolver,Sometimes the strength of motherhood is greater than natural laws.,"[strength, motherhood]",mothersday
9,Alicia Keys,My mom is definitely my rock.,"[mom, rock, definitely]",mothersday
10,George Eliot,Life began with waking up and loving my mother's face.,"[life, mother, face]",mothersday
11,Erich Fromm,"Mother's love is peace. It need not be acquired, it need not be deserved.","[love, peace, mother]",mothersday
12,William Makepeace Thackeray,Mother is the name for God in the lips and hearts of little children.,"[god, children, mother]",mothersday
13,Leonardo DiCaprio,My mother is a walking miracle.,"[mother, walking, miracle]",mothersday
14,Isadora Duncan,With what price we pay for the glory of motherhood.,"[motherhood, price, pay]",mothersday
15,Milton Berle,"If evolution really works, how come mothers only have two hands?","[hands, evolution, mothers]",mothersday
16,Rudyard Kipling,"God could not be everywhere, and therefore he made mothers.","[god, mothers, everywhere]",mothersday
17,Donald E. Westlake,Who's a boy gonna talk to if not his mother?,"[mother, boy, talk]",mothersday
18,Martina Hingis,I was always at peace because of the way my mom treated me.,"[peace, mom, me]",mothersday
19,Sophocles,Children are the anchors that hold a mother to life.,"[life, children, mother]",mothersday
20,Gloria Estefan,Motherhood is... difficult and... rewarding.,"[motherhood, difficult]",mothersday
21,Henri de Toulouse-Lautrec,"My dear Mama, you are definitely the hen who hatched a famous duck.","[duck, you, famous]",mothersday
22,Samuel Taylor Coleridge,The love of a mother is the veil of a softer light between the heart and the heavenly Father.,"[love, light, father]",mothersday
23,Antonio Villaraigosa,I got to grow up with a mother who taught me to believe in me.,"[mother, believe, me]",mothersday
24,Henry Ward Beecher,"The babe at first feeds upon the mother's bosom, but it is always on her heart.","[mother, heart, always]",mothersday
25,Billy Sunday,There is nothing in the world of art like the songs mother used to sing.,"[art, mother, world]",mothersday
