,0,1,2,3
0,Hubert H. Humphrey,The greatest healing therapy is friendship and love.,"[love, friendship, greatest]",movingon
1,Dave Pelzer,"To help yourself, you must be yourself. Be the best that you can be. When you make a mistake, learn from it, pick yourself up and move on.","[best, be yourself, yourself]",movingon
2,Walter Anderson,"Bad things do happen; how I respond to them defines my character and the quality of my life. I can choose to sit in perpetual sadness, immobilized by the gravity of my loss, or I can choose to rise from the pain and treasure the most precious gift I have - life itself.","[life, character, gift]",movingon
3,Ernie Harwell,"It's time to say goodbye, but I think goodbyes are sad and I'd much rather say hello. Hello to a new adventure.","[time, adventure, sad]",movingon
4,Robert Frost,In three words I can sum up everything I've learned about life: it goes on.,"[life, words, three]",movingon
5,Khalil Gibran,"If you love somebody, let them go, for if they return, they were always yours. And if they don't, they never were.","[love, you, always]",movingon
6,Seneca,Every new beginning comes from some other beginning's end.,"[end, beginning]",movingon
7,Carrie Underwood,"Every day is a new day, and you'll never be able to find happiness if you don't move on.","[happiness, day, new day]",movingon
8,Albert Camus,Blessed are the hearts that can bend; they shall never be broken.,"[blessed, broken, bend]",movingon
9,Lewis B. Smedes,"Forgiving does not erase the bitter past. A healed memory is not a deleted memory. Instead, forgiving what we cannot forget creates a new way to remember. We change the memory of our past into a hope for our future.","[change, hope, future]",movingon
10,Maxwell Maltz,"Man maintains his balance, poise, and sense of security only as he is moving forward.","[moving forward, balance, man]",movingon
11,Jennifer Aniston,I think it's important to have closure in any relationship that ends - from a romantic relationship to a friendship. You should always have a sense of clarity at the end and know why it began and why it ended. You need that in your life to move cleanly into your next phase.,"[life, friendship]",movingon
12,Denis Waitley,"Don't dwell on what went wrong. Instead, focus on what to do next. Spend your energies on moving forward toward finding the answer.","[moving forward, focus]",movingon
13,Johnny Cash,"You build on failure. You use it as a stepping stone. Close the door on the past. You don't try to forget the mistakes, but you don't dwell on it. You don't let it have any of your energy, or any of your time, or any of your space.","[time, failure, past]",movingon
14,Joyce Meyer,Feeling sorry for ourselves is the most useless waste of energy on the planet. It does absolutely no good. We can't let our circumstances or what others do or don't do control us. We can decide to be happy regardless.,"[good, happy, sorry]",movingon
15,Dave Mustaine,"Moving on, is a simple thing, what it leaves behind is hard.","[simple, moving, behind]",movingon
16,Helen Rowland,A man never knows how to say goodbye; a woman never knows when to say it.,"[woman, goodbye, man]",movingon
17,Theodore Roosevelt,"It is only through labor and painful effort, by grim energy and resolute courage, that we move on to better things.","[courage, effort, energy]",movingon
18,Albert Schweitzer,"The willow which bends to the tempest, often escapes better than the oak which resists it; and so in great calamities, it sometimes happens that light and frivolous spirits recover their elasticity and presence of mind sooner than those of a loftier character.","[light, great, character]",movingon
19,Anne Roiphe,Grief is in two parts. The first is loss. The second is the remaking of life.,"[life, loss, grief]",movingon
20,Julius Erving,"But you know, if you live an affluent lifestyle, there are all types of trappings that are there that you have to be cognizant of, and you've got to try and communicate freely and gain understanding about and then keep moving on, because you know, sometimes lifestyles are chosen for us as opposed to us choosing them.","[moving, live, know]",movingon
21,Joseph Campbell,"It is by going down into the abyss that we recover the treasures of life. Where you stumble, there lies your treasure.","[life, down, abyss]",movingon
22,Carlos Santana,"If you carry joy in your heart, you can heal any moment.","[joy, heart, moment]",movingon
23,Helen Keller,"So long as the memory of certain beloved friends lives in my heart, I shall say that life is good.","[life, good, heart]",movingon
24,Jane Austen,Friendship is certainly the finest balm for the pangs of disappointed love.,"[love, friendship]",movingon
25,Octavia Spencer,"You just keep moving forward and doing what you do and hope that it resonates with people. And if it doesn't, you just keep moving on until you find a project that does.","[hope, moving forward, moving]",movingon
