,0,1,2,3
0,Duncan Sheik,I actually think sadness and darkness can be very beautiful and healing.,"[beautiful, darkness, healing]",movingon
1,Kat Graham,"I have more of a desire to write songs about being an independent woman than being in love, songs about getting up and moving on even if I have a broken heart. 'Wanna Say' is one of the few love songs I've ever done.","[love, heart, woman]",movingon
2,Thomas Gibson,"Moving on is not closure. It's not neat, and it's not about turning the page. It is about moving on, but it doesn't mean that you've left something behind.","[moving, page, you]",movingon
3,Jean Kerr,"Being divorced is like being hit by a Mack truck. If you live through it, you start looking very carefully to the right and to the left.","[looking, live, start]",movingon
4,Caleb Johnson,"I love being on the road. I love that lifestyle, traveling city to city, rocking out and moving on to the next place.","[love, road, moving]",movingon
5,James Russell Lowell,"Joy comes, grief goes, we know not how.","[joy, grief, know]",movingon
6,Gwen Ifill,"If it were the Clinton people, they'd be sitting around figuring out how to pull themselves out. Instead the president is continuing to go around the country and peddling Social Security, which the needle is not moving on.","[moving, security, people]",movingon
7,Meg Whitman,"It is very clear that voice communications is moving on to the Internet. In the end, the price that anyone can provide for voice transmission on the Net will trend toward zero.","[end, moving, internet]",movingon
8,Eli Broad,"Someone once told me I'm a sore winner, and they're right. I rarely take more than a moment to enjoy a success before I'm moving on and looking for the next challenge.","[success, challenge, moving]",movingon
9,Kaitlyn Dever,I think that the main thing that you can learn from watching 'The Spectacular Now' is just learning about growing up and moving on.,"[learning, moving, growing up]",movingon
10,Natalie Massenet,"I think fashion is actually very good training for being in the tech world, because it's all about moving on to the next thing, looking for the next thing, not getting stuck in the past.","[good, past, training]",movingon
11,Ivica Dacic,"I tried to go to Kosovo to establish a statue to commemorate those who died during the wars, and to discuss moving on, so we could move into a new era. But I was banned from there.","[moving, new, tried]",movingon
12,Susan Lucci,"Life goes on, and I'm moving on to the next thing, but I hope the soaps that are still running will thrive. They have millions of loyal viewers.","[life, hope, moving]",movingon
13,Romain Rolland,One makes mistakes; that is life. But it is never a mistake to have loved.,"[life, mistakes, mistake]",movingon
14,Blaise Pascal,"Time heals griefs and quarrels, for we change and are no longer the same persons. Neither the offender nor the offended are any more themselves.","[change, time, offended]",movingon
15,Lara Giddings,"There will always be excuses, arguments, and questions of timing when moving on difficult and controversial issues.","[excuses, moving, questions]",movingon
16,Leighton Meester,I think you have to know how you feel when you're sad and it's healthy to mourn if a relationship ends.,"[relationship, sad, healthy]",movingon
17,Kate Winslet,"So I won an Oscar. It's amazing. I've got that for the rest of my life for a performance I am proud of. It nearly killed me. I am really proud of the film. That's it, moving on.","[life, i am, amazing]",movingon
18,James Nesbitt,"In my life, I have made the occasional catastrophic choice, and it's just a case of moving on and learning from it.","[life, learning, moving]",movingon
19,Heidi Klum,"People say, 'Oh, God, how devastating to go through a divorce.' Did I wish for this to happen to my family? No. But everyone is healthy; we're moving on with our lives.","[family, god, moving]",movingon
20,Meghan Daum,"In the world of opinion writing, there's something called the 'to be sure' paragraph. A sort of rhetorical antibiotic, it seeks to defend against critics by injecting a tiny bit of counter-argument before moving on with the main point.","[writing, moving, world]",movingon
21,Chevy Chase,"Who made me laugh when I was growing was Chaplin and the Marx Brothers, and then moving on, there were so many that I was a writer for for many years: I was a writer for the Smothers Brothers, Lily Tomlin, then I started on 'Saturday Night Live' as the head writer the first year we started it.","[moving, night, year]",movingon
22,Leona Lewis,It takes bravery to end a relationship.,"[relationship, end, bravery]",movingon
23,Robert Winston,"I don't believe in regretting - one should try to move on. My mum was good at that. She was deeply in love with my father, and he died when I was nine. She remarried, and her second husband died, too. I saw the grieving process she went through. My mother had this way of moving on. It was a fine trait.","[love, father, good]",movingon
24,Tyler Perry,"Everyone can relate to love, hurt, pain, learning how to forgive, needing to get over, needing the power of God in their life.","[life, love, learning]",movingon
25,Rita Rudner,"I love to shop after a bad relationship. I don't know. I buy a new outfit and it makes me feel better. It just does. Sometimes I see a really great outfit, I'll break up with someone on purpose.","[love, relationship, great]",movingon
