,0,1,2,3
0,Plato,"Music is a moral law. It gives soul to the universe, wings to the mind, flight to the imagination, and charm and gaiety to life and to everything.","[life, mind, imagination]",music
1,Bob Marley,"One good thing about music, when it hits you, you feel no pain.","[good, pain, you]",music
2,Victor Hugo,Music expresses that which cannot be said and on which it is impossible to be silent.,"[silent, impossible, said]",music
3,William Shakespeare,"If music be the food of love, play on.","[love, food, play]",music
4,A. J. McLean,"Music is love, love is music, music is life, and I love my life. Thank you and good night.","[life, love, good]",music
5,Friedrich Nietzsche,"Without music, life would be a mistake.","[life, mistake, without]",music
6,Hans Christian Andersen,"Where words fail, music speaks.","[words, fail, where]",music
7,Lord Byron,"There is pleasure in the pathless woods, there is rapture in the lonely shore, there is society where none intrudes, by the deep sea, and music in its roar; I love not Man the less, but Nature more.","[love, nature, deep]",music
8,Ludwig van Beethoven,Music is a higher revelation than all wisdom and philosophy.,"[wisdom, philosophy]",music
9,Billy Joel,"I think music in itself is healing. It's an explosive expression of humanity. It's something we are all touched by. No matter what culture we're from, everyone loves music.","[culture, humanity, healing]",music
10,Ashley Wagner,"I'm not a pretty princess, and I'm aware of that, so I like music that is really intense, really bold, and characters that in a way almost have a dark side and are kind of evil because, for me, that's when I feel my strongest and fiercest, when I'm not necessarily the good girl.","[good, evil, girl]",music
11,Bernie Siegel,"Feelings aroused by the touch of someone's hand, the sound of music, the smell of a flower, a beautiful sunset, a work of art, love, laughter, hope and faith - all work on both the unconscious and the conscious aspects of the self, and they have physiological consequences as well.","[love, work, hope]",music
12,Plato,Music is the movement of sound to reach the soul for the education of its virtue.,"[education, soul, sound]",music
13,Henry Ward Beecher,"Of all the music that reached farthest into heaven, it is the beating of a loving heart.","[romantic, heart, heaven]",music
14,Bono,Music can change the world because it can change people.,"[change, change the world]",music
15,James Joseph Sylvester,Mathematics is the music of reason.,"[mathematics, reason]",music
16,Henry David Thoreau,"If a man does not keep pace with his companions, perhaps it is because he hears a different drummer. Let him step to the music which he hears, however measured or far away.","[inspirational, man, step]",music
17,Christina Milian,"I enjoy being happy every day, and hopefully you can hear my happiness in my music. Life is beautiful.","[life, happiness, happy]",music
18,Aldous Huxley,"After silence, that which comes nearest to expressing the inexpressible is music.","[silence, which, expressing]",music
19,Prince,"Music is music, ultimately. If it makes you feel good, cool.","[good, cool, feel good]",music
20,Jill Scott,"Heartbreak was the impetus to me writing poems and music in the first place. Over the years, I had my heart broken so badly that if I didn't find a way to get all the pain out, I was going to lose my mind. I was crazy! Like, wanting to slash tires and smash car windows. Crazy! I was so hurt that I had to write.","[car, heart, mind]",music
21,Pope Francis,"Together with a culture of work, there must be a culture of leisure as gratification. To put it another way: people who work must take the time to relax, to be with their families, to enjoy themselves, read, listen to music, play a sport.","[work, time, culture]",music
22,Roy Ayers,"The true beauty of music is that it connects people. It carries a message, and we, the musicians, are the messengers.","[beauty, musicians, people]",music
23,Ludwig van Beethoven,Music is the mediator between the spiritual and the sensual life.,"[life, spiritual, sensual]",music
24,Ronald Reagan,"Life is one grand, sweet song, so start the music.","[life, sweet, start]",music
25,Neil Strauss,"Because it's so easy to medicate our need for self-worth by pandering to win followers, 'likes' and view counts, social media have become the metier of choice for many people who might otherwise channel that energy into books, music or art - or even into their own Web ventures.","[art, social media, media]",music
