,0,1,2,3
0,Michael Caine,"Growing up, there was only classical music on BBC Radio. We had to listen to the American Forces Network in Germany, which played pop songs, or the pirate radio boats off the coast.","[american, growing up, listen]",music
1,Charles Rosen,"A love of classical music is only partially a natural response to hearing the works performed, it also must come about by a decision to listen carefully, to pay close attention, a decision inevitably motivated by the cultural and social prestige of the art.","[love, art, decision]",music
2,Joseph Campbell,Love is a friendship set to music.,"[love, friendship, love is]",music
3,George Strait,"You know, traditional country music is something that's going to be around forever.","[know, country, you]",music
4,Jay Griffiths,"Cultures have long heard wisdom in non-human voices: Apollo, god of music, medicine and knowledge, came to Delphi in the form of a dolphin. But dolphins, which fill the oceans with blipping and chirping, and whales, which mew and caw in ultramarine jazz - a true rhapsody in blue - are hunted to the edge of silence.","[wisdom, knowledge, god]",music
5,Lin-Manuel Miranda,"Making words rhyme for a living is one of the great joys of my life... That's a superpower I've been very conscious of developing. I started at the same level as everybody else, and then I just listened to more music and talked to myself until it was an actual superpower I could pull out on special occasions.","[life, myself, great]",music
6,Leonard Bernstein,Music can name the unnameable and communicate the unknowable.,"[name, communicate]",music
7,Mary Kay Ash,Most people live and die with their music still unplayed. They never dare to try.,"[people, die, live]",music
8,River Phoenix,"Music is my main goal, but I'm not going to rush a record out. There are so many actors who have come out with albums these days. I don't want to do it because it's the thing to do. I want to wait until the time is right.","[time, goal, wait]",music
9,Jimi Hendrix,Music is a safe kind of high.,"[kind, safe, high]",music
10,Nina Simone,"When I was studying... there weren't any black concert pianists. My choices were intuitive, and I had the technique to do it. People have heard my music and heard the classic in it, so I have become known as a black classical pianist.","[choices, black, people]",music
11,Afrika Bambaataa,"How you act, walk, look and talk is all part of Hip Hop culture. And the music is colorless. Hip Hop music is made from Black, brown, yellow, red and white.","[culture, black, red]",music
12,Ruben Studdard,Because I gave myself - I left school after the second semester of my junior year to pursue a career in music. and I gave myself five years to make it and I made it in three.,"[myself, school, year]",music
13,David Bowie,I felt I really wanted to back off from music completely and just work within the visual arts in some way. I started painting quite passionately at that time.,"[work, time, painting]",music
14,Wole Soyinka,"My horizon on humanity is enlarged by reading the writers of poems, seeing a painting, listening to some music, some opera, which has nothing at all to do with a volatile human condition or struggle or whatever. It enriches me as a human being.","[struggle, humanity, reading]",music
15,Axl Rose,"I write the vocals last, because I wanted to invent the music first and push the music to the level that I had to compete against it.","[push, first, against]",music
16,Rabindranath Tagore,Music fills the infinite between two souls.,"[two, infinite, souls]",music
17,Dave Matthews,"Good music is good music, and everything else can go to hell.","[good, hell, everything]",music
18,Napoleon Bonaparte,Music is the voice that tells us that the human race is greater than it knows.,"[voice, race, human]",music
19,Paula Cole,"If not for music, I would probably be a very frustrated scientist. It's one way to answer the question, 'What is the meaning of life?' I feel music answers it better.","[life, meaning of life]",music
20,Bryan Adams,"If your music is great, you will have fans, not because you have spent time chatting on social media.","[time, social media, great]",music
21,Adam Ant,"I just think, certainly for live music it should look as good as it sounds.","[good, live, look]",music
22,Guy Oseary,"I'm a people person, very approachable. I go out every night, tons of functions. I love all facets of this industry... Music, film, TV, books, art. I love being around creative people.","[love, art, night]",music
23,Amy Winehouse,I listen to music that is of our time and I just get angry.,"[time, angry, listen]",music
24,Ryan Adams,Music is my thing. It's my thing; it's what I love. It's what I do. It's football to me; it's Christmas to me; religion to me; poetry to me.,"[christmas, love, poetry]",music
25,Laura Marling,"People don't appreciate music any more. They don't adore it. They don't buy vinyl and just love it. They love their laptops like their best friend, but they don't love a record for its sound quality and its artwork.","[love, best, best friend]",music
