,0,1,2,3
0,Albert Einstein,"Look deep into nature, and then you will understand everything better.","[deep, better, look]",nature
1,Albert Camus,In the depth of winter I finally learned that there was in me an invincible summer.,"[winter, me, summer]",nature
2,Ralph Waldo Emerson,Nature always wears the colors of the spirit.,"[colors, spirit, always]",nature
3,Albert Einstein,Joy in looking and comprehending is nature's most beautiful gift.,"[joy, intelligence, beautiful]",nature
4,Hans Christian Andersen,"Just living is not enough... one must have sunshine, freedom, and a little flower.","[freedom, flower, sunshine]",nature
5,Robert Frost,"The woods are lovely, dark and deep. But I have promises to keep, and miles to go before I sleep.","[sleep, deep, dark]",nature
6,Anthony J. D'Angelo,"Wherever you go, no matter what the weather, always bring your own sunshine.","[sunshine, weather, matter]",nature
7,Chantal Sutherland,"So many times, people told me I can't do this or can't do that. My nature is that I don't listen very well. I'm very determined, and I believe in myself. My parents brought me up that way. Thank God for that. I don't let anything stand in my way.","[god, myself, thank god]",nature
8,Stanislaw Jerzy Lec,"Youth is the gift of nature, but age is a work of art.","[work, art, age]",nature
9,Jules Renard,"On earth there is no heaven, but there are pieces of it.","[earth, heaven, pieces]",nature
10,Theodore Roethke,"Deep in their roots, all flowers keep the light.","[light, deep, flowers]",nature
11,Anne Frank,"The best remedy for those who are afraid, lonely or unhappy is to go outside, somewhere where they can be quiet, alone with the heavens, nature and God. Because only then does one feel that all is as it should be.","[best, god, alone]",nature
12,George Santayana,The family is one of nature's masterpieces.,"[family, masterpieces]",nature
13,John Muir,"Keep close to Nature's heart... and break clear away, once in awhile, and climb a mountain or spend a week in the woods. Wash your spirit clean.","[environmental, mountain]",nature
14,Pamela Hansford Johnson,The sky broke like an egg into full sunset and the water caught fire.,"[sunset, water, sky]",nature
15,Gerard De Nerval,Every flower is a soul blossoming in nature.,"[flower, soul, every]",nature
16,Lord Byron,"There is pleasure in the pathless woods, there is rapture in the lonely shore, there is society where none intrudes, by the deep sea, and music in its roar; I love not Man the less, but Nature more.","[love, music, deep]",nature
17,John Ruskin,"Sunshine is delicious, rain is refreshing, wind braces us up, snow is exhilarating; there is really no such thing as bad weather, only different kinds of good weather.","[snow, good, rain]",nature
18,Leigh Hunt,Colors are the smiles of nature.,"[smile, colors, smiles]",nature
19,Pedro Calderon de la Barca,"Green is the prime color of the world, and that from which its loveliness arises.","[color, world, green]",nature
20,Mattie Stepanek,"Sunset is still my favorite color, and rainbow is second.","[sunset, color, rainbow]",nature
21,John Muir,The clearest way into the Universe is through a forest wilderness.,"[universe, forest, way]",nature
22,Plautus,"The day, water, sun, moon, night - I do not have to purchase these things with money.","[money, water, moon]",nature
23,Henry Beston,"The three great elemental sounds in nature are the sound of rain, the sound of wind in a primeval wood, and the sound of outer ocean on a beach.","[rain, great, ocean]",nature
24,John Lubbock,"Earth and sky, woods and fields, lakes and rivers, the mountain and the sea, are excellent schoolmasters, and teach some of us more than we can ever learn from books.","[mountain, sea, sky]",nature
25,Henry Wadsworth Longfellow,The best thing one can do when it's raining is to let it rain.,"[best, rain, raining]",nature
