,0,1,2,3
0,Geoffrey Chaucer,"By nature, men love newfangledness.","[love, men]",nature
1,William Lyon Phelps,Nature makes boys and girls lovely to look upon so they can be tolerated until they acquire some sense.,"[look, lovely, boys and girls]",nature
2,Pink,"The willow is my favorite tree. I grew up near one. It's the most flexible tree in nature and nothing can break it - no wind, no elements, it can bend and withstand anything.","[tree, wind, nothing]",nature
3,Rebecca Solnit,"Revolution is as unpredictable as an earthquake and as beautiful as spring. Its coming is always a surprise, but its nature should not be.","[beautiful, revolution]",nature
4,Masanobu Fukuoka,"Ignorance, hatred and greed are killing nature.","[ignorance, greed, hatred]",nature
5,Bruce Lipton,"Nature is based on harmony. So it says if we want to survive and become more like nature, then we actually have to understand that it's cooperation versus competition.","[competition, want, harmony]",nature
6,Paul Stamets,"Mushrooms are miniature pharmaceutical factories, and of the thousands of mushroom species in nature, our ancestors and modern scientists have identified several dozen that have a unique combination of talents that improve our health.","[health, unique, ancestors]",nature
7,Joyce Carol Oates,"I don't think I'm morbid by nature. Serious writers have always written about serious subjects. Lighthearted material doesn't appeal to me, and I don't read it. I think I'm a realist, with a realistic sensibility of history and the tragedy of history.","[history, me, tragedy]",nature
8,James Cameron,Nature's imagination is so boundless compared to our own meager human imagination.,"[imagination, human, own]",nature
9,Diane Ackerman,"Gardeners may create order briefly out of chaos, but nature always gets the last word, and what it says is usually untidy by human standards. But I find all states of nature beautiful, and because I want to delight in my garden, not rule it, I just accept my yen to tame the chaos on one day and let the Japanese beetles run riot on the next.","[beautiful, day, chaos]",nature
10,Joe Taslim,"My favorite place in Indonesia is Bali. I was there with my family in Nusa Dua, and my kids loved it. I'm a workaholic, so for me, Bali is a place where you can have a vacation, but you can have your own moment as well. You feel like you blend with nature - and I love the beach.","[love, family, vacation]",nature
11,Philip James Bailey,Art is man's nature; nature is God's art.,"[art, god, man]",nature
12,"Harry Shum, Jr.","When I'm off the clock, I usually play video games - or do something nature-y so I can contribute to Mother Nature.","[mother, video games, clock]",nature
13,Clarence Day,"We talk of our mastery of nature, which sounds very grand; but the fact is we respectfully adapt ourselves, first, to her ways.","[adapt, talk, ways]",nature
14,John Ruskin,The sky is the part of creation in which nature has done for the sake of pleasing man.,"[sky, man, creation]",nature
15,Nathaniel Hawthorne,Moonlight is sculpture.,"[sculpture, moonlight]",nature
16,Pedro Calderon de la Barca,"What law, what reason can deny that gift so sweet, so natural that God has given a stream, a fish, a beast, a bird?","[god, gift, bird]",nature
17,Walt Whitman,I believe a leaf of grass is no less than the journey-work of the stars.,"[stars, believe, leaf]",nature
18,William C. Bryant,There is no glory in star or blossom till looked upon by a loving eye; There is no fragrance in April breezes till breathed with joy as they wander by.,"[joy, eye, blossom]",nature
19,Paul Dirac,Pick a flower on Earth and you move the farthest star.,"[flower, earth, star]",nature
20,Henry David Thoreau,There are moments when all anxiety and stated toil are becalmed in the infinite leisure and repose of nature.,"[moments, anxiety, leisure]",nature
21,John Muir,"Everybody needs beauty as well as bread, places to play in and pray in, where nature may heal and give strength to body and soul.","[strength, beauty, health]",nature
22,Justin Rosenstein,"Working together in concert more smoothly not only helps us move more quickly; it changes the nature of what we can undertake. When we have the confidence that we can orchestrate the group effort required to realize them, we dare bigger dreams.","[dreams, working together]",nature
23,Randy Travis,I've learned the importance of loving what you do. I have also learned more patience due to the nature of the music business.,"[music, business, patience]",nature
24,Mo Yan,"A writer should express criticism and indignation at the dark side of society and the ugliness of human nature, but we should not use one uniform expression.","[society, dark, uniform]",nature
25,Muhammad Iqbal,The scientific observer of Nature is a kind of mystic seeker in the act of prayer.,"[prayer, kind, act]",nature
