,0,1,2,3
0,Ralph Waldo Emerson,Write it on your heart that every day is the best day in the year.,"[best, heart, day]",newyears
1,Rainer Maria Rilke,And now we welcome the new year. Full of things that have never been.,"[welcome, year, new year]",newyears
2,Melody Beattie,"The new year stands before us, like a chapter in a book, waiting to be written. We can help write that story by setting goals.","[goals, book, waiting]",newyears
3,Sarah Ban Breathnach,"New Year's Day. A fresh start. A new chapter in life waiting to be written. New questions to be asked, embraced, and loved. Answers to be discovered and then lived in this transformative year of delight and self-discovery. Today carve out a quiet interlude for yourself in which to dream, pen in hand. Only dreams give birth to change.","[life, change, dreams]",newyears
4,Neil Gaiman,"I hope that in this year to come, you make mistakes. Because if you are making mistakes, then you are making new things, trying new things, learning, living, pushing yourself, changing yourself, changing your world. You're doing things you've never done before, and more importantly, you're doing something.","[hope, learning, mistakes]",newyears
5,Oprah Winfrey,Cheers to a new year and another chance for us to get it right.,"[year, chance, new year]",newyears
6,Alfred Lord Tennyson,"Hope smiles from the threshold of the year to come, whispering, 'It will be happier.'","[hope, year, will]",newyears
7,Helen Keller,"Your success and happiness lies in you. Resolve to keep happy, and your joy and you shall form an invincible host against difficulties.","[success, happiness, joy]",newyears
8,Sarah Ban Breathnach,Take a leap of faith and begin this wondrous new year by believing. Believe in yourself. And believe that there is a loving Source - a Sower of Dreams - just waiting to be asked to help you make your dreams come true.,"[dreams, faith]",newyears
9,Hal Borland,"Year's end is neither an end nor a beginning but a going on, with all the wisdom that experience can instill in us.","[wisdom, experience, end]",newyears
10,Benjamin Franklin,"Be at war with your vices, at peace with your neighbors, and let every new year find you a better man.","[peace, war, man]",newyears
11,Alfred Lord Tennyson,"Ring out the false, ring in the true.","[true, ring, false]",newyears
12,F. Scott Fitzgerald,"First you take a drink, then the drink takes a drink, then the drink takes you.","[you, drink, first]",newyears
13,Goran Persson,"Let our New Year's resolution be this: we will be there for one another as fellow members of humanity, in the finest sense of the word.","[humanity, year, resolution]",newyears
14,Melody Beattie,"Make New Year's goals. Dig within, and discover what you would like to have happen in your life this year. This helps you do your part. It is an affirmation that you're interested in fully living life in the year to come.","[life, goals, year]",newyears
15,Cyril Cusack,"If you asked me for my New Year Resolution, it would be to find out who I am.","[i am, year, me]",newyears
16,Charles Kettering,"Every time you tear a leaf off a calendar, you present a new place for new ideas and progress.","[time, progress, ideas]",newyears
17,Tom Peters,Celebrate what you want to see more of.,"[celebrate, want, see]",newyears
18,Bobby Bowden,"To have the kind of year you want to have, something has to happen that you can't explain why it happened. Something has to happen that you can't coach.","[year, want, happen]",newyears
19,Tucker Carlson,"I have no way of knowing how people really feel, but the vast majority of those I meet couldn't be nicer. Every once in a while someone barks at me. My New Year's resolution is not to bark back.","[people, year, me]",newyears
20,Walter Scott,Each age has deemed the new-born year the fittest time for festal cheer.,"[time, age, cheer]",newyears
21,James Agate,"New Year's Resolution: To tolerate fools more gladly, provided this does not encourage them to take up more of my time.","[time, year, resolution]",newyears
22,Wally Lamb,Accept what people offer. Drink their milkshakes. Take their love.,"[love, people, accept]",newyears
23,Aeschylus,What is there more kindly than the feeling between host and guest?,"[feeling, more, host]",newyears
24,Jonathan Edwards,"Resolution One: I will live for God. Resolution Two: If no one else does, I still will.","[god, resolution, live]",newyears
25,James Lafferty,My New Year's resolution is to stick to a good workout plan that will keep me healthy and happy.,"[good, happy, plan]",newyears
