,0,1,2,3
0,Charles R. Swindoll,Each day of our lives we make deposits in the memory banks of our children.,"[children, day, memory]",parenting
1,Frederick Douglass,It is easier to build strong children than to repair broken men.,"[children, strong, men]",parenting
2,James E. Faust,"To be a good father and mother requires that the parents defer many of their own needs and desires in favor of the needs of their children. As a consequence of this sacrifice, conscientious parents develop a nobility of character and learn to put into practice the selfless truths taught by the Savior Himself.","[father, children, good]",parenting
3,Jane D. Hull,"At the end of the day, the most overwhelming key to a child's success is the positive involvement of parents.","[positive, success, end]",parenting
4,Gena Lee Nolin,"My children are the reason I laugh, smile and want to get up every morning.","[smile, morning, children]",parenting
5,Henry Ward Beecher,We never know the love of a parent till we become parents ourselves.,"[love, parents, parent]",parenting
6,Sigmund Freud,I cannot think of any need in childhood as strong as the need for a father's protection.,"[father, strong, childhood]",parenting
7,Padma Lakshmi,"In truth, I am a single mother. But I don't feel alone at all in parenting my daughter. Krishna has a whole other side of her family who loves her, too. And so Krishna is parented by me, but also by her grandmother and aunts and cousins and uncles and friends.","[family, truth, alone]",parenting
8,Taylor Hanson,Having a baby is a life-changer. It gives you a whole other perspective on why you wake up every day.,"[day, baby, perspective]",parenting
9,Plato,"Let parents bequeath to their children not riches, but the spirit of reverence.","[children, parents, spirit]",parenting
10,Robert Fulghum,Don't worry that children never listen to you; worry that they are always watching you.,"[children, listen, worry]",parenting
11,Frank A. Clark,A baby is born with a need to be loved - and never outgrows it.,"[baby, loved, born]",parenting
12,Milton Sapirstein,"Education, like neurosis, begins at home.","[education, home, begins]",parenting
13,Tori Amos,Parenting is not for everybody. It changes your life. Especially when they're little.,"[life, changes, little]",parenting
14,Luther Burbank,"If we had paid no more attention to our plants than we have to our children, we would now be living in a jungle of weed.","[children, living, attention]",parenting
15,Meryl Streep,"The interesting thing about being a mother is that everyone wants pets, but no one but me cleans the kitty litter.","[mother, me, interesting]",parenting
16,Hugh Jackman,"Becoming a father, I think it inevitably changes your perspective of life. I don't get nearly enough sleep. And the simplest things in life are completely satisfying. I find you don't have to do as much, like you don't go on as many outings.","[life, father, sleep]",parenting
17,Robert Webb,"Parenting girls makes you quite gender-conscious - it's almost impossible to fight the power of pink. It's not such a terrible thing to want to be a princess when you're five, but it would be nice if there were some other options.","[power, fight, princess]",parenting
18,Nadia Boulanger,"Loving a child doesn't mean giving in to all his whims; to love him is to bring out the best in him, to teach him to love what is difficult.","[love, best, giving]",parenting
19,Bob Filner,"Childhood obesity is best tackled at home through improved parental involvement, increased physical exercise, better diet and restraint from eating.","[best, home, childhood]",parenting
20,Ben Stein,"Screaming at children over their grades, especially to the point of the child's tears, is child abuse, pure and simple. It's not funny and it's not good parenting. It is a crushing, scarring, disastrous experience for the child. It isn't the least bit funny.","[funny, experience, children]",parenting
21,Ron Taffel,"Even as kids reach adolescence, they need more than ever for us to watch over them. Adolescence is not about letting go. It's about hanging on during a very bumpy ride.","[ride, letting go]",parenting
22,Paul Walker,"Thing is, I went to a born-again Christian high school, was brought up in a traditional Mormon family where these ideas about parenting are of structure and sacrifice. To think outside of that idea of family and parenting that I've grown up with is tough but also very freeing.","[family, school, sacrifice]",parenting
23,Billy Graham,A child who is allowed to be disrespectful to his parents will not have true respect for anyone.,"[respect, parents, child]",parenting
24,"H. Jackson Brown, Jr.","Always kiss your children goodnight, even if they're already asleep.","[children, kiss, always]",parenting
25,Tina Turner,I regret not having had more time with my kids when they were growing up.,"[time, regret, growing up]",parenting
