,0,1,2,3
0,Chelsea Clinton,"My parents were definitely on the incentive side of parenting. Like, they told me that my father had learned to read when he was three. So, of course, I thought I had to, too.","[father, parents, thought]",parenting
1,Jane Kaczmarek,"You can make sure your kids make their beds and hang up their clothes and put their dishes in the dishwasher when you're the one calling the shots. So, parenting alone, for me anyway, I think is almost easier, being single.","[alone, me, think]",parenting
2,Lee Strobel,"My worldview, my philosophy, my attitudes, my relationships, my parenting, my marriage - everything has been transformed by my relationship with Christ.","[relationship, marriage]",parenting
3,Anna Quindlen,Children should have enough freedom to be themselves - once they've learned the rules.,"[freedom, children, rules]",parenting
4,Patricia Heaton,"It's hard enough to work and raise a family when your kids are all healthy and relatively normal, but when you add on some kind of disability or disease, it can just be such a burden.","[family, work, disability]",parenting
5,John H. Johnson,My mother was the influence in my life. She was strong; she had great faith in the ultimate triumph of justice and hard work. She believed passionately in education.,"[life, education, work]",parenting
6,Amy Chua,"I do not think there was anything abusive in my house. Yet, I stand by a lot of my critiques of Western parenting. I think there's a lot of questions about how you instill true self-esteem.","[stand, questions, true]",parenting
7,George Bernard Shaw,"Parentage is a very important profession, but no test of fitness for it is ever imposed in the interest of the children.","[children, fitness, important]",parenting
8,Gloria Steinem,Most American children suffer too much mother and too little father.,"[father, children, mother]",parenting
9,Bill Cosby,"My childhood should have taught me lessons for my own fatherhood, but it didn't because parenting can only be learned by people who have no children.","[children, childhood, people]",parenting
10,Steven Spielberg,I think Lincoln had a unique parenting style. He let his kids run free and wild.,"[style, unique, free]",parenting
11,Suze Orman,"If you're financially responsible, your children have a much better chance to grow up financially responsible.","[children, chance, grow]",parenting
12,Alanis Morissette,"My son was five months old, and I built a makeshift studio in my living room so that I could do the attachment parenting approach and write the record at the same time. That was fortuitous, that we could build that in the house.","[time, son, living]",parenting
13,Andy Serkis,I think parenting is very different now. We're totally governed by our children!,"[children, think, different]",parenting
14,Jennifer Aniston,"Of course, the ideal scenario for parenting is obviously two parents of a mature age.","[age, parents, mature]",parenting
15,Jennifer Aniston,Parenting is one of the hardest jobs on earth.,"[earth, hardest, jobs]",parenting
16,Monica Johnson,"From politics to parenting, Christians have something to say.","[politics, something, say]",parenting
17,Shakira,"Gerard and I pretty much share all parenting responsibilities, although I'm definitely the disciplinarian.","[pretty, much, share]",parenting
18,Helen Fisher,"If two very different people pool their DNA, they'll create more genetic variety, and their young will come to the job of parenting with a wider array of skills.","[job, people, young]",parenting
19,Christy Turlington,Parents should not smoke in order to discourage their kids from smoking. A child is more likely to smoke when they have been raised in the environment of a smoker.,"[parents, environment]",parenting
20,Ben Shapiro,Kids are fat because of lack of parenting.,"[fat, kids, lack]",parenting
21,Lewis Black,Parenting isn't just parenting your own child.,"[child, own, just]",parenting
22,Kourtney Kardashian,I love to read books that focus on parenting topics because there are so many different ways to do things. I find these books offer a lot of great opinions on many different subjects.,"[love, great, focus]",parenting
23,Kourtney Kardashian,"I am always trying to evolve, so I like to read parenting books and things like that.","[i am, trying, always]",parenting
24,Honore de Balzac,A mother who is really a mother is never free.,"[mother, free, never]",parenting
25,James E. Faust,"We learn much of parenting from our own parents. My love for my father deepened profoundly when he was kind, patient, and understanding.","[love, father, parents]",parenting
