,0,1,2,3
0,Phillips Brooks,Be patient and understanding. Life is too short to be vengeful or malicious.,"[life, life is too short]",patience
1,Harriet Tubman,"Every great dream begins with a dreamer. Always remember, you have within you the strength, the patience, and the passion to reach for the stars to change the world.","[change, strength, dreams]",patience
2,Joyce Meyer,Patience is not simply the ability to wait - it's how we behave while we're waiting.,"[waiting, wait, ability]",patience
3,Joyce Meyer,"I believe that a trusting attitude and a patient attitude go hand in hand. You see, when you let go and learn to trust God, it releases joy in your life. And when you trust God, you're able to be more patient. Patience is not just about waiting for something... it's about how you wait, or your attitude while waiting.","[life, trust, god]",patience
4,Leo Tolstoy,The two most powerful warriors are patience and time.,"[time, war, powerful]",patience
5,Robert H. Schuller,Never cut a tree down in the wintertime. Never make a negative decision in the low time. Never make your most important decisions when you are in your worst moods. Wait. Be patient. The storm will pass. The spring will come.,"[time, tree, decisions]",patience
6,Samuel Johnson,Great works are performed not by strength but by perseverance.,"[strength, perseverance]",patience
7,Soren Kierkegaard,"Patience is necessary, and one cannot reap immediately where one has sown.","[reap, where, necessary]",patience
8,Edmund Burke,Our patience will achieve more than our force.,"[achieve, will, force]",patience
9,Jean-Jacques Rousseau,"Patience is bitter, but its fruit is sweet.","[sweet, fruit, bitter]",patience
10,Elon Musk,"Patience is a virtue, and I'm learning patience. It's a tough lesson.","[learning, tough, lesson]",patience
11,Saint Augustine,Patience is the companion of wisdom.,"[wisdom, companion]",patience
12,David A. Bednar,"Sometimes we may ask God for success, and He gives us physical and mental stamina. We might plead for prosperity, and we receive enlarged perspective and increased patience, or we petition for growth and are blessed with the gift of grace. He may bestow upon us conviction and confidence as we strive to achieve worthy goals.","[success, god, confidence]",patience
13,Lao Tzu,"I have just three things to teach: simplicity, patience, compassion. These three are your greatest treasures.","[wisdom, greatest, compassion]",patience
14,Napoleon Hill,"Patience, persistence and perspiration make an unbeatable combination for success.","[success, persistence]",patience
15,Swami Sivananda,There is something good in all seeming failures. You are not to see that now. Time will reveal it. Be patient.,"[time, good, see]",patience
16,Carl Jung,"Even a happy life cannot be without a measure of darkness, and the word happy would lose its meaning if it were not balanced by sadness. It is far better take things as they come along with patience and equanimity.","[life, happy, darkness]",patience
17,Arnold H. Glasow,"The key to everything is patience. You get the chicken by hatching the egg, not by smashing it.","[you, key, egg]",patience
18,Saadi,Have patience. All things are difficult before they become easy.,"[easy, difficult, things]",patience
19,William Penn,"Patience and Diligence, like faith, remove mountains.","[faith, mountains, diligence]",patience
20,Heraclitus,"Good character is not formed in a week or a month. It is created little by little, day by day. Protracted and patient effort is needed to develop good character.","[good, character, day]",patience
21,Paulo Coelho,"I have seen many storms in my life. Most storms have caught me by surprise, so I had to learn very quickly to look further and understand that I am not capable of controlling the weather, to exercise the art of patience and to respect the fury of nature.","[life, nature, art]",patience
22,Sheri L. Dew,"Indeed, this life is a test. It is a test of many things - of our convictions and priorities, our faith and our faithfulness, our patience and our resilience, and in the end, our ultimate desires.","[life, faith, end]",patience
23,Peter Marshall,"Teach us, O Lord, the disciplines of patience, for to wait is often harder than to work.","[work, wait, teach]",patience
24,William Golding,He who rides the sea of the Nile must have sails woven of patience.,"[sea, sails, nile]",patience
25,Lawrence G. Lovasik,"The practice of patience toward one another, the overlooking of one another's defects, and the bearing of one another's burdens is the most elementary condition of all human and social activity in the family, in the professions, and in society.","[family, society, practice]",patience
