,0,1,2,3
0,Virgil,"Come what may, all bad fortune is to be conquered by endurance.","[bad, endurance, may]",patience
1,Phaedrus,Everyone is bound to bear patiently the results of his own example.,"[results, everyone, bear]",patience
2,Tokugawa Ieyasu,The strong manly ones in life are those who understand the meaning of the word patience.,"[life, strong, meaning]",patience
3,Ralph Waldo Emerson,Adopt the pace of nature: her secret is patience.,"[nature, wisdom, secret]",patience
4,Dieter F. Uchtdorf,"With patience and persistence, even the smallest act of discipleship or the tiniest ember of belief can become a blazing bonfire of a consecrated life. In fact, that's how most bonfires begin - as a simple spark.","[life, persistence, simple]",patience
5,Ambrose Bierce,Meekness: Uncommon patience in planning a revenge that is worth while.,"[revenge, planning, worth]",patience
6,Helen Hayes,"When traveling with someone, take large does of patience and tolerance with your morning coffee.","[travel, morning, coffee]",patience
7,Ryunosuke Satoro,Find patience in the breath of life.,"[life, find, breath]",patience
8,Anthony Hamilton,"I learned patience, perseverance, and dedication. Now I really know myself, and I know my voice. It's a voice of pain and victory.","[perseverance, myself, pain]",patience
9,Bill Brandt,"Sometimes they are a matter of luck; the photographer could not expect or hope for them. Sometimes they are a matter of patience, waiting for an effect to be repeated that he has seen and lost or for one that he anticipates.","[hope, waiting, luck]",patience
10,Charles Churchill,Patience is sorrow's salve.,[sorrow],patience
11,Charles Stanley,"The Scriptures contain many stories of people who waited years or even decades before the Lord's promises came to pass. What modern believers can learn from the patience of biblical saints like Abraham, Joseph, David, and Paul is that waiting upon the Lord has eternal rewards.","[waiting, people, learn]",patience
12,"Harry Shum, Jr.","I've always been a person with patience, and I don't like to force things.","[always, force, person]",patience
13,Ricky Martin,"Amongst the qualities a hero should have, I would include determination, loyalty, courage, perseverance, patience, focus, intrepidity and selflessness.","[courage, perseverance, hero]",patience
14,John C. Reilly,"Being a father has fulfilled me in parts of my life that sustain me. It gives me a comfort and patience. All actors have this hole inside that they're trying to fill by performing. I'm anxious to keep creating, but I'm not so desperate any more because I have the love and support of my kids and wife.","[life, love, father]",patience
15,Tate Donovan,A career in showbiz is like a distance run. You have to have patience and pace yourself.,"[yourself, career, you]",patience
16,Lyle Lovett,Horses teach you patience and how to do things the right way so you can get the right result.,"[teach, way, you]",patience
17,Chris Pine,Dating someone on the opposite end of the happy spectrum teaches you an incredible amount of patience.,"[happy, end, dating]",patience
18,Deirdre O'Kane,The notion that patience is a virtue is something you don't fully appreciate until you're a parent. You need endless patience with little ones.,"[parent, appreciate, you]",patience
19,Donald Trump,"I have embraced crying mothers who have lost their children because our politicians put their personal agendas before the national good. I have no patience for injustice, no tolerance for government incompetence, no sympathy for leaders who fail their citizens.","[children, good, sympathy]",patience
20,Michelle Obama,"And I love that even in the toughest moments, when we're all sweating it - when we're worried that the bill won't pass, and it seems like all is lost - Barack never lets himself get distracted by the chatter and the noise. Just like his grandmother, he just keeps getting up and moving forward... with patience and wisdom, and courage and grace.","[love, wisdom, courage]",patience
21,Pete Wentz,"With marriage and fatherhood, I've finally found two fixed points in my life. They've taught me patience. They've also taught me that I don't need to feel guilty about being happy. My emotional seasons are less extreme.","[life, marriage, happy]",patience
22,Evelyn Underhill,"Deliberately seek opportunities for kindness, sympathy, and patience.","[wisdom, kindness, sympathy]",patience
23,John Dryden,Beware the fury of a patient man.,"[man, patient, beware]",patience
24,George Jackson,"Patience has its limits. Take it too far, and it's cowardice.","[limits, far, cowardice]",patience
25,Judith Light,You have to find the peace and patience within yourself to be a model and an example to others and not judge.,"[peace, yourself, judge]",patience
