,0,1,2,3
0,Abraham Lincoln,My dream is of a place and a time where America will once again be seen as the last best hope of earth.,"[best, time, hope]",patriotism
1,Joe Biden,Fighting corruption is not just good governance. It's self-defense. It's patriotism.,"[good, corruption, fighting]",patriotism
2,Pauline Hanson,"To survive in peace and harmony, united and strong, we must have one people, one nation, one flag.","[peace, strong, people]",patriotism
3,Harry S Truman,"America was not built on fear. America was built on courage, on imagination and an unbeatable determination to do the job at hand.","[courage, fear, determination]",patriotism
4,Barack Obama,"We, the People, recognize that we have responsibilities as well as rights; that our destinies are bound together; that a freedom which only asks what's in it for me, a freedom without a commitment to others, a freedom without love or charity or duty or patriotism, is unworthy of our founding ideals, and those who died in their defense.","[love, freedom, together]",patriotism
5,Mark Twain,Patriot: the person who can holler the loudest without knowing what he is hollering about.,"[knowing, patriot, person]",patriotism
6,Alexis de Tocqueville,"The greatness of America lies not in being more enlightened than any other nation, but rather in her ability to repair her faults.","[greatness, america, nation]",patriotism
7,Lao Tzu,"When a nation is filled with strife, then do patriots flourish.","[nation, patriots, then]",patriotism
8,Allen Boyd,"America's fighting men and women sacrifice much to ensure that our great nation stays free. We owe a debt of gratitude to the soldiers that have paid the ultimate price for this cause, as well as for those who are blessed enough to return from the battlefield unscathed.","[gratitude, women, great]",patriotism
9,Mark Twain,"Patriotism is supporting your country all the time, and your government when it deserves it.","[time, government, country]",patriotism
10,Chris Kyle,"It was my duty to shoot the enemy, and I don't regret it. My regrets are for the people I couldn't save: Marines, soldiers, buddies. I'm not naive, and I don't romanticize war. The worst moments of my life have come as a SEAL. But I can stand before God with a clear conscience about doing my job.","[life, war, god]",patriotism
11,John F. Kennedy,"Let every nation know, whether it wishes us well or ill, that we shall pay any price, bear any burden, meet any hardship, support any friend, oppose any foe to assure the survival and the success of liberty.","[success, support, survival]",patriotism
12,Leo Tolstoy,"The greater the state, the more wrong and cruel its patriotism, and the greater is the sum of suffering upon which its power is founded.","[power, suffering, wrong]",patriotism
13,Ronald Reagan,"If we ever forget that we are One Nation Under God, then we will be a nation gone under.","[god, forget, nation]",patriotism
14,Tecumseh,"Let us form one body, one heart, and defend to the last warrior our country, our homes, our liberty, and the graves of our fathers.","[heart, body, liberty]",patriotism
15,Stonewall Jackson,"The patriot volunteer, fighting for country and his rights, makes the most reliable soldier on earth.","[volunteer, soldier, earth]",patriotism
16,Patrick Henry,"Is life so dear or peace so sweet as to be purchased at the price of chains and slavery? Forbid it, Almighty God! I know not what course others may take, but as for me, give me liberty, or give me death!","[life, death, peace]",patriotism
17,Winston Churchill,Never in the field of human conflict was so much owed by so many to so few.,"[conflict, human, many]",patriotism
18,John F. Kerry,"I saw courage both in the Vietnam War and in the struggle to stop it. I learned that patriotism includes protest, not just military service.","[war, courage, struggle]",patriotism
19,Robert Walpole,"It is but refusing to gratify an unreasonable or an insolent demand, and up starts a patriot.","[patriot, unreasonable, up]",patriotism
20,Chris Kyle,"When I grew up, I only had two dreams. One was to be a cowboy and another was to be in the military. I grew up extremely patriotic and riding horses.","[dreams, military, two]",patriotism
21,Robert Charles Winthrop,There are no points of the compass on the chart of true patriotism.,"[compass, true, memorial day]",patriotism
22,Bob Dylan,"I define nothing. Not beauty, not patriotism. I take each thing as it is, without prior rules about what it should be.","[beauty, rules, nothing]",patriotism
23,Bill Kristol,"If terror groups are to be defeated, it is national governments that will have to do so. In nations like India, governments will have to call on the patriotism of citizens to fight the terrorists. In a nation like Pakistan, the government will have to be persuaded to deal with those in their midst who are complicit.","[government, fight, nation]",patriotism
24,Charlie Dent,"We live in a time of conflict - external and internal - when we sometimes concentrate too much on what divides us. Today, fly the Stars and Stripes with pride and confidence that what unites is far stronger.","[time, confidence, stars]",patriotism
25,George S. Patton,"Wars may be fought with weapons, but they are won by men. It is the spirit of men who follow and of the man who leads that gains the victory.","[man, men, victory]",patriotism
