,0,1,2,3
0,Robert Reich,True patriotism isn't cheap. It's about taking on a fair share of the burden of keeping America going.,"[america, true, burden]",patriotism
1,Dominique de Villepin,I think that economic patriotism is the very foundation of a European vision.,"[vision, foundation, think]",patriotism
2,William Blum,"America's state religion, is patriotism, a phenomenon which has convinced many of the citizenry that 'treason' is morally worse than murder or rape.","[religion, america, many]",patriotism
3,Marine Le Pen,"There's something I will say: In the U.S., people are very patriotic. Their patriotism is obvious. In France, for many years, you had to fight to be patriotic. People are pushing us from loving our own country.","[people, fight, country]",patriotism
4,Cory Booker,"Patriotism is a love of country. If you love your country, you should love your countrymen and women. It doesn't mean you always agree with them or even like them. It is understanding that we have interwoven destiny.","[love, women, destiny]",patriotism
5,Henry Louis Gates,"Patriotism is best exemplified through auto-critique. When you're willing to stand up within the group and say, 'It is wrong for Black people to be anti-Semitic,' or 'It is wrong for America to discriminate against persons of African descent and made them slaves and based its wealth upon free labor,' it's crucial to say that.","[best, stand up, america]",patriotism
6,Juan Williams,"If his presidency is to represent the full power of the idea that black Americans are just like everyone else - fully human and fully capable of intellect, courage and patriotism - then Barack Obama has to be subject to the same rough and tumble of political criticism experienced by his predecessors.","[courage, power, political]",patriotism
7,George Orwell,"Patriotism is usually stronger than class hatred, and always stronger than internationalism.","[stronger, class, always]",patriotism
8,George Santayana,"To me, it seems a dreadful indignity to have a soul controlled by geography.","[soul, me, geography]",patriotism
9,Winston Churchill,"I was only the servant of my country and had I, at any moment, failed to express her unflinching resolve to fight and conquer, I should at once have been rightly cast aside.","[fight, moment, conquer]",patriotism
10,Francis Ford Coppola,"Most Italians who came to this country are very patriotic. There was this exciting possibility that if you worked real hard, and you loved something, you could become successful.","[successful, loved, country]",patriotism
11,John Thune,"I believe our flag is more than just cloth and ink. It is a universally recognized symbol that stands for liberty, and freedom. It is the history of our nation, and it's marked by the blood of those who died defending it.","[history, freedom, believe]",patriotism
12,Kenny Marchant,"This year, as we celebrate the 230th anniversary of America's independence, please remember the symbols that are sacred to this country. Fly Old Glory high and show your respect and admiration for this great nation and the values we hold dear.","[respect, anniversary, great]",patriotism
13,Frank Knox,Patriotism was a living fire of unquestioned belief and purpose.,"[fire, purpose, living]",patriotism
14,Denis Diderot,Patriotism is an ephemeral motive that scarcely ever outlasts the particular threat to society that aroused it.,"[society, motive, ephemeral]",patriotism
15,Monica Crowley,"During President George W. Bush's two terms, you couldn't drive far without seeing a particular bumper sticker: 'Dissent is the highest form of patriotism.'","[you, drive, two]",patriotism
16,Leon Bourgeois,"The concept of patriotism is not incompatible with that of humanity; on the contrary, let me state emphatically that he who best serves pacifism serves patriotism best. The nation is and can be no more than the vital basic unit of any international league.","[best, humanity, me]",patriotism
17,John C. Calhoun,Protection and patriotism are reciprocal. This is the way which has led nations to greatness.,"[greatness, way, protection]",patriotism
18,John Linder,"The American patriots of today continue the tradition of the long line of patriots before them, by helping to promote liberty and freedom around the world.","[freedom, today, world]",patriotism
19,Mike Ferguson,"Although the war in which you fought took place more than half-a-century ago, your courage, your sacrifice and your patriotism reaches through the decades and inspires us today.","[war, courage, today]",patriotism
20,Jack Bowman,But my patriotism goes for something beyond what we have. We don't have something that I want to die for - anymore.,"[die, want, beyond]",patriotism
21,Rebecca Harding Davis,"Our young people have come to look upon war as a kind of beneficent deity, which not only adds to the national honor but uplifts a nation and develops patriotism and courage.","[war, courage, honor]",patriotism
22,Todd Gitlin,"Some versions of patriotism come close to the tribal, which we all want to surpass, and some don't.","[want, close, versions]",patriotism
23,Parker Stevenson,"I think the reaction to a World War II situation would be the same today as it was in 1942. Initially, people would question, but once patriotism got stirred up, the whole thing would gather momentum and we'd all pull together.","[war, today, together]",patriotism
24,Ted Cruz,"Look, I think Hispanic community - the values that resonate in our community are fundamentally conservative. They are faith, family and patriotism.","[family, faith, community]",patriotism
25,Ted Cruz,"I think Hispanic community - the values that resonate in our community are fundamentally conservative. They are faith, family and patriotism. Do you know the rate of military enlistment among Hispanics is higher than any demographic in this country? And they are also hard work and responsibility.","[family, work, hard work]",patriotism
