,0,1,2,3
0,Samantha Smith,God made the world for us to live together in peace and not fight.,"[god, together, world]",peace
1,Studs Terkel,I hope for peace and sanity - it's the same thing.,"[hope, same, thing]",peace
2,Robert Falcon Scott,But take comfort in that I die at peace with the world and myself - not afraid.,"[myself, world, die]",peace
3,Óscar Arias,Peace is a never ending process... It cannot ignore our differences or overlook our common interests. It requires us to work and live together.,"[work, together, differences]",peace
4,Anna Lindh,We need new partnerships in fighting terrorism and building peace.,"[building, partnerships]",peace
5,Yitzhak Rabin,"Israel is no longer a people that dwells alone, and has to join the global journey toward peace, reconciliation and international cooperation.","[journey, alone, people]",peace
6,Paul Robeson,I know that if the peace movement takes its message boldly to the Negro people a powerful force can be secured in pursuit of the greatest goal of all mankind. And the same is true of labor and the great democratic sections of our population.,"[great, greatest, goal]",peace
7,Paul Robeson,"Like any other people, like fathers, mothers, sons and daughters in every land, when the issue of peace or war has been put squarely to the American people, they have registered for peace.","[war, people, american]",peace
8,Kenny Marchant,"I wish the Peace Corps and its volunteers continued success and perseverance. We are grateful for their contributions to society and dedication to providing assistance where it is needed. May the Peace Corps continue its legacy of service, both at home and abroad.","[success, home, perseverance]",peace
9,Sandra Cisneros,"Revenge only engenders violence, not clarity and true peace. I think liberation must come from within.","[revenge, violence, clarity]",peace
10,Richard Gere,"When His Holiness won the Nobel Peace Prize, there was a quantum leap. He is not seen as solely a Tibetan anymore; he belongs to the world.","[world, prize, leap]",peace
11,Jose Luis Rodriguez Zapatero,Any peace process after so many years of horror and terror will be long and difficult.,"[difficult, process, long]",peace
12,George A. Smith,"Man does find in Nature deliverance from himself, oblivion of his past, with peace and purity!","[nature, past, man]",peace
13,Adlai E. Stevenson,"The journey of a thousand leagues begins with a single step. So we must never neglect any work of peace within our reach, however small.","[work, journey, small]",peace
14,Johann Wolfgang von Goethe,Piety is not a goal but a means to attain through the purest peace of mind the highest culture.,"[culture, goal, mind]",peace
15,Livy,There are laws for peace as well as war.,"[war, laws, well]",peace
16,Thomas Hardy,My argument is that War makes rattling good history; but Peace is poor reading.,"[war, history, good]",peace
17,Grover Cleveland,"Communism is a hateful thing, and a menace to peace and organized government.","[government, communism]",peace
18,Ron Paul,"I am just absolutely convinced that the best formula for giving us peace and preserving the American way of life is freedom, limited government, and minding our own business overseas.","[life, best, business]",peace
19,Theodore Roosevelt,"Germany has reduced savagery to a science, and this great war for the victorious peace of justice must go on until the German cancer is cut clean out of the world body.","[war, science, great]",peace
20,Ann Coulter,"Four years of Jimmy Carter gave us two titanic Reagan landslides, peace and prosperity for eight blessed years - and even a third term for his feckless vice president, George H.W. Bush.","[blessed, prosperity, four]",peace
21,Haley Barbour,I think the American people are very smart in understanding our country is very trustworthy with nuclear weapons. We've had them from the beginning. But they have also been critical for keeping the world more at peace than it would have been if it hadn't been for the American nuclear umbrella.,"[smart, beginning, world]",peace
22,Paula Deen,"I'll keep peace at all cost, even if I choke to death on my tongue.","[death, tongue, cost]",peace
23,Darrell Issa,Peace in Palestine is inevitable. The question is how do we make it happen today.,"[today, make it happen]",peace
24,Desmond Tutu,"The minute you got the Nobel Peace Prize, things that I said yesterday, with nobody paying too much attention, I say the same things after I got it - oh! It was quite crucial for people, and it helped our morale because apartheid did look invincible.","[people, attention, said]",peace
25,Francois Hollande,"The United Nations will be at the heart of our international activities. France will assume its full responsibilities at the Security Council by putting its status at the service of peace, respect for human rights and development.","[respect, heart, service]",peace
