,0,1,2,3
0,Anatole France,Until one has loved an animal a part of one's soul remains unawakened.,"[soul, animal, loved]",pet
1,Josh Billings,A dog is the only thing on earth that loves you more than you love yourself.,"[love, love yourself, dog]",pet
2,Robert A. Heinlein,"Women and cats will do as they please, and men and dogs should relax and get used to the idea.","[women, relax, men]",pet
3,Martin Buber,An animal's eyes have the power to speak a great language.,"[power, great, eyes]",pet
4,Sigmund Freud,Time spent with cats is never wasted.,"[time, cats, never]",pet
5,Kinky Friedman,"Money can buy you a fine dog, but only love can make him wag his tail.","[love, money, dog]",pet
6,Roger Caras,"Dogs are not our whole life, but they make our lives whole.","[life, dogs, our lives]",pet
7,James Herriot,"If having a soul means being able to feel love and loyalty and gratitude, then animals are better off than a lot of humans.","[love, gratitude, loyalty]",pet
8,Demetri Martin,"I love women, but I feel like you can't trust some of them. Some of them are liars, you know? Like I was in the park and I met this girl, she was cute and she had a dog. And I went up to her, we started talking. She told me her dog's name. Then I said, 'Does he bite?' She said, 'No.' And I said, 'Oh yeah? Then how does he eat?' Liar.","[love, trust, women]",pet
9,Paula Cole,Just watching my cats can make me happy.,"[happy, cats, me]",pet
10,Bernard Williams,There is no psychiatrist in the world like a puppy licking your face.,"[world, face, puppy]",pet
11,Charles de Gaulle,"The better I get to know men, the more I find myself loving dogs.","[myself, men, dogs]",pet
12,Winston Churchill,I am fond of pigs. Dogs look up to us. Cats look down on us. Pigs treat us as equals.,"[i am, cats, treat]",pet
13,Terry Pratchett,In ancient times cats were worshipped as gods; they have not forgotten this.,"[cats, gods, forgotten]",pet
14,Edgar Allan Poe,I wish I could write as mysterious as a cat.,"[wish, mysterious, cat]",pet
15,John Bacon,I heard that Jesus had a pet dinosaur. Evolution must be a myth then.,"[evolution, jesus, myth]",pet
16,Edith Wharton,My little dog - a heartbeat at my feet.,"[dog, feet, heartbeat]",pet
17,Immanuel Kant,He who is cruel to animals becomes hard also in his dealings with men. We can judge the heart of a man by his treatment of animals.,"[heart, man, men]",pet
18,W. C. Fields,The clever cat eats cheese and breathes down rat holes with baited breath.,"[cheese, clever, down]",pet
19,Rod McKuen,"Cats have it all - admiration, an endless sleep, and company only when they want it.","[sleep, cats, company]",pet
20,Jane Goodall,"You cannot share your life with a dog, as I had done in Bournemouth, or a cat, and not know perfectly well that animals have personalities and minds and feelings.","[life, dog, animals]",pet
21,Linda Blair,It's difficult to understand why people don't realize that pets are gifts to mankind.,"[people, difficult, realize]",pet
22,Konrad Lorenz,It is a good morning exercise for a research scientist to discard a pet hypothesis every day before breakfast. It keeps him young.,"[morning, science, good]",pet
23,Dwight D. Eisenhower,What counts is not necessarily the size of the dog in the fight - it's the size of the fight in the dog.,"[dog, fight, size]",pet
24,Mason Cooley,"Cats are inquisitive, but hate to admit it.","[hate, cats, admit]",pet
25,Billy Graham,A real Christian is a person who can give his pet parrot to the town gossip.,"[gossip, christian, real]",pet
