,0,1,2,3
0,Marie Corelli,"I never married because there was no need. I have three pets at home which answer the same purpose as a husband. I have a dog which growls every morning, a parrot which swears all afternoon, and a cat that comes home late at night.","[home, morning, dog]",pet
1,Angus Young,"There are all sorts of cute puppy dogs, but it doesn't stop people from going out and buying Dobermans.","[cute, people, dogs]",pet
2,Antonio Banderas,"Cats are very independent animals. They're very sexy, if you want. Dogs are different. They're familiar. They're obedient. You call a cat, you go, 'Cat, come here.' He doesn't come to you unless you have something in your hand that he thinks might be food. They're very free animals, and I like that.","[food, cats, sexy]",pet
3,Mickey Rivers,"It was so cold today that I saw a dog chasing a cat, and the dog was walking.","[today, dog, walking]",pet
4,Dick Van Patten,I love cats.,"[love, cats, i love]",pet
5,H. G. Bissinger,"Actually, my dog I think is the only person who consistently loves me all the time.","[time, dog, me]",pet
6,Paul Rudd,I think there's something great and generic about goldfish. They're everybody's first pet.,"[great, think, something]",pet
7,Jack White,"Vinyl is the real deal. I've always felt like, until you buy the vinyl record, you don't really own the album. And it's not just me or a little pet thing or some kind of retro romantic thing from the past. It is still alive.","[romantic, past, me]",pet
8,Seal,Packing is my pet hate.,"[hate, packing]",pet
9,Betty White,"It's a little known fact that one in three family pets gets lost during its lifetime, and approximately 9 million pets enter shelters each year. That's why it's a wonderful thing to get your pet microchipped and registered with your contact information because then they can be located and the owners can track where their pets are.","[family, year, information]",pet
10,Rashida Jones,"My pet peeve and my goal in life is to somehow get an adjective for 'integrity' in the dictionary. 'Truthful' doesn't really cover it, or 'genuine.' It should be like 'integritus.'","[life, integrity, goal]",pet
11,Eva Longoria,"When you're fighting for social justice, one of my biggest pet peeves is speaking out of ignorance.","[justice, ignorance]",pet
12,Paul Watson,Whales are killed today to supply the limited demand for whale meat or to be used in pet foods or as fodder for fur-bearing animals used in the fur trade.,"[today, animals, meat]",pet
13,Rachel Sklar,It is a pet peeve of mine when people throw around arguments citing 'Fair Use' and yet fail to actually explain what a fair use argument actually is.,"[people, argument, fail]",pet
14,Christopher Morley,No one appreciates the very special genius of your conversation as the dog does.,"[dog, conversation, genius]",pet
15,Oliver Herford,"Cat: a pygmy lion who loves mice, hates dogs, and patronizes human beings.","[lion, dogs, human]",pet
16,Robert Benchley,"A dog teaches a boy fidelity, perseverance, and to turn around three times before lying down.","[perseverance, dog, down]",pet
17,William S. Burroughs,The cat does not offer services. The cat offers itself. Of course he wants care and shelter. You don't buy love for nothing.,"[love, care, nothing]",pet
18,Woodrow Wilson,"If a dog will not come to you after having looked you in the face, you should go home and examine your conscience.","[home, dog, face]",pet
19,Eddie Izzard,"Cats have a scam going - you buy the food, they eat the food, they go away; that's the deal.","[food, cats, you]",pet
20,Quentin Tarantino,Dogs got personality. Personality goes a long way.,"[personality, dogs, way]",pet
21,Rick Warren,I can't imagine God not allowing my dog into heaven.,"[god, dog, heaven]",pet
22,Richard Dean Anderson,Dogs are my favorite people.,"[people, dogs, favorite]",pet
23,William H. Macy,"I was a dog in a past life. Really. I'll be walking down the street and dogs will do a sort of double take. Like, Hey, I know him.","[life, dog, past]",pet
24,Andrew Weil,One of the most obvious ways dogs can improve our physical and mental health is via daily walks.,"[health, daily, mental health]",pet
25,Kaspar Hauser,Many cats are the death of the mouse.,"[death, cats, mouse]",pet
