,0,1,2,3
0,Albert Einstein,"Pure mathematics is, in its way, the poetry of logical ideas.","[mathematics, ideas, way]",poetry
1,Virginia Woolf,Some people go to priests; others to poetry; I to my friends.,"[friendship, friends, people]",poetry
2,Robert Frost,Poetry is when an emotion has found its thought and the thought has found words.,"[thought, words, emotion]",poetry
3,Edgar Allan Poe,"All religion, my friend, is simply evolved out of fraud, fear, greed, imagination, and poetry.","[fear, religion, imagination]",poetry
4,John F. Kennedy,"When power leads man toward arrogance, poetry reminds him of his limitations. When power narrows the area of man's concern, poetry reminds him of the richness and diversity of existence. When power corrupts, poetry cleanses.","[power, diversity, man]",poetry
5,Emily Dickinson,"If I read a book and it makes my whole body so cold no fire can ever warm me, I know that is poetry.","[fire, book, me]",poetry
6,T. S. Eliot,"Poetry is not a turning loose of emotion, but an escape from emotion; it is not the expression of personality, but an escape from personality. But, of course, only those who have personality and emotions know what it means to want to escape from these things.","[personality, know, want]",poetry
7,Edgar Allan Poe,"With me poetry has not been a purpose, but a passion.","[passion, purpose, me]",poetry
8,Ezra Pound,Colloquial poetry is to the real art as the barber's wax dummy is to sculpture.,"[art, real, sculpture]",poetry
9,Karl Wilhelm Friedrich Schlegel,"Versatility of education can be found in our best poetry, but the depth of mankind should be found in the philosopher.","[education, best, mankind]",poetry
10,Charles Simic,Poetry is an orphan of silence. The words never quite equal the experience behind them.,"[experience, silence, words]",poetry
11,Percy Bysshe Shelley,"A poet is a nightingale, who sits in darkness and sings to cheer its own solitude with sweet sounds.","[darkness, cheer, sweet]",poetry
12,Rainer Maria Rilke,"If your daily life seems poor, do not blame it; blame yourself that you are not poet enough to call forth its riches; for the Creator, there is no poverty.","[life, daily, yourself]",poetry
13,Soren Kierkegaard,What is a poet? An unhappy person who conceals profound anguish in his heart but whose lips are so formed that as sighs and cries pass over them they sound like beautiful music.,"[music, beautiful, heart]",poetry
14,John Keats,The poetry of the earth is never dead.,"[nature, earth, dead]",poetry
15,Patti Smith,"What I wanted to do in rock 'n roll was merge poetry with sonic scapes, and the two people who had contributed so much to that were Jimi Hendrix and Jim Morrison.","[people, two people, rock]",poetry
16,Ally Condie,"One of the things I've always liked about my husband is he's very good at lots of stuff. He was an English teacher when I met him. He wrote poetry and played the guitar. As time went on, he decided to go into economics, so he's very analytical and mathematical in addition to his artsy side.","[time, teacher, good]",poetry
17,John Muir,"The gross heathenism of civilization has generally destroyed nature, and poetry, and all that is spiritual.","[nature, spiritual]",poetry
18,Lewis Thomas,"The cloning of humans is on most of the lists of things to worry about from Science, along with behaviour control, genetic engineering, transplanted heads, computer poetry and the unrestrained growth of plastic flowers.","[science, growth, flowers]",poetry
19,John Updike,Writing criticism is to writing fiction and poetry as hugging the shore is to sailing in the open sea.,"[sea, writing, sailing]",poetry
20,John Ruskin,It is written on the arched sky; it looks out from every star. It is the poetry of Nature; it is that which uplifts the spirit within us.,"[nature, sky, star]",poetry
21,Charles Baudelaire,"The dance can reveal everything mysterious that is hidden in music, and it has the additional merit of being human and palpable. Dancing is poetry with arms and legs.","[music, dance, being human]",poetry
22,William Hazlitt,"Poetry is the universal language which the heart holds with nature and itself. He who has a contempt for poetry, cannot have much respect for himself, or for anything else.","[nature, respect, heart]",poetry
23,Raymond Aubrac,"Learn poetry by heart. If you know a poem by heart, no one can take it away from you, and you can take advantage of it anytime.","[heart, learn, know]",poetry
24,Ernst Haas,"Without touching my subject I want to come to the moment when, through pure concentration of seeing, the composed picture becomes more made than taken. Without a descriptive caption to justify its existence, it will speak for itself - less descriptive, more creative; less informative, more suggestive - less prose, more poetry.","[creative, moment, speak]",poetry
25,Johann Wolfgang von Goethe,Personality is everything in art and poetry.,"[art, personality, everything]",poetry
