,0,1,2,3
0,Philip Levine,I realized poetry's the thing that I can do 'cause I can stick at it and work with tremendous intensity.,"[work, i can, intensity]",poetry
1,Philip Levine,"The irony is, going to work every day became the subject of probably my best poetry.","[best, work, day]",poetry
2,Philip Levine,Meet some people who care about poetry the way you do. You'll have that readership. Keep going until you know you're doing work that's worthy. And then see what happens. That's my advice.,"[work, keep going, people]",poetry
3,Sally Kirkland,"I had art as a major, along with English, French and History. I had dance, modern dance. In English I was allowed to write my own poetry, which I eventually got published.","[art, history, dance]",poetry
4,Tom Wesselmann,I didn't want to deal in poetry. I got rid of that after a few months.,"[want, deal, after]",poetry
5,Marilyn Hacker,"I have experienced healing through other writers' poetry, but there's no way I can sit down to write in the hope a poem will have healing potential. If I do, I'll write a bad poem.","[hope, healing, potential]",poetry
6,Walter Jon Williams,"Even if you only want to write science fiction, you should also read mysteries, poetry, mainstream literature, history, biography, philosophy, and science.","[history, science, philosophy]",poetry
7,Paul Muldoon,"For whatever reason, people, including very well-educated people or people otherwise interested in reading, do not read poetry.","[reading, people, reason]",poetry
8,Paul Muldoon,"That's one of the great things about poetry; one realises that one does one's little turn - that you're just part of the great crop, as it were.","[great, you, great things]",poetry
9,Paul Muldoon,"The other side of it is that, despite all that, people reach out to poetry at the key moments in their lives.","[people, moments, key]",poetry
10,Paul Muldoon,We simply have not kept in touch with poetry.,"[touch, simply, kept]",poetry
11,Simon Callow,"Bleak House is just the most astounding piece of work. There's huge, visionary poetry in it.","[work, visionary, house]",poetry
12,Jim Jarmusch,"If you go into a bar in most places in America and even say the word poetry, you'll probably get beaten up. But poetry is a really strong, beautiful form to me, and a lot of innovation in language comes from poetry.","[innovation, beautiful]",poetry
13,Rene Auberjonois,"At this point we've answered about every question you could possibly imagine about Deep Space Nine, so we do this thing called Theatrical Jazz, where we do a show of bits and pieces of things from plays and literature, poetry... stuff that we like. It's fun.","[deep, fun, literature]",poetry
14,Robin Wright,"It's just poetry, beauty and love. How hard can that be to act?","[love, beauty, act]",poetry
15,Carl Sandburg,We read Robert Browning's poetry. Here we needed no guidance from the professor: the poems themselves were enough.,"[guidance, professor]",poetry
16,Ryszard Kapuscinski,The tradition of Russian literature is also an eastern tradition of learning poetry and prose by heart.,"[learning, heart, literature]",poetry
17,Martin Cruz Smith,"I've got a book of poetry by the bed, one of these big collections that goes back to the Greeks and Romans.","[book, bed, back]",poetry
18,John Barton,"An experienced reader uses the poem as an agent of inquiry. This makes poetry very exciting, unstable, and interactive.","[inquiry, poem, unstable]",poetry
19,John Barton,"Poetry is but another form of inquiry into the nature of phenomena, using with its own unique procedures and tools.","[nature, unique, tools]",poetry
20,John Barton,"In the past, poetry came in the form of spells and chants used to effect change.","[change, past, used]",poetry
21,John Barton,"My obsession with time informs my poetry so completely it is hard for me to summarize it. We want time to pass, for new things to happen to us, we want to hold on to certain moments, we don't want our lives to end.","[time, end, new things]",poetry
22,Ajay Naidu,Rap is rhythm and poetry. Hip-hop is storytelling and poetry as well.,"[hip-hop, storytelling]",poetry
23,George Murray,"Even the people who have had success and made money writing these books of fiction seem to feel the need to pretend it's no big deal, or part of a natural progression from poetry to fiction, but often it's really just about the money, the perceived prestige.","[success, money, writing]",poetry
24,Robert Morgan,Pound's translation of Chinese poetry was maybe the most important thing I read. Eliot a little bit later.,"[important, translation]",poetry
25,Robert Morgan,You have to really dive deep back into yourself and get rid of so much modern analytical categorization. It's one of the great things poetry does.,"[great, deep, yourself]",poetry
