,0,1,2,3
0,Octavio Paz,"Poetry is the experience of liberty. The poet risks himself, chances all on the poem's all with each verse he writes.","[experience, liberty, risks]",poetry
1,Octavio Paz,"Surrealism is not a poetry but a poetics, and even more, and more decisively, a world vision.","[vision, world, surrealism]",poetry
2,Octavio Paz,"Poetry is not a genre in harmony with the modern world; its innermost nature is hostile or indifferent to the dogmas of modern times, progress and the cult of the future.","[nature, future, progress]",poetry
3,Octavio Paz,"Poetry, whatever the manifest content of the poem, is always a violation of the rationalism and morality of bourgeois society.","[society, morality, content]",poetry
4,Octavio Paz,"Any reflection about poetry should begin, or end, with this question: who and how many read poetry books?","[reflection, end, question]",poetry
5,Mary Lambert,"Sylvia Plath, Rumi, there's a lot of spoken word poets who do a really incredible job putting their spoken work into page poetry - that's what I strive to do.","[work, job, page]",poetry
6,Tim O'Brien,"Poetry is not an issue of form and enjambments. Poetry, as the word is classically used, has to do with sound and sense. It can be rhyme. It can be rhythm, pace, breath.","[sound, rhythm, word]",poetry
7,Erica Jong,"Poetry is what we turn to in the most emotional moments of our life - when a beloved friend dies, when a baby is born or when we fall in love.","[life, love, baby]",poetry
8,Erica Jong,Poetry is the language we speak in the most terrifying or ecstatic passages of our lives. But the very word poetry scares people. They think of their grade school teachers reciting 'Hiawatha' and they groan.,"[school, language, people]",poetry
9,Erica Jong,I thought to spend my declining years writing poetry and teaching - but that won't pay the Bergdorf's bill. I think I'll move to somewhere life is cheaper.,"[life, writing, thought]",poetry
10,Erica Jong,I guess the thing that I'm most proud of is that I kept on writing poetry. I understand that poetry is sort of the source of everything I do. It's the source of my creativity.,"[creativity, writing, proud]",poetry
11,Erica Jong,"Often I find that poems predict what I'm going to do later in my own writing, and often I find that poems predict my life. So I think poetry is the most intense expression of feeling that we have.","[life, writing, my life]",poetry
12,Erica Jong,"In poetry you can express almost inexpressible feelings. You can express the pain of loss, you can express love. People always turn to poetry when someone they love dies, when they fall in love.","[love, pain, loss]",poetry
13,Erica Jong,What are the sources of poetry? Love and death and the paradox of love and death. All poetry from the beginning is about Eros and Thanatos. Those are the only subjects. And how Eros and Thanatos interweave.,"[love, death, beginning]",poetry
14,Douglas Brinkley,"There is no real way to categorize McLean's 'American Pie' for its hybrid of modern poetry and folk ballad, beer-hall chant and high-art rock.","[american, way, rock]",poetry
15,Mary Oliver,"Poetry is one of the ancient arts, and it began as did all the fine arts, within the original wilderness of the earth.","[earth, original, wilderness]",poetry
16,Mary Oliver,Poetry is meant to be heard.,"[heard, meant to be, meant]",poetry
17,Ellen Key,"For thousands of years, poetry has been picturing love as a mysterious and tragic power. But when anyone says the same thing in plain prose, and adds that life would be colourless and poor without the great passions, then this is called immorality!","[life, love, power]",poetry
18,Edward Hirsch,"I'm a poet, and I spent my life in poetry.","[life, my life, poet]",poetry
19,Edward Hirsch,Poetry takes courage because you have to face things and you try to articulate how you feel.,"[courage, face, try]",poetry
20,Edward Hirsch,"Someone who's awake in the middle of the night is a soul consciousness when everyone else is asleep, and that creates a feeling of solitude in poetry that I very much like.","[soul, night, solitude]",poetry
21,Edward Hirsch,"You're shadowed by your own dream, especially as you get older, of trying to create something that will last in poetry. And so, you're working on its behalf.","[trying, dream, you]",poetry
22,Edward Hirsch,"There have always been great defenses of poetry, and I've tried to write mine, and I think all of my work and criticism is a defense of poetry to try and keep something alive in poetry.","[work, great, criticism]",poetry
23,Edward Hirsch,"When I taught at the University of Houston in the Creative Writing program, we required the poets to take workshops in fiction writing, and we required the fiction writers to take workshops in poetry.","[writing, creative, fiction]",poetry
24,Edward Hirsch,I don't think you can read poetry while you're watching television very well.,"[television, think, you]",poetry
25,Edward Hirsch,"The idea of how to read a poem is based on the idea that poetry needs you as a reader. That the experience of poetry, the meaning in poetry, is a kind of circuit that takes place between a poet, a poem and a reader, and that meaning doesn't exist or inhere in poems alone.","[experience, alone, meaning]",poetry
