,0,1,2,3
0,Newt Gingrich,Perseverance is the hard work you do after you get tired of doing the hard work you already did.,"[work, hard work]",politics
1,John Adams,I must study politics and war that my sons may have liberty to study mathematics and philosophy.,"[war, mathematics, philosophy]",politics
2,Niccolo Machiavelli,Politics have no relation to morals.,"[morals, relation]",politics
3,Thomas Jefferson,"I never considered a difference of opinion in politics, in religion, in philosophy, as cause for withdrawing from a friend.","[friendship, religion]",politics
4,John F. Kennedy,"Let us not seek the Republican answer or the Democratic answer, but the right answer. Let us not seek to fix the blame for the past. Let us accept our own responsibility for the future.","[future, responsibility, past]",politics
5,Winston Churchill,If you have ten thousand regulations you destroy all respect for the law.,"[respect, law, you]",politics
6,Joseph Stalin,It is enough that the people know there was an election. The people who cast the votes decide nothing. The people who count the votes decide everything.,"[election, people, know]",politics
7,Donald Trump,"One of the key problems today is that politics is such a disgrace, good people don't go into government.","[good, today, government]",politics
8,Mao Zedong,Politics is war without bloodshed while war is politics with bloodshed.,"[war, without, bloodshed]",politics
9,Walt Whitman,"After you have exhausted what there is in business, politics, conviviality, and so on - have found that none of these finally satisfy, or permanently wear - what remains? Nature remains.","[nature, business, you]",politics
10,Groucho Marx,"Politics is the art of looking for trouble, finding it everywhere, diagnosing it incorrectly and applying the wrong remedies.","[art, looking, finding]",politics
11,Will Rogers,A fool and his money are soon elected.,"[money, fool, soon]",politics
12,Aristotle,"Democracy is when the indigent, and not the men of property, are the rulers.","[democracy, men, property]",politics
13,H. L. Mencken,"In this world of sin and sorrow there is always something to be thankful for; as for me, I rejoice that I am not a Republican.","[thankful, i am, world]",politics
14,Jonathan Haidt,"Morality binds people into groups. It gives us tribalism, it gives us genocide, war, and politics. But it also gives us heroism, altruism, and sainthood.","[war, people, heroism]",politics
15,Emmeline Pankhurst,"One baby is a patient baby, and waits indefinitely until its mother is ready to feed it. The other baby is an impatient baby and cries lustily, screams and kicks and makes everybody unpleasant until it is fed. Well, we know perfectly well which baby is attended to first. That is the whole history of politics.","[history, mother, baby]",politics
16,Cal Thomas,One of the reasons people hate politics is that truth is rarely a politician's objective. Election and power are.,"[truth, power, hate]",politics
17,Michael Ignatieff,"Genocide is not just a murderous madness; it is, more deeply, a politics that promises a utopia beyond politics - one people, one land, one truth, the end of difference. Since genocide is a form of political utopia, it remains an enduring temptation in any multiethnic and multicultural society in crisis.","[truth, end, society]",politics
18,Justin Trudeau,"I am a teacher. It's how I define myself. A good teacher isn't someone who gives the answers out to their kids but is understanding of needs and challenges and gives tools to help other people succeed. That's the way I see myself, so whatever it is that I will do eventually after politics, it'll have to do a lot with teaching.","[teacher, good, myself]",politics
19,Barack Obama,"In the end, that's what this election is about. Do we participate in a politics of cynicism or a politics of hope?","[hope, end, election]",politics
20,Dante Alighieri,The darkest places in hell are reserved for those who maintain their neutrality in times of moral crisis.,"[hell, moral, crisis]",politics
21,Dante Alighieri,The secret of getting things done is to act!,"[done, secret, act]",politics
22,Fidel Castro,The revolution is a dictatorship of the exploited against the exploiters.,"[revolution, dictatorship]",politics
23,H. L. Mencken,"The whole aim of practical politics is to keep the populace alarmed (and hence clamorous to be led to safety) by menacing it with an endless series of hobgoblins, all of them imaginary.","[safety, aim, practical]",politics
24,William O. Douglas,"Free speech is not to be regulated like diseased cattle and impure butter. The audience that hissed yesterday may applaud today, even for the same performance.","[today, performance, speech]",politics
25,Theodore Hesburgh,Voting is a civic sacrament.,"[voting, civic, sacrament]",politics
