,0,1,2,3
0,Jenn Proske,Love yourself. It is important to stay positive because beauty comes from the inside out.,"[love, beauty, love yourself]",positive
1,Joyce Brothers,"A strong, positive self-image is the best possible preparation for success.","[success, best, strong]",positive
2,Leah LaBelle,"Work hard for what you want because it won't come to you without a fight. You have to be strong and courageous and know that you can do anything you put your mind to. If somebody puts you down or criticizes you, just keep on believing in yourself and turn it into something positive.","[work, work hard, mind]",positive
3,Willie Nelson,"Once you replace negative thoughts with positive ones, you'll start having positive results.","[thoughts, negative, start]",positive
4,William James,Believe that life is worth living and your belief will help create the fact.,"[life, believe, help]",positive
5,Joyce Meyer,You cannot have a positive life and a negative mind.,"[life, mind, negative]",positive
6,Les Brown,Your smile will give you a positive countenance that will make people feel comfortable around you.,"[smile, people, you]",positive
7,Joel Osteen,"I believe if you keep your faith, you keep your trust, you keep the right attitude, if you're grateful, you'll see God open up new doors.","[trust, god, attitude]",positive
8,Lyndon B. Johnson,"Yesterday is not ours to recover, but tomorrow is ours to win or lose.","[tomorrow, win or lose, win]",positive
9,Hans Selye,Adopting the right attitude can convert a negative stress into a positive one.,"[attitude, stress, negative]",positive
10,Helen Keller,Keep your face to the sunshine and you cannot see a shadow.,"[sunshine, shadow, face]",positive
11,Marla Gibbs,"I truly believe that everything that we do and everyone that we meet is put in our path for a purpose. There are no accidents; we're all teachers - if we're willing to pay attention to the lessons we learn, trust our positive instincts and not be afraid to take risks or wait for some miracle to come knocking at our door.","[trust, path, believe]",positive
12,Matt Cameron,"Live life to the fullest, and focus on the positive.","[life, focus, live life]",positive
13,Henri Nouwen,"Did I offer peace today? Did I bring a smile to someone's face? Did I say words of healing? Did I let go of my anger and resentment? Did I forgive? Did I love? These are the real questions. I must trust that the little bit of love that I sow now will bear many fruits, here in this world and the life to come.","[life, love, smile]",positive
14,Dalai Lama,In order to carry a positive action we must develop here a positive vision.,"[vision, action, carry]",positive
15,Edwin Louis Cole,God never ends anything on a negative; God always ends on a positive.,"[god, negative, always]",positive
16,Vincent Van Gogh,I often think that the night is more alive and more richly colored than the day.,"[day, night, think]",positive
17,Joseph Campbell,"Find a place inside where there's joy, and the joy will burn out the pain.","[joy, pain, find]",positive
18,Elbert Hubbard,Positive anything is better than negative nothing.,"[negative, nothing, better]",positive
19,Martha Beck,Every day brings new choices.,"[day, choices, every day]",positive
20,Jack Canfield,"Successful people maintain a positive focus in life no matter what is going on around them. They stay focused on their past successes rather than their past failures, and on the next action steps they need to take to get them closer to the fulfillment of their goals rather than all the other distractions that life presents to them.","[life, goals, focus]",positive
21,Demi Lovato,"No matter what you're going through, there's a light at the end of the tunnel and it may seem hard to get to it but you can do it and just keep working towards it and you'll find the positive side of things.","[light, end, you can do it]",positive
22,Tena Desae,"Stay positive and happy. Work hard and don't give up hope. Be open to criticism and keep learning. Surround yourself with happy, warm and genuine people.","[work, hope, learning]",positive
23,Johann Wolfgang von Goethe,"Correction does much, but encouragement does more.","[encouragement, much, more]",positive
24,Allen Klein,"Your attitude is like a box of crayons that color your world. Constantly color your picture gray, and your picture will always be bleak. Try adding some bright colors to the picture by including humor, and your picture begins to lighten up.","[attitude, humor, color]",positive
25,"George Allen, Sr.","Work hard, stay positive, and get up early. It's the best part of the day.","[best, work, work hard]",positive
