,0,1,2,3
0,Deepika Padukone,"I feel ups and downs are a part of one's career, and this totally depends on how you take it. You can either be knocked down by the negative things, or you can take it in a positive way and learn from it.","[career, learn, ups and downs]",positive
1,Helen McCrory,"I'm a very positive person. My grandmother taught me that happiness is both a skill and a decision, and you are responsible for the outcome.","[happiness, decision, me]",positive
2,Vivica A. Fox,"I don't like to see projects that are all black or all white. It's how life is. I do like to make sure that I do a nice black family film; that's like keeping my home base. I do other things, but I like to always come back to a positive family film, because of all the negative influences today.","[life, family, home]",positive
3,Chuck D,"Being positive is like going up a mountain. Being negative is like sliding down a hill. A lot of times, people want to take the easy way out, because it's basically what they've understood throughout their lives.","[mountain, people, easy]",positive
4,Bill de Blasio,I've always had a very positive relationship with the municipal labor unions - a respectful relationship.,"[relationship, labor]",positive
5,Romola Garai,"I can only do something that my sister or my daughter, if I have one, could watch and feel positive about.","[daughter, sister, feel]",positive
6,Bow Wow,I can take all the negative energy and turn it into a positive simply by purging my soul through music. That's how powerful music can be.,"[music, soul, negative]",positive
7,Wyclef Jean,"I lived in the projects and the ghetto, and turned the negative into a positive.","[negative, ghetto, lived]",positive
8,Kiefer Sutherland,"Yes, I do believe that there is a cause and effect and a ripple effect upon everything everybody does, and they have positive consequences and negative consequences. If you start to focus on the kind of minutia of that, it's really quite extraordinary.","[focus, believe, consequences]",positive
9,Vladimir Putin,"I have a very positive attitude to anyone who is protecting the environment, but it's inadmissible when people are using it as a means of promoting themselves, using it as a source of self-enrichment. I don't want to name any specific examples... but often, environmentalism is used to blackmail companies.","[attitude, environment]",positive
10,Marianne Williamson,"Take stock of your thoughts and behavior. Each night ask yourself, when were you negative when you could have been positive? When did you withhold love when you might have given it? When did you play a neurotic game instead of behaving in a powerful way? Use this process to self-correct.","[love, yourself, thoughts]",positive
11,Gail Kelly,"I grew up in a very strong, nuclear family. My father was a sportsman. He represented South Africa in a couple of sports, so he was a very positive person and someone who encouraged you to be your best and give your best with everything that you do.","[family, best, father]",positive
12,Gail Kelly,You can choose not to sit on the fence. You can choose not to criticise. You must stand as guard at the door of your own mind and choose to be positive.,"[mind, door, stand]",positive
13,Shari Arison,"It's important to think good, speak good, and do good. If we want to see positive change in the world, then we need to connect to goodness. I try in everything I do, both in business and philanthropy, to make a positive change and do that by doing good.","[change, business, good]",positive
14,Shari Arison,"Putting forward your positive energy connects you back to basic human values which we all share. Good Deeds Day shows that no matter the size of the gesture, a smile that brightens someone else's day or volunteering in your community, we can all take active part in making a difference.","[smile, good, community]",positive
15,Shari Arison,"Doing Good is a simple and universal vision. A vision to which each and every one of us can connect and contribute to its realisation. A vision based on the belief that by doing good deeds, positive thinking and affirmative choice of words, feelings and actions, we can enhance goodness in the world.","[good, simple, vision]",positive
16,Quinton Aaron,"I do believe in sending positive messages. I am a Christian, so I do believe in a lot of positive messages.","[believe, i am, christian]",positive
17,Sam Walton,All of us profit from being corrected - if we're corrected in a positive way.,"[way, profit, us]",positive
18,Lea Thompson,"I have to read something positive every single day. I have to have faith that the day is unfolding in a way that is going to be useful to somebody else... For me, living every day in gratitude has been profound for me.","[gratitude, faith, day]",positive
19,Billy Porter,"For me, life is about being positive and hopeful, choosing to be joyful, choosing to be encouraging, choosing to be empowering.","[life, me, joyful]",positive
20,Marie Osmond,"You need to be able to manage stress because hard times will come, and a positive outlook is what gets you through.","[stress, you, hard times]",positive
21,Olivia Newton-John,"'Grease' changed my life in the most amazing way, and I've had such an amazing life. When things go wrong, you've got to believe you will get through them and focus on the positive things in your life.","[life, focus, believe]",positive
22,Mike Love,"I know there's millions of problems in the world, but if you dwell on those, then you're going to be miserable. I think my meditation helps me to transcend and get beyond the grip of all the negativity and regenerate from within a more positive attitude, which comes in very handy when you're going to do 150 concerts a year.","[attitude, world, year]",positive
23,Bruce Lipton,"If we could get your subconscious mind to agree with your conscious mind about being happy, that's when your positive thoughts work.","[work, happy, mind]",positive
24,Ronald Coase,I tend to regard the Coase theorem as a stepping stone on the way to an analysis of an economy with positive transaction costs.,"[stone, way, economy]",positive
25,Jessica Springsteen,"I think working hard at anything when you're young and getting positive results, it's always an incredible feeling to see that.","[working hard, results, young]",positive
