,0,1,2,3
0,John Ray,Beauty is power; a smile is its sword.,"[smile, beauty, sword]",power
1,Joel Osteen,"Every day we have plenty of opportunities to get angry, stressed or offended. But what you're doing when you indulge these negative emotions is giving something outside yourself power over your happiness. You can choose to not let little things upset you.","[happiness, giving, day]",power
2,Abraham Lincoln,"Nearly all men can stand adversity, but if you want to test a man's character, give him power.","[adversity, character, man]",power
3,Jimi Hendrix,When the power of love overcomes the love of power the world will know peace.,"[love, peace, world]",power
4,Bruce Lee,"Knowledge will give you power, but character respect.","[knowledge, respect]",power
5,"Martin Luther King, Jr.","We must develop and maintain the capacity to forgive. He who is devoid of the power to forgive is devoid of the power to love. There is some good in the worst of us and some evil in the best of us. When we discover this, we are less prone to hate our enemies.","[love, best, forgiveness]",power
6,Yehuda Berg,"Words are singularly the most powerful force available to humanity. We can choose to use this force constructively with words of encouragement, or destructively using words of despair. Words have energy and power with the ability to help, to heal, to hinder, to hurt, to harm, to humiliate and to humble.","[communication, humble]",power
7,Kofi Annan,"Knowledge is power. Information is liberating. Education is the premise of progress, in every society, in every family.","[family, education, knowledge]",power
8,Aristotle,The one exclusive sign of thorough knowledge is the power of teaching.,"[teacher, knowledge, teaching]",power
9,Akhenaton,"When virtue and modesty enlighten her charms, the lustre of a beautiful woman is brighter than the stars of heaven, and the influence of her power it is in vain to resist.","[beauty, stars]",power
10,Morihei Ueshiba,Loyalty and devotion lead to bravery. Bravery leads to the spirit of self-sacrifice. The spirit of self-sacrifice creates trust in the power of love.,"[love, courage, trust]",power
11,Washington Irving,"There is a sacredness in tears. They are not the mark of weakness, but of power. They speak more eloquently than ten thousand tongues. They are the messengers of overwhelming grief, of deep contrition, and of unspeakable love.","[love, sad, deep]",power
12,Malcolm X,"The media's the most powerful entity on earth. They have the power to make the innocent guilty and to make the guilty innocent, and that's power. Because they control the minds of the masses.","[media, control, earth]",power
13,Edgar Allan Poe,Words have no power to impress the mind without the exquisite horror of their reality.,"[mind, reality, words]",power
14,Friedrich Nietzsche,All things are subject to interpretation whichever interpretation prevails at a given time is a function of power and not truth.,"[time, truth, interpretation]",power
15,Aristotle,The ultimate value of life depends upon awareness and the power of contemplation rather than upon mere survival.,"[life, survival, value]",power
16,Julius Caesar,"If you must break the law, do it to seize power: in all other cases observe it.","[law, you, seize]",power
17,David Bailey,The best advice I ever got was that knowledge is power and to keep reading.,"[best, knowledge]",power
18,Jim Morrison,"Expose yourself to your deepest fear; after that, fear has no power, and the fear of freedom shrinks and vanishes. You are free.","[freedom, fear, yourself]",power
19,Plato,The measure of a man is what he does with power.,"[man, measure of a man]",power
20,Christopher Reeve,"What makes Superman a hero is not that he has power, but that he has the wisdom and the maturity to use the power wisely. From an acting point of view, that's how I approached the part.","[wisdom, hero, maturity]",power
21,Martin Buber,An animal's eyes have the power to speak a great language.,"[great, pet, eyes]",power
22,Plato,"There will be no end to the troubles of states, or of humanity itself, till philosophers become kings in this world, or till those we now call kings and rulers really and truly become philosophers, and political power and philosophy thus come into the same hands.","[end, humanity, philosophy]",power
23,Leonardo da Vinci,Nothing strengthens authority so much as silence.,"[silence, nothing, authority]",power
24,Bo Bennett,"Those who improve with age embrace the power of personal growth and personal achievement and begin to replace youth with wisdom, innocence with understanding, and lack of purpose with self-actualization.","[wisdom, age, growth]",power
25,John Muir,The power of imagination makes us infinite.,"[inspirational, imagination]",power
