,0,1,2,3
0,Adam Schiff,America has a critical role to play as the most powerful member of the world community.,"[community, america, world]",power
1,Oskar Schindler,I was now resolved to do everything in my power to defeat the system.,"[defeat, everything, now]",power
2,Friedrich Durrenmatt,Power is paradoxical.,[paradoxical],power
3,George A. Smith,Power and position often make a man trifle with the truth.,"[truth, man, position]",power
4,John Acton,"Power tends to corrupt, and absolute power corrupts absolutely.","[power corrupts, corrupt]",power
5,Pope Francis,You cannot be in a position of power and destroy the life of another person.,"[life, you, destroy]",power
6,Vaclav Havel,"The salvation of this human world lies nowhere else than in the human heart, in the human power to reflect, in human meekness and human responsibility.","[heart, responsibility, world]",power
7,Robert Frost,"The strongest and most effective force in guaranteeing the long-term maintenance of power is not violence in all the forms deployed by the dominant to control the dominated, but consent in all the forms in which the dominated acquiesce in their own domination.","[violence, control, force]",power
8,Ethel Watts Mumford,"Knowledge is power, if you know it about the right person.","[knowledge, right person]",power
9,William James,"The sway of alcohol over mankind is unquestionably due to its power to stimulate the mystical faculties of human nature, usually crushed to earth by the cold facts and dry criticisms of the sober hour.","[nature, alcohol, earth]",power
10,James Allen,"The more tranquil a man becomes, the greater is his success, his influence, his power for good. Calmness of mind is one of the beautiful jewels of wisdom.","[success, wisdom, good]",power
11,Gabriel Heatter,More power than all the success slogans ever penned by human hand is the realization for every man that he has but one boss. That boss is the man - he - himself.,"[success, man, boss]",power
12,Garry Kasparov,It was not about losing my mental power; it's about not feeling good about my contribution to the game.,"[good, losing, game]",power
13,Herbert Read,"To realize that new world we must prefer the values of freedom and equality above all other values - above personal wealth, technical power and nationalism.","[freedom, equality, world]",power
14,Fredrik Bajer,"By a great man, however, we mean a man who, because of his spiritual gifts, his character, and other qualities, deserves to be called great and who as a result earns the power to influence others.","[great, character, spiritual]",power
15,Oprah Winfrey,Passion is energy. Feel the power that comes from focusing on what excites you.,"[passion, energy, you]",power
16,Gilbert K. Chesterton,"Youth is the period in which a man can be hopeless. The end of every episode is the end of the world. But the power of hoping through everything, the knowledge that the soul survives its adventures, that great inspiration comes to the middle-aged.","[knowledge, great, end]",power
17,James McGreevey,"I realized that my truest passion was for helping people change through faith in a higher power. That meant, for me, belonging to the church. Using my abilities to bring Christian doctrine to a postmodern world.","[change, faith, passion]",power
18,Wassily Kandinsky,Color is a power which directly influences the soul.,"[soul, color, influences]",power
19,Ann Hood,I have learned that there is more power in a good strong hug than in a thousand meaningful words.,"[good, strong, words]",power
20,Eckhart Tolle,"If small things have the power to disturb you, then who you think you are is exactly that: small.","[small, small things, think]",power
21,Damon Albarn,"It always struck me that Africa was, in a strange way, a futuristic place and had elements and vibes and spirits that were going to inform the future. Africa Express is an attempt to engage that power outside Africa, and for everyone to benefit from it.","[future, me, strange]",power
22,Cornelius Vanderbilt,"It is not according to my mode of doing things, to bring a suit against a man that I have the power in my own hands to punish.","[man, hands, doing]",power
23,Ha-Joon Chang,"Sometimes people with strong ideology, whether left-wing or right-wing, refuse to do something simply because they believe it is wrong, when doing it actually benefits them. For some people, it's not just about money and political power.","[money, strong, believe]",power
24,Ken Blanchard,In the past a leader was a boss. Today's leaders must be partners with their people... they no longer can lead solely based on positional power.,"[today, leader, past]",power
25,Elton John,Music has healing power. It has the ability to take people out of themselves for a few hours.,"[music, healing, people]",power
