,0,1,2,3
0,Richard Bach,"If you love someone, set them free. If they come back they're yours; if they don't they never were.","[love, free, someone]",relationship
1,Buddha,"Health is the greatest gift, contentment the greatest wealth, faithfulness the best relationship.","[inspirational, best, health]",relationship
2,Friedrich Nietzsche,There is always some madness in love. But there is also always some reason in madness.,"[love, madness, reason]",relationship
3,Bob Marley,Truth is everybody is going to hurt you: you just gotta find the ones worth suffering for.,"[truth, suffering, hurt]",relationship
4,Nick Cannon,"Nobody can predict the future. You just have to give your all to the relationship you're in and do your best to take care of your partner, communicate and give them every last drop of love you have. I think one of the most important things in a relationship is caring for your significant other through good times and bad.","[love, best, future]",relationship
5,Wayne Dyer,How people treat you is their karma; how you react is yours.,"[karma, people, treat]",relationship
6,Sara Paretsky,I'm lucky in having found the perfect partner to spend my life with.,"[life, my life, perfect]",relationship
7,Walter Winchell,Never above you. Never below you. Always beside you.,"[you, always, never]",relationship
8,Barbara De Angelis,We don't develop courage by being happy every day. We develop it by surviving difficult times and challenging adversity.,"[courage, adversity, happy]",relationship
9,Victor Hugo,"When a woman is talking to you, listen to what she says with her eyes.","[eyes, woman, she]",relationship
10,John Lennon,"We've got this gift of love, but love is like a precious plant. You can't just accept it and leave it in the cupboard or just think it's going to get on by itself. You've got to keep watering it. You've got to really look after it and nurture it.","[love, gift, love is]",relationship
11,Kirsten Dunst,"You can never control who you fall in love with, even when you're in the most sad, confused time of your life. You don't fall in love with people because they're fun. It just happens.","[life, love, time]",relationship
12,Bryant H. McGill,"There is no love without forgiveness, and there is no forgiveness without love.","[love, forgiveness, without]",relationship
13,Barbara De Angelis,You never lose by loving. You always lose by holding back.,"[you, loving, always]",relationship
14,Martin Luther,"There is no more lovely, friendly and charming relationship, communion or company than a good marriage.","[marriage, anniversary, good]",relationship
15,Zsa Zsa Gabor,I want a man who's kind and understanding. Is that too much to ask of a millionaire?,"[man, want, understanding]",relationship
16,B. R. Ambedkar,The relationship between husband and wife should be one of closest friends.,"[wife, friends, husband]",relationship
17,Julia Roberts,"I believe that two people are connected at the heart, and it doesn't matter what you do, or who you are or where you live; there are no boundaries or barriers if two people are destined to be together.","[together, heart, believe]",relationship
18,Lillian Hellman,People change and forget to tell each other.,"[change, people]",relationship
19,Eleanor Roosevelt,"We are afraid to care too much, for fear that the other person does not care at all.","[fear, care, afraid]",relationship
20,Jennifer Aniston,I think it's important to have closure in any relationship that ends - from a romantic relationship to a friendship. You should always have a sense of clarity at the end and know why it began and why it ended. You need that in your life to move cleanly into your next phase.,"[life, friendship, moving on]",relationship
21,Khalil Gibran,But let there be spaces in your togetherness and let the winds of the heavens dance between you. Love one another but make not a bond of love: let it rather be a moving sea between the shores of your souls.,"[love, sea, dance]",relationship
22,Tom Hanks,"Truth is, I'll never know all there is to know about you just as you will never know all there is to know about me. Humans are by nature too complicated to be understood fully. So, we can choose either to approach our fellow human beings with suspicion or to approach them with an open mind, a dash of optimism and a great deal of candour.","[nature, truth, great]",relationship
23,Plato,You can discover more about a person in an hour of play than in a year of conversation.,"[year, conversation, you]",relationship
24,Michael Jordan,"The game of basketball has been everything to me. My place of refuge, place I've always gone where I needed comfort and peace. It's been the site of intense pain and the most intense feelings of joy and satisfaction. It's a relationship that has evolved over time, given me the greatest respect and love for the game.","[love, time, peace]",relationship
25,Jose Carreras,"I have a wonderful shelter, which is my family. I have a wonderful relationship with my brother and sister; this makes me feel that I know always where I belong.","[family, sister, brother]",relationship
