,0,1,2,3
0,Jane Wiedlin,"I was a very romantic, overly dramatic young lady, which served me well as a songwriter. Especially as someone who had to focus on lyrics and melody, because if you're a dramatic and romantic person, lyrics come easy, and you turn every single short-term relationship into the biggest 'Romeo-and-Juliet' story ever.","[romantic, focus, me]",relationship
1,Jill Scott,"At my aunt's funeral, I promised myself that I wouldn't be bound by the belief that I'm supposed to stay in anything - whether it's a relationship, a job, a house, or a circumstance - if it makes me miserable. She gave me the courage to find my own happiness.","[happiness, courage, myself]",relationship
2,Joyce Meyer,"In my relationship with God, I've learned that if I follow a 'formula' for how I spend my time with Him, then I'm just accomplishing a checklist of things I feel obligated to do to please Him. This makes my spiritual life more about doing what I need to do to fulfill an obligation than something meaningful.","[life, time, god]",relationship
3,Hunter Hayes,"Unfortunately, I'm more experienced than I care to admit on long-distance relationships. Just because that is my life. I travel because I love to. As a result, I have to sort of make it work when a relationship kind of comes into view.","[life, love, work]",relationship
4,Andy Garcia,"In a marriage, in any long-term relationship, not to bother with lying. There's no time for that. If you have any sort of secret life, it will come back to haunt you.","[life, time, marriage]",relationship
5,Robin Quivers,"Men have been intimidated by my relationship with Howard. You know, it's hard for them to imagine that they could be number one, seeing this relationship.","[men, know, you]",relationship
6,Dorothy Hamill,I always had the sense that nothing was never good enough - striving for perfection. My mother and I had a sort of typical mother-daughter relationship.,"[good, mother, perfection]",relationship
7,Steve Jobs,"If you haven't found it yet, keep looking. Don't settle. As with all matters of the heart, you'll know when you find it. And, like any great relationship, it just gets better and better as the years roll on.","[great, heart, looking]",relationship
8,Bipasha Basu,"Any relationship should have love, and if there is no love, it is better to call off a relationship. People say that love happens only once, but I don't believe in it because for me, if one relationship doesn't work, you should move on and seek love in another relationship. Who knows; you might find love in the second relationship.","[love, work, believe]",relationship
9,Jiddu Krishnamurti,"No one can live without relationship. You may withdraw into the mountains, become a monk, a sannyasi, wander off into the desert by yourself, but you are related. You cannot escape from that absolute fact. You cannot exist in isolation.","[mountains, yourself, live]",relationship
10,Ellen DeGeneres,"So many people prefer to live in drama because it's comfortable. It's like someone staying in a bad marriage or relationship - it's actually easier to stay because they know what to expect every day, versus leaving and not knowing what to expect.","[marriage, day, people]",relationship
11,H. L. Mencken,"Every man sees in his relatives, and especially in his cousins, a series of grotesque caricatures of himself.","[man, cousins, relatives]",relationship
12,Marcus Aurelius,Adapt yourself to the things among which your lot has been cast and love sincerely the fellow creatures with whom destiny has ordained that you shall live.,"[love, yourself, destiny]",relationship
13,May Sarton,No partner in a love relationship... should feel that he has to give up an essential part of himself to make it viable.,"[love, partner, feel]",relationship
14,Robert Louis Stevenson,Absences are a good influence in love and keep it bright and delicate.,"[love, good, influence]",relationship
15,Willa Cather,"The heart of another is a dark forest, always, no matter how close it has been to one's own.","[heart, dark, forest]",relationship
16,Barbara De Angelis,"The more connections you and your lover make, not just between your bodies, but between your minds, your hearts, and your souls, the more you will strengthen the fabric of your relationship, and the more real moments you will experience together.","[experience, together]",relationship
17,Lauryn Hill,"Be honest, brutally honest. That is what's going to maintain relationships.","[relationships, honest, going]",relationship
18,Ron Silver,I don't even like to use the word relationship. I don't know what it means.,"[know, word, like]",relationship
19,Keith Sweat,"You can't stop loving or wanting to love because when its right it's the best thing in the world. When you're in a relationship and its good, even if nothing else in your life is right, you feel like your whole world is complete.","[life, love, best]",relationship
20,Tim Tebow,"If you're married, and you have a wife, and you really love your wife, is it good enough to only say to your wife 'I love her' the day you get married? Or should you tell her every single day when you wake up and every opportunity? And that's how I feel about my relationship with Jesus Christ is that it is the most important thing in my life.","[life, love, good]",relationship
21,William E. Simon,I continue to believe that the American people have a love-hate relationship with inflation. They hate inflation but love everything that causes it.,"[love, hate, believe]",relationship
22,Ryan Reynolds,"I think every relationship is going to go through a few rough patches. Those are what make it stronger, I think.","[stronger, think, go]",relationship
23,Nina Dobrev,"People aren't defined by their relationship. The whole point is being true to yourself and not losing yourself in relationships, whether romances or friendships.","[losing, yourself, people]",relationship
24,Marianne Williamson,"Relationships are eternal. The 'separation' is another chapter in the relationship. Often, letting go of the old form of the relationship becomes a lesson in pure love much deeper than any would have learned had the couple stayed together.","[love, together, lesson]",relationship
25,Priyanka Chopra,"I totally commit and completely give myself to a relationship. Be warned, though - I don't like being taken for granted, so I can be pretty high-maintenance sometimes!","[myself, sometimes, commit]",relationship
