,0,1,2,3
0,Mahatma Gandhi,"When I admire the wonders of a sunset or the beauty of the moon, my soul expands in the worship of the creator.","[beauty, sunset, moon]",religion
1,Buddha,"Just as a candle cannot burn without fire, men cannot live without a spiritual life.","[life, spiritual, fire]",religion
2,Swami Vivekananda,You cannot believe in God until you believe in yourself.,"[god, believe in yourself]",religion
3,Dalai Lama,My religion is very simple. My religion is kindness.,"[kindness, simple, very]",religion
4,Mahatma Gandhi,Prayer is the key of the morning and the bolt of the evening.,"[morning, prayer, evening]",religion
5,Abraham Lincoln,"When I do good, I feel good. When I do bad, I feel bad. That's my religion.","[good, feel good, bad]",religion
6,Soren Kierkegaard,"Prayer does not change God, but it changes him who prays.","[change, god, prayer]",religion
7,Thomas Jefferson,"I never considered a difference of opinion in politics, in religion, in philosophy, as cause for withdrawing from a friend.","[friendship, politics]",religion
8,Christopher Hitchens,"Religion is part of the human make-up. It's also part of our cultural and intellectual history. Religion was our first attempt at literature, the texts, our first attempt at cosmology, making sense of where we are in the universe, our first attempt at health care, believing in faith healing, our first attempt at philosophy.","[history, health, faith]",religion
9,Muhammad Ali,I believe in the religion of Islam. I believe in Allah and peace.,"[peace, believe, islam]",religion
10,Khalil Gibran,"I love you when you bow in your mosque, kneel in your temple, pray in your church. For you and I are sons of one religion, and it is the spirit.","[love, i love you, church]",religion
11,Buddha,Work out your own salvation. Do not depend on others.,"[work, depend, others]",religion
12,George Washington,Let us with caution indulge the supposition that morality can be maintained without religion. Reason and experience both forbid us to expect that national morality can prevail in exclusion of religious principle.,"[experience, morality, reason]",religion
13,Joseph Campbell,"Every religion is true one way or another. It is true when understood metaphorically. But when it gets stuck in its own metaphors, interpreting them as facts, then you are in trouble.","[facts, true, way]",religion
14,Radhanath Swami,"Religion is meant to teach us true spiritual human character. It is meant for self-transformation. It is meant to transform anxiety into peace, arrogance into humility, envy into compassion, to awaken the pure soul in man and his love for the Source, which is God.","[love, peace, god]",religion
15,Jesus Christ,"So I say to you, Ask and it will be given to you; search, and you will find; knock, and the door will be opened for you.","[door, find, search]",religion
16,Roger Ebert,"Parents and schools should place great emphasis on the idea that it is all right to be different. Racism and all the other 'isms' grow from primitive tribalism, the instinctive hostility against those of another tribe, race, religion, nationality, class or whatever. You are a lucky child if your parents taught you to accept diversity.","[diversity, racism, great]",religion
17,Vladimir Putin,Terrorism has no nationality or religion.,"[terrorism, nationality]",religion
18,Napoleon Bonaparte,Religion is what keeps the poor from murdering the rich.,"[rich, poor, keeps]",religion
19,Madonna Ciccone,"Be strong, believe in freedom and in God, love yourself, understand your sexuality, have a sense of humor, masturbate, don't judge people by their religion, color or sexual habits, love life and your family.","[life, love, family]",religion
20,Ludwig Wittgenstein,"Not every religion has to have St. Augustine's attitude to sex. Why even in our culture marriages are celebrated in a church, everyone present knows what is going to happen that night, but that doesn't prevent it being a religious ceremony.","[attitude, culture, night]",religion
21,Gerard Way,"People have evolved into something selfish, greedy and intolerant. People are unaccepting, because of religion, race, gender, sexual orientation... I've seen it in punk clubs, and I've seen it in the world.","[gender, selfish, world]",religion
22,Galileo Galilei,"I do not feel obliged to believe that the same God who has endowed us with sense, reason, and intellect has intended us to forgo their use.","[god, believe, reason]",religion
23,Edgar Allan Poe,"All religion, my friend, is simply evolved out of fraud, fear, greed, imagination, and poetry.","[fear, poetry, imagination]",religion
24,Shirin Ebadi,Human rights is a universal standard. It is a component of every religion and every civilization.,"[human rights, rights]",religion
25,Muhammad Ali Jinnah,"You are free; you are free to go to your temples, you are free to go to your mosques or to any other place or worship in this State of Pakistan. You may belong to any religion or caste or creed - that has nothing to do with the business of the State.","[business, free, nothing]",religion
