,0,1,2,3
0,Moses Mendelssohn,The state has physical power and uses it when necessary; the power of religion is love and beneficence.,"[love, power, state]",religion
1,Origen,"If all things were made through Him, clearly so must the splendid revelations have been which were made to the fathers and prophets, and became to them the symbols of the sacred mysteries of religion.","[him, symbols, things]",religion
2,Phillip E. Johnson,"The restriction of religion to private life therefore does not necessarily threaten the vital interests of the majority religion, if there is one, and it protects minority religions from tyranny of the majority.","[life, tyranny, religions]",religion
3,Lionel Blue,"My mother was a modern woman with a limited interest in religion. When the sun set and the fast of the Day of Atonement ended, she shot from the synagogue like a rocket to dance the Charleston.","[mother, day, dance]",religion
4,Len G. Murray,"There are even more statues of Robert Burns than of any other figure in world literature. Indeed if we discount figures of religion, then only Christopher Columbus has more statues than he worldwide.","[world, literature, discount]",religion
5,Erykah Badu,"Personally, I don't choose any particular religion or symbol or group of words or teachings to define me. That's between me and the most high. You know, my higher self. The Creator.","[self, words, me]",religion
6,Jurgen Habermas,Disappointment over nationalistic authoritarian regimes may have contributed to the fact that today religion offers a new and subjectively more convincing language for old political orientations.,"[today, language, political]",religion
7,Ernie Harwell,"Baseball just a came as simple as a ball and bat. Yet, as complex as the American spirit it symbolizes. A sport, a business and sometimes almost even a religion.","[business, simple, baseball]",religion
8,Michael Berryman,"If your religion is better than mine and your opinion, you have a real problem.","[problem, opinion, better]",religion
9,Zbigniew Brzezinski,Look at Islam in a rational manner and without demagoguery or emotion. It is the leading religion of the world with 1.5 billion followers.,"[world, islam, look]",religion
10,David Cronenberg,"Anybody who comes to the cinema is bringing they're whole sexual history, their literary history, their movie literacy, their culture, their language, their religion, whatever they've got. I can't possibly manipulate all of that, nor do I want to.","[history, culture, language]",religion
11,Paul Cezanne,"I ask you to pray for me, for once age has overtaken us, we find consolation only in religion.","[age, me, find]",religion
12,Kenneth Scott Latourette,Christianity is usually called a religion. As a religion it has had a wider geographic spread and is more deeply rooted among more peoples than any other religion in the history of mankind.,"[history, mankind]",religion
13,Clarence Darrow,Some of you say religion makes people happy. So does laughing gas.,"[happy, people, you]",religion
14,E. W. Howe,A man will do more for his stubbornness than for his religion or his country.,"[man, country, will]",religion
15,William Jennings Bryan,"If we have to give up either religion or education, we should give up education.","[education, should, either]",religion
16,Mary Baker Eddy,I would no more quarrel with a man because of his religion than I would because of his art.,"[art, man, more]",religion
17,Baruch Spinoza,I do not know how to teach philosophy without becoming a disturber of established religion.,"[philosophy, know, teach]",religion
18,Camille Paglia,"Modern bodybuilding is ritual, religion, sport, art, and science, awash in Western chemistry and mathematics. Defying nature, it surpasses it.","[nature, art, science]",religion
19,Charles Baudelaire,"Even if it were proven that God didn't exist, Religion would still be Saintly and Divine.","[god, divine, exist]",religion
20,Jonathan Swift,"I never saw, heard, nor read, that the clergy were beloved in any nation where Christianity was the religion of the country. Nothing can render them popular, but some degree of persecution.","[nothing, country, nation]",religion
21,Kofi Annan,"In the 21st century, I believe the mission of the United Nations will be defined by a new, more profound awareness of the sanctity and dignity of every human life, regardless of race or religion.","[life, believe, i believe]",religion
22,Alice Cooper,"I have never made fun of religion. Religion is something I don't even want to mess with, because I am really afraid of the clouds opening up and my being struck by lightning.","[i am, clouds, fun]",religion
23,E. O. Wilson,Science and religion are the two most powerful forces in the world. Having them at odds... is not productive.,"[science, world, powerful]",religion
24,E. O. Wilson,I see no way out of the problems that organized religion and tribalism create other than humans just becoming more honest and fully aware of themselves.,"[problems, way, see]",religion
25,Jon Meacham,"Attacks on a politician's identity - questioning Romney's religion, say, or Obama's birthplace - tend to come when an opponent is desperate and can't sell himself.","[identity, questioning, say]",religion
