,0,1,2,3
0,Richard Bach,"The bond that links your true family is not one of blood, but of respect and joy in each other's life.","[life, family, joy]",respect
1,Bruce Lee,"Knowledge will give you power, but character respect.","[knowledge, power, character]",respect
2,Laurence Sterne,"Respect for ourselves guides our morals, respect for others guides our manners.","[manners, others, morals]",respect
3,James D'arcy,"There are lots of people I admire and respect, but I don't necessarily want to be like them. I'm too happy being myself.","[happy, myself, people]",respect
4,Dalai Lama,"When you practice gratefulness, there is a sense of respect toward others.","[thankful, practice, you]",respect
5,Ezra Taft Benson,"Our parents deserve our honor and respect for giving us life itself. Beyond this they almost always made countless sacrifices as they cared for and nurtured us through our infancy and childhood, provided us with the necessities of life, and nursed us through physical illnesses and the emotional stresses of growing up.","[life, giving, parents]",respect
6,Bryant H. McGill,One of the most sincere forms of respect is actually listening to what another has to say.,"[listening, say, most]",respect
7,Jackie Robinson,I'm not concerned with your liking or disliking me... All I ask is that you respect me as a human being.,"[me, you, ask]",respect
8,Michael Jordan,"The game of basketball has been everything to me. My place of refuge, place I've always gone where I needed comfort and peace. It's been the site of intense pain and the most intense feelings of joy and satisfaction. It's a relationship that has evolved over time, given me the greatest respect and love for the game.","[love, relationship, time]",respect
9,Taylor Swift,"We don't need to share the same opinions as others, but we need to be respectful.","[opinions, same, respectful]",respect
10,Winston Churchill,If you have ten thousand regulations you destroy all respect for the law.,"[politics, law, you]",respect
11,Dwight D. Eisenhower,"This world of ours... must avoid becoming a community of dreadful fear and hate, and be, instead, a proud confederation of mutual trust and respect.","[trust, fear, community]",respect
12,Malcolm X,"Be peaceful, be courteous, obey the law, respect everyone; but if someone puts his hand on you, send him to the cemetery.","[law, someone, peaceful]",respect
13,Vince Lombardi,"Football is like life - it requires perseverance, self-denial, hard work, sacrifice, dedication and respect for authority.","[life, work, hard work]",respect
14,A. P. J. Abdul Kalam,"If we are not free, no one will respect us.","[free, will, us]",respect
15,Henri Frederic Amiel,There is no respect for others without humility in one's self.,"[self, humility, others]",respect
16,Hassan Rouhani,"A constructive approach to diplomacy doesn't mean relinquishing one's rights. It means engaging with one's counterparts, on the basis of equal footing and mutual respect, to address shared concerns and achieve shared objectives.","[achieve, equal, rights]",respect
17,Renee Olstead,The biggest ingredient in a best friend is someone whose actions you respect and who you can truly be yourself around.,"[best, best friend]",respect
18,Jasmine Guinness,"Be kind, don't judge, and have respect for others. If we can all do this, the world would be a better place. The point is to teach this to the next generation.","[be kind, generation, world]",respect
19,Taylor Swift,I love making new friends and I respect people for a lot of different reasons.,"[love, friends, people]",respect
20,Hope Solo,"One thing I've learned through all the ups and downs is that if you're doing things right, then you have a core group of people. Not just a core group like your homies or your buddies, but a group of people that has a good influence on you, who you respect and admire, and you know that if they're on your side, you're doing something right.","[good, influence, people]",respect
21,Malcolm X,"I have more respect for a man who lets me know where he stands, even if he's wrong. Than the one who comes up like an angel and is nothing but a devil.","[man, angel, me]",respect
22,Nick Cannon,"Mariah is a beautiful and talented person, and I've had a crush on her for as long as I can remember. Every day, my respect for Mariah continues to grow higher. She's a caring, warm and funny person. People have no idea how funny she is! I feel like I've always known she was my forever love.","[funny, love, beautiful]",respect
23,LeBron James,"When you have that respect from your teammates, it makes it a lot more comfortable.","[teammates, you, comfortable]",respect
24,Anthony Anderson,"If you respect the art and you have some talent about you, I'm on your team.","[art, team, talent]",respect
25,Sofia Vergara,"I guess at the end of the day, all women like to be appreciated and treated with respect and kindness.","[kindness, women, end]",respect
