,0,1,2,3
0,Thomas Friedman,"The country that owns green, that dominates that industry, is going to have the most energy security, national security, economic security, competitive companies, healthy population and, most of all, global respect.","[security, healthy, green]",respect
1,David Miliband,"One thing that I feel very, very strongly is that we talk about Islamic countries, Islamic people, Islamic leaders, as either moderates or extremists. It's almost like there are only two categories of Muslims. And actually, that doesn't show respect. It shows lack of understanding of the diversity of Muslim thought.","[diversity, people, thought]",respect
2,Duane Chapman,I have the utmost respect and 'aloha' for black people - who have already suffered so much due to racial discrimination and acts of hatred.,"[black, discrimination]",respect
3,Ellen Barkin,Men who love their mothers treat women wonderfully. And they have enormous respect for women.,"[love, women, men]",respect
4,Evo Morales,The relationship between the government of the United States and social and indigenous movements has always been difficult. Not just in Bolivia but worldwide. We need to have bilateral relations characterized by mutual respect.,"[relationship, government]",respect
5,Jonathan Sacks,Jews have deep respect for the Queen and the royal family. We say a prayer for them every Sabbath in synagogue. We recite a special blessing on seeing the Queen.,"[family, deep, prayer]",respect
6,Gina Carano,"Since I've started fighting it has taught me a lot about self respect, self confidence and self control.","[confidence, self, control]",respect
7,Brett Ratner,I fear God and respect God and love God.,"[love, god, fear]",respect
8,Mary Ellen Mark,"I respect newspapers, but the reality is that magazine 'photojournalism' is finished. They want illustrations, Photoshopped pictures of movie stars.","[stars, reality, want]",respect
9,Ingrid Newkirk,"Every animal has his or her story, his or her thoughts, daydreams, and interests. All feel joy and love, pain and fear, as we now know beyond any shadow of a doubt. All deserve that the human animal afford them the respect of being cared for with great consideration for those interests or left in peace.","[love, peace, joy]",respect
10,Bill Kurtis,"I believe that young people are looking for answers to the big questions just like everyone else, and that they respect intelligent comment to help guide them through tough times.","[tough times, believe, help]",respect
11,Marina Abramovic,"You know I very much respect Yvonne Rainer, she is very important - in American dance, the entire development of modern dance, and creating a wonderful physical language.","[dance, language, american]",respect
12,Neil Strauss,"A pick-up artist gave me a good piece of advice: the three most important things in a relationship are honesty, trust and respect, and if you don't have those, you don't have love.","[love, relationship, trust]",respect
13,Robert Richardson,"Sadly, cinemas with film as the primary source are disappearing. We need to remain open to change. That does not require one to divorce the past but to respect and process both the present and the future.","[change, future, past]",respect
14,Ronda Rousey,I respect Georges St. Pierre as a businessman and an athlete. I don't have anything against him personally. But he's not the kind of fighter I like watching.,"[athlete, kind, watching]",respect
15,Gordon Bethune,No one is going to stick their head out of the trenches for someone they don't respect or trust. You can get shot doing that.,"[trust, doing, someone]",respect
16,Harold Prince,"Collaboration is just, really, a group of people getting in a room with their eye on a very similar prize and wanting to come out with the same show. The director, ultimately, is the guy in front of whom the buck stops. So, he has to have the courage to prevail. But, he has got to have a huge amount of respect for his collaborators.","[courage, people]",respect
17,Neil Patrick Harris,"With the Tonys it's a little tricky because a lot of the funnier jokes are more insider, so people watching at home may not get a Julie Taymor reference the way that New Yorkers would. So you have to figure out what comedy plays to a large audience and still respect the individuals who are there.","[home, people, way]",respect
18,Russell Simmons,"Respect your parents. What they tell you is true. Hard work, dedication and faith will get you anything. Imagination will drive itself. You can get anything you want, but you have to have faith behind all your ideas. Stick to your goals and have an undying faith.","[work, hard work, faith]",respect
19,Pink,"Once you figure out what respect tastes like, it tastes better than attention. But you have to get there.","[attention, better, you]",respect
20,Sherry Argov,"Men secretly respect a woman who is strong, has confidence and has dreams of her own. There's nothing more attractive to a man than a woman who has dignity and pride in who she is.","[dreams, confidence, strong]",respect
21,Joyce Meyer,"It's like a jar of salad dressing sitting on a shelf... most of the seasoning settles to the bottom of the bottle. But when you shake that bottle up, all the ingredients mix together and then the dressing can add flavor to a salad. In the same way, we can stir ourselves up and regain the reverence, respect and awe we once had for the Lord.","[together, way, you]",respect
22,John Cena,"I'm the one person who wears the words 'hustle, loyalty, respect' on my T-shirts and merchandise. My audience is children. It's very flattering to see a kid wear your T-shirt; it's even more flattering to have a dad come up to you and say, 'I watch you with my kid. Keep doing what you're doing. You're a role model for my son.'","[children, loyalty, dad]",respect
23,Sean Combs,People from all walks of life and all over the world look at me and know my humble beginnings and know that everything I've done has been through hard work. People respect me as a marketer and brand builder.,"[life, work, hard work]",respect
24,Patti Smith,"I have great respect for my parents. I got such beautiful things from both of them. It doesn't mean that we didn't have our rough times, but they were remarkable people who were open-minded, creative and hard-working, and had great senses of humor.","[great, beautiful, humor]",respect
25,John C. Maxwell,How do leaders serve their people? They may pay good wages and treat employees with respect.,"[good, people, treat]",respect
