,0,1,2,3
0,"Tobias Jesso, Jr.","I think the first time I tried to write a romantic song, it was just horrendously embarrassing. I remember thinking, 'Okay, I'm not going to do that anymore.' I think that sort of embarrassed me for the next 10 years.","[time, thinking, me]",romantic
1,Bernard Williams,"If a June night could talk, it would probably boast it invented romance.","[night, june, talk]",romantic
2,Elaine Sciolino,"Historically, the French have had a romantic attachment to their bikes. Though the first functioning two-wheeler is thought to have been invented by a German in 1817, it was the French who popularized and marketed the device in the 1860s, giving it the name 'bicycle.'","[giving, thought, name]",romantic
3,Linda Fiorentino,I would like to do maybe a smaller romantic comedy.,"[comedy, like, maybe]",romantic
4,Libba Bray,"I got married in Florence, Italy. My husband and I were in love but totally broke, so we eloped and got married in Italy, where he was going on a business trip. We had to pull a guy off the street to be our witness. It was incredibly romantic. Florence is still one of my favorite cities in the world.","[love, business, world]",romantic
5,Sally Kellerman,I was also the romantic lead in The Boston Strangler - I was the only one that lived to tell the story - so I called myself the romantic lead.,"[myself, story, boston]",romantic
6,Cecelia Ahern,"I would love to write a mystery - a romantic, funny mystery.","[funny, love, mystery]",romantic
7,Irvin D. Yalom,"I do not like to work with patients who are in love. Perhaps it is because of envy - I, too, crave enchantment. Perhaps it is because love and psychotherapy are fundamentally incompatible. The good therapist fights darkness and seeks illumination, while romantic love is sustained by mystery and crumbles upon inspection.","[love, work, good]",romantic
8,Richard Paul Evans,"The idea of being a novelist is really romantic, but it's kind of the same as being president of the United States - it's not gonna happen.","[happen, kind, same]",romantic
9,La India,"Originally, I thought English was more my home. But Spanish is so much more romantic. I've had to learn new phrases. I've had to learn to be more secure about singing in Spanish. But I'm working on it.","[home, thought, learn]",romantic
10,James D'arcy,I find it incredibly romantic that people should fight for a cause they believe in and be prepared to die for it.,"[believe, people, fight]",romantic
11,Matthew Modine,I don't think that digital photography is romantic yet. It's not sympathetic the way that film is.,"[photography, digital, think]",romantic
12,Giuseppe Zanotti,"Hip hop is the strongest form of protest there is, and it doesn't always have to be a violent protest. It can be romantic, also. When you listen to Kanye West's 'Street Lights' for example, there's romance, there's pain - you feel the essence. I get the same thing from Drake and 2 Chainz.","[pain, lights, listen]",romantic
13,Stana Katic,"Maybe I'm naively romantic, but I do believe that spice and excitement doesn't stop once a couple gets together.","[together, believe, spice]",romantic
14,Matthew Lillard,"Something like 'Without a Paddle' does really well at the box office and I'm like, 'Oh, here we go.' In 'Without a Paddle' I'm the romantic lead - great! A comedy and that's what America wants. Then it did nothing for me and I went into kind-of a work abyss. I just didn't get another shot.","[work, great, america]",romantic
15,Brian Lumley,"But other vampire stories? Well, no, I really haven't read too many, and I can't say I'm crazy about romantic vampires anyway - to me the vampire is simply an evil monster.","[evil, crazy, me]",romantic
16,John Dos Passos,If I were sufficiently romantic I suppose I'd have killed myself long ago just to make people talk about me. I haven't even got the conviction to make a successful drunkard.,"[myself, people, successful]",romantic
17,Jack Falahee,"I'm very confident in my sexuality, and I really don't like talking about my romantic life in the press.","[life, talking, confident]",romantic
18,Jeanne Phillips,Many people with physical disabilities have romantic lives and good marriages to partners who see past their disabilities and recognize all of the things they can do.,"[good, past, people]",romantic
19,Philippa Gregory,Although some people think I am a romantic novelist I have always thought of myself as a rather gritty radical historian.,"[myself, i am, people]",romantic
20,Emma McLaughlin,"We 'chicks' have munched our popcorn while romantic comedies became just comedies, and then each female protagonist got recast for Matthew McConaughey or Seth Rogan.","[popcorn, protagonist, then]",romantic
21,Paul Horn,"I'm a romantic. The impressionists have always been my favorites. I like prettiness - beauty, or what I perceive as beauty.","[beauty, always, like]",romantic
22,Liu Wen,"Romantic music really stirs my soul. And, of course, I love Chinese music; it makes me feel closer to home.","[love, music, home]",romantic
23,Nigel Kennedy,"I think Bach is equally a romantic composer because he laid the seeds harmonically for people like Chopin and the great Romantics, Brahms, so it's difficult to you know all this like labelling and putting - I think Bach is attractive to musicians because he supersedes the labels.","[great, musicians, people]",romantic
24,Sophia Myles,"I would love to do a really cool romantic comedy, perhaps with Hugh Grant. I think he is brilliant. That's the kind of film I love to go to see. I love 'girls' films'.","[love, cool, think]",romantic
25,Sharon Lawrence,"I was comfortable in my thirties playing the romantic partner, the hero that saves the day, or the woman who is facing a world that revolves around younger kid actors.","[hero, day, woman]",romantic
