,0,1,2,3
0,Dita Von Teese,"Some days are just bad days, that's all. You have to experience sadness to know happiness, and I remind myself that not every day is going to be a good day, that's just the way it is!","[happiness, experience, good]",sad
1,Paramahansa Yogananda,"Let my soul smile through my heart and my heart smile through my eyes, that I may scatter rich smiles in sad hearts.","[smile, eyes, heart]",sad
2,Alyssa Milano,"First, accept sadness. Realize that without losing, winning isn't so great.","[great, winning, losing]",sad
3,Bonnie Blair,"It's sad to know I'm done. But looking back, I've got a lot of great memories.","[memories, great, looking]",sad
4,Bob Marley,"The good times of today, are the sad thoughts of tomorrow.","[good, today, thoughts]",sad
5,Ernie Harwell,"It's time to say goodbye, but I think goodbyes are sad and I'd much rather say hello. Hello to a new adventure.","[time, adventure, moving on]",sad
6,Leonardo da Vinci,Tears come from the heart and not from the brain.,"[heart, brain, tears]",sad
7,Taraji P. Henson,"Every human walks around with a certain kind of sadness. They may not wear it on their sleeves, but it's there if you look deep.","[deep, sadness, look]",sad
8,Kirsten Dunst,"You can never control who you fall in love with, even when you're in the most sad, confused time of your life. You don't fall in love with people because they're fun. It just happens.","[life, love, relationship]",sad
9,Christopher Morley,"Heavy hearts, like heavy clouds in the sky, are best relieved by the letting of a little water.","[best, water, sky]",sad
10,Washington Irving,"There is a sacredness in tears. They are not the mark of weakness, but of power. They speak more eloquently than ten thousand tongues. They are the messengers of overwhelming grief, of deep contrition, and of unspeakable love.","[love, power, deep]",sad
11,Carl Jung,The word 'happy' would lose its meaning if it were not balanced by sadness.,"[happy, sadness, meaning]",sad
12,Mario Teguh,"Never make a decision when you are upset, sad, jealous or in love.","[love, decision, jealous]",sad
13,Kevin Bacon,"I really believe that all of us have a lot of darkness in our souls. Anger, rage, fear, sadness. I don't think that's only reserved for people who have horrible upbringings. I think it really exists and is part of the human condition. I think in the course of your life you figure out ways to deal with that.","[life, fear, anger]",sad
14,Khalil Gibran,Your pain is the breaking of the shell that encloses your understanding.,"[pain, understanding]",sad
15,Leo Buscaglia,"Worry never robs tomorrow of its sorrow, it only saps today of its joy.","[joy, today, tomorrow]",sad
16,Saadi,"The rose and the thorn, and sorrow and gladness are linked together.","[together, rose, sorrow]",sad
17,Jim Rohn,The walls we build around us to keep sadness out also keeps out the joy.,"[joy, sadness, build]",sad
18,Dionne Warwick,"Crying is cleansing. There's a reason for tears, happiness or sadness.","[happiness, sadness, reason]",sad
19,Deepak Chopra,"Many scientists think that philosophy has no place, so for me it's a sad time because the role of reflection, contemplation, meditation, self inquiry, insight, intuition, imagination, creativity, free will, is in a way not given any importance, which is the domain of philosophers.","[time, reflection, creativity]",sad
20,Alfred Austin,Tears are the summer showers to the soul.,"[soul, summer, tears]",sad
21,Arthur Koestler,Nothing is more sad than the death of an illusion.,"[death, nothing, illusion]",sad
22,Khalil Gibran,Sadness is but a wall between two gardens.,"[sadness, two, wall]",sad
23,William S. Burroughs,In deep sadness there is no place for sentimentality.,"[deep, sadness, place]",sad
24,Jean de La Fontaine,Sadness flies away on the wings of time.,"[time, sadness, wings]",sad
25,Morrie Schwartz,Dying is only one thing to be sad over... Living unhappily is something else.,"[living, dying, something]",sad
