,0,1,2,3
0,Pierre Teilhard de Chardin,We have but one permanent home: heaven - that's still the old truth that we always have to re-learn - and it's only through the impact of sad experiences that we assimilate it.,"[home, truth, impact]",sad
1,Henry B. Eyring,The sad pattern of lack of trust in God has persisted since the Creation.,"[trust, god, creation]",sad
2,Martin Scorsese,"I'm sad to see celluloid go, there's no doubt. But, you know, nitrate went, by the way, in 1971. If you ever saw a nitrate print of a silent film and then saw an acetate print, you'd see a big difference, but nobody remembers anymore. The acetate print is what we have. Maybe. Now it's digital.","[silent, doubt, know]",sad
3,Paul Dano,"Homeless people really upset me when I was little. A lot of kids have this reaction, but I would get really worried or sad or concerned or cry.","[homeless, people, me]",sad
4,Alan Dershowitz,The sad reality is that there are no purely domestic issues in Israel. Issues that would be dealt with by municipalities in other countries - such as how to deal with a dangerous bridge or how to resolve conflicts between religious and secular bus riders - become major international issues when they occur in Israel.,"[bridge, reality, dangerous]",sad
5,Katee Sackhoff,"The sad thing is, I never wanted to be Princess Leia - I always wanted to be Han Solo!","[princess, always, never]",sad
6,Hugh Grant,"Frankly, I think I'm marvelous in rehearsal! Then you turn the camera on, and it gets stiff and tight. And then you trudge back to your trailer feeling sad. That's been my experience of film acting.","[experience, camera, acting]",sad
7,Gretchen Rubin,"Whenever I start a new book, I think, 'This is the most interesting subject of all time. It's sad, I'll never enjoy writing another book as much as I enjoy this one.' Every time, I'm convinced. And then I change my mind when I start the next book.","[change, time, mind]",sad
8,Ellie Goulding,"I'd like a male to listen to my music and find it kind of fascinating, what a girl goes through when they get heartbroken or get sad or get hurt by something.","[music, girl, hurt]",sad
9,Ellie Goulding,"'I Know You Care' is about my dad. And I haven't seen him for a long, long time. And my parents divorced when I was really young. And I guess I just wanted a - it was my way of saying that I wasn't bitter or angry anymore. I was just sad and just felt like something was missing.","[time, dad, parents]",sad
10,Ellie Goulding,"Even when I'm in quite a happy state of mind, I like writing really sad songs. I think a lot of people do.","[happy, mind, writing]",sad
11,Solange Knowles,"It's so sad, actually, how teachers and parents tell their kids, 'You're never gonna be anything.'","[parents, you, kids]",sad
12,Ansel Elgort,"'The Fault in Our Stars' is a beautiful film that's really positive. The second half gets sad, but it's always positive.","[positive, stars, beautiful]",sad
13,Ansel Elgort,"My thing with fans is, it's always about being really good to them and taking the time to take every picture. If there are 300 people, you should take 300 pictures - you shouldn't take 250 because then fifty people will go home sad. Why would you do that?","[time, home, good]",sad
14,Paloma Faith,I agree with cosmetic surgery for medical reasons - my mother had breast cancer and I think it's very sad when somebody has no choice in what happens to their body.,"[mother, medical, body]",sad
15,Lauren Conrad,"The first series I wrote, 'L.A. Candy,' was always meant to be a three-book series, so when I started out it was all outlined that way and by the time I was done with the third book, I had become so involved and the process and the stories, I was a little bit sad to be done.","[time, book, candy]",sad
16,Chelsea Handler,"E! has just become a sad, sad place to live. They don't know what they're doing; they have no ideas... everything they do just is a failure.","[failure, ideas, live]",sad
17,Jerry Hall,"So few people read poetry. That's sad, isn't it?","[poetry, people, few people]",sad
18,Ciara,It's sad how people want to see us females go against each other. Never been for that. Never will.,"[people, want, see]",sad
19,Sharon Stone,I feel sad when I realize how much truth is being changed or obscured in the American media.,"[truth, media, american]",sad
20,Henry Louis Gates,"The sad truth is that without complex business partnerships between African elites and European traders and commercial agents, the slave trade to the New World would have been impossible, at least on the scale it occurred.","[business, truth, world]",sad
21,Ben Stein,"When I seemed to be irritable or sad, my father would quote the learned Dr. Knight, and then say, 'Just go to sleep.' Like all smart aleck kids, I thought the advice was silly. But as I've grown older, I've realized just how smart Knight was.","[father, sleep, smart]",sad
22,Ben Stein,"The sad fact is that spending rises every year, no matter what people want or say they want.","[people, year, want]",sad
23,Sylvia Plath,I have the choice of being constantly active and happy or introspectively passive and sad.,"[happy, choice, active]",sad
24,Diane von Furstenberg,I'm not tired of who I am. That would be sad!,"[i am, tired, would]",sad
25,Hugo Chavez,"It makes one sad to see the sell-out of President Fox; really, it makes one sad. How sad that the president of a people like the Mexicans lets himself become the puppy dog of the empire.","[dog, people, puppy]",sad
