,0,1,2,3
0,Reba McEntire,"To succeed in life, you need three things: a wishbone, a backbone and a funny bone.","[life, funny, succeed]",saintpatricksday
1,Oliver Goldsmith,"I love everything that's old, - old friends, old times, old manners, old books, old wine.","[love, old friends, wine]",saintpatricksday
2,Thomas Moore,Fond memory brings the light of other days around me.,"[light, memory, me]",saintpatricksday
3,John O'Donohue,The joyful heart sees and reads the world with a sense of freedom and graciousness.,"[freedom, heart, world]",saintpatricksday
4,C. S. Lewis,"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.","[sun, believe, i believe]",saintpatricksday
5,William Butler Yeats,"Think where man's glory most begins and ends, and say my glory was I had such friends.","[man, friends, think]",saintpatricksday
6,Jimmy Dean,"You gotta try your luck at least once a day, because you could be going around lucky all day and not even know it.","[day, luck, know]",saintpatricksday
7,Pope John Paul II,"Love is never defeated, and I could add, the history of Ireland proves it.","[love, history, love is]",saintpatricksday
8,Winston Churchill,We have always found the Irish a bit odd. They refuse to be English.,"[always, irish, english]",saintpatricksday
9,Socrates,"Our prayers should be for blessings in general, for God knows best what is good for us.","[best, god, good]",saintpatricksday
10,Kenneth Branagh,"Being Irish, I always had this love of words.","[love, words, always]",saintpatricksday
11,James McGreevey,"I try to be grateful for the abundance of the blessings that I have, for the journey that I'm on and to relish each day as a gift.","[journey, gift, day]",saintpatricksday
12,Lara Flynn Boyle,That's what the holidays are for - for one person to tell the stories and another to dispute them. Isn't that the Irish way?,"[holidays, way, person]",saintpatricksday
13,John O'Donohue,"A blessing is a circle of light drawn around a person to protect, heal and strengthen.","[light, blessing, circle]",saintpatricksday
14,John Boyle O'Reilly,"Be true to your work, your word, and your friend.","[work, friend, true]",saintpatricksday
15,Saint Patrick,"Christ beside me, Christ before me, Christ behind me, Christ within me, Christ beneath me, Christ above me.","[me, within, behind]",saintpatricksday
16,Denzel Washington,I say luck is when an opportunity comes along and you're prepared for it.,"[opportunity, luck, you]",saintpatricksday
17,Joseph Brodsky,Cherish your human connections: your relationships with friends and family.,"[family, friends and family]",saintpatricksday
18,William Butler Yeats,"Being Irish, he had an abiding sense of tragedy, which sustained him through temporary periods of joy.","[joy, tragedy, him]",saintpatricksday
19,Brian Dennehy,"I come from an Irish Catholic family, and hell-raising is part of the DNA.","[family, dna, catholic]",saintpatricksday
20,Dave Barry,"Geographically, Ireland is a medium-sized rural island that is slowly but steadily being consumed by sheep.","[island, sheep, ireland]",saintpatricksday
21,Tennessee Williams,Luck is believing you're lucky.,"[luck, lucky, believing]",saintpatricksday
22,Maureen O'Hara,"Above all else, deep in my soul, I'm a tough Irishwoman.","[deep, soul, tough]",saintpatricksday
23,Brendan Behan,"If it was raining soup, the Irish would go out with forks.","[soup, raining, go]",saintpatricksday
24,Darrell Royal,"You've got to think lucky. If you fall into a mudhole, check your back pocket - you might have caught a fish.","[fish, fall, lucky]",saintpatricksday
25,Colin Farrell,Being Irish is very much a part of who I am. I take it everywhere with me.,"[i am, me, much]",saintpatricksday
