,0,1,2,3
0,Edward Teller,The science of today is the technology of tomorrow.,"[technology, today, tomorrow]",science
1,Carl Sagan,"We live in a society exquisitely dependent on science and technology, in which hardly anyone knows anything about science and technology.","[technology, society, live]",science
2,Albert Einstein,"Only two things are infinite, the universe and human stupidity, and I'm not sure about the former.","[stupidity, universe, two]",science
3,Carl Sagan,Science is a way of thinking much more than it is a body of knowledge.,"[knowledge, thinking, body]",science
4,Henry Petroski,Science is about knowing; engineering is about doing.,"[engineering, doing, knowing]",science
5,Robert A. Heinlein,"Everything is theoretically impossible, until it is done.","[impossible, done, everything]",science
6,Immanuel Kant,Science is organized knowledge. Wisdom is organized life.,"[life, wisdom, knowledge]",science
7,Wernher von Braun,Research is what I'm doing when I don't know what I'm doing.,"[research, doing, know]",science
8,Stephen Hawking,"Time travel used to be thought of as just science fiction, but Einstein's general theory of relativity allows for the possibility that we could warp space-time so much that you could go off in a rocket and return before you set out.","[travel, time, thought]",science
9,Edgar Allan Poe,Science has not yet taught us if madness is or is not the sublimity of the intelligence.,"[intelligence, madness, us]",science
10,Thomas Berger,The art and science of asking questions is the source of all knowledge.,"[art, knowledge, questions]",science
11,Denis Diderot,"When science, art, literature, and philosophy are simply the manifestation of personality they are on a level where glorious and dazzling achievements are possible, which can make a man's name live for thousands of years.","[art, man, personality]",science
12,Nikola Tesla,"Modern science says: 'The sun is the past, the earth is the present, the moon is the future.' From an incandescent mass we have originated, and into a frozen mass we shall turn. Merciless is the law of nature, and rapidly and irresistibly we are drawn to our doom.","[nature, future, moon]",science
13,Arnold H. Glasow,"The fewer the facts, the stronger the opinion.","[opinion, facts, stronger]",science
14,Hippocrates,"There are in fact two things, science and opinion; the former begets knowledge, the later ignorance.","[knowledge, ignorance]",science
15,Leland Stanford,"From my earliest acquaintance with the science of political economy, it has been evident to my mind that capital was the product of labor, and that therefore, in its best analysis there could be no natural conflict between capital and labor.","[best, mind, conflict]",science
16,Albert Einstein,"To raise new questions, new possibilities, to regard old problems from a new angle, requires creative imagination and marks real advance in science.","[imagination, creative]",science
17,"Martin Luther King, Jr.",Our scientific power has outrun our spiritual power. We have guided missiles and misguided men.,"[power, spiritual, men]",science
18,Indra Devi,Yoga is an art and science of living.,"[art, living, yoga]",science
19,William Osler,Medicine is a science of uncertainty and an art of probability.,"[art, medicine, uncertainty]",science
20,Albert Einstein,"If the facts don't fit the theory, change the facts.","[change, facts, theory]",science
21,Julia Roberts,"'Snow White' is an old fairy tale, so obviously the idea of vanity and obsession with youth is long-standing. With today's science, people have become crazy with trying to move their face around. It's bizarre.","[snow, today, youth]",science
22,George Bernard Shaw,Science never solves a problem without creating ten more.,"[problem, creating, without]",science
23,Joan Jett,"I'm concentrating on staying healthy, having peace, being happy, remembering what is important, taking in nature and animals, spending time reading, trying to understand the universe, where science and the spiritual meet.","[time, nature, peace]",science
24,Albert Einstein,The most beautiful thing we can experience is the mysterious. It is the source of all true art and science.,"[art, experience, beautiful]",science
25,Steve Jobs,"Part of what made the Macintosh great was that the people working on it were musicians, poets, and artists, and zoologists, and historians. They also happened to be the best computer scientists in the world. But if it hadn't been computer science, these people would have been doing amazing things in other fields.","[best, great, amazing]",science
