,0,1,2,3
0,Publilius Syrus,"Art has a double face, of expression and illusion, just like science has a double face: the reality of error and the phantom of truth.","[art, truth, reality]",science
1,Claude Bernard,"In teaching man, experimental science results in lessening his pride more and more by proving to him every day that primary causes, like the objective reality of things, will be hidden from him forever and that he can only know relations.","[day, man, pride]",science
2,Edwin Land,Science is a method to keep yourself from kidding yourself.,"[yourself, method, kidding]",science
3,Jimi Hendrix,Imagination is the key to my lyrics. The rest is painted with a little science fiction.,"[imagination, fiction, rest]",science
4,John Templeton,I'm really convinced that our descendants a century or two from now will look back at us with the same pity that we have toward the people in the field of science two centuries ago.,"[people, look, same]",science
5,Karl Pearson,Statistics is the grammar of science.,"[statistics, grammar]",science
6,Jared Diamond,"Thousands of years ago, humans domesticated every possible large wild mammal species fulfilling all those criteria and worth domesticating, with the result that there have been no valuable additions of domestic animals in recent times, despite the efforts of modern science.","[animals, possible, worth]",science
7,Burton Richter,"Modern science is fast-moving, and no laboratory can exist for long with a program based on old facilities. Innovation and renewal are required to keep a laboratory on the frontiers of science.","[innovation, long, laboratory]",science
8,E. O. Wilson,"If history and science have taught us anything, it is that passion and desire are not the same as truth.","[history, truth, passion]",science
9,Ernest Rutherford,You should never bet against anything in science at odds of more than about 1012 to 1.,"[you, odds, against]",science
10,Thomas Gold,"I wrote somewhere during the Cold War that I sometimes wish the Iron Curtain were much taller than it is, so that you could see whether the development of science with no communication was parallel on the two sides. In this case it certainly wasn't.","[communication, war, wish]",science
11,John Charles Polanyi,For science must breathe the oxygen of freedom.,"[freedom, breathe, oxygen]",science
12,Phillip E. Johnson,"No doubt it is true that science cannot study God, but it hardly follows that God had to keep a safe distance from everything that scientists want to study.","[god, doubt, want]",science
13,Phillip E. Johnson,"The assumption that nature is all there is, and that nature has been governed by the same rules at all times and places, makes it possible for natural science to be confident that it can explain such things as how life began.","[life, nature, rules]",science
14,John Polkinghorne,"People, and especially theologians, should try to familiarize themselves with scientific ideas. Of course, science is technical in many respects, but there are some very good books that try to set out some of the conceptual structure of science.","[good, people, ideas]",science
15,Sarah Zettel,"Now, Venus is an extremely hostile environment, and as such presents a lot of challenges for a science fiction author who wants to create life there. However, as I began to research it more thoroughly, I found myself intrigued by the possibilities the world offers.","[life, myself, environment]",science
16,David Brin,"There's no doubt that scientific training helps many authors to write better science fiction. And yet, several of the very best were English majors who could not parse a differential equation to save their lives.","[best, training, doubt]",science
17,Paul Berg,Novel technologies and ideas that impinge on human biology and their perceived impact on human values have renewed strains in the relationship between science and society.,"[relationship, society]",science
18,Martin Feldstein,A second reason why science cannot replace judgement is the behavior of financial markets.,"[financial, behavior, reason]",science
19,Ronald Graham,Math is sometimes called the science of patterns.,"[sometimes, math, patterns]",science
20,Steve Case,"So my degree was in political science, which I think was - the closest I could come to marketing is politics.","[politics, political]",science
21,Thomas Babington Macaulay,"To that class we may leave it to refine the vernacular dialects of the country, to enrich those dialects with terms of science borrowed from the Western nomenclature, and to render them by degrees fit vehicles for conveying knowledge to the great mass of the population.","[knowledge, great, country]",science
22,Christa McAuliffe,"If I can get some student interested in science, if I can show members of the general public what's going on up there in the space program, then my job's been done.","[job, space, student]",science
23,Naguib Mahfouz,"If we reject science, we reject the common man.","[man, common man, common]",science
24,Rudolf Arnheim,"Modem science, then, maintains on the one hand that nature, both organic and inorganic, strives towards a state of order and that man's actions are governed by the same tendency.","[nature, man, same]",science
25,Ernest Rutherford,All science is either physics or stamp collecting.,"[physics, either, stamp]",science
