,0,1,2,3
0,Mother Teresa,"Let us always meet each other with smile, for the smile is the beginning of love.","[love, beginning, meet]",smile
1,Yoko Ono,Smile in the mirror. Do that every morning and you'll start to see a big difference in your life.,"[life, morning, mirror]",smile
2,Les Brown,Your smile will give you a positive countenance that will make people feel comfortable around you.,"[positive, people, you]",smile
3,John Ray,Beauty is power; a smile is its sword.,"[beauty, power, sword]",smile
4,Tom Wilson,A smile is happiness you'll find right under your nose.,"[happiness, find, you]",smile
5,Mother Teresa,We shall never know all the good that a simple smile can do.,"[good, simple, know]",smile
6,Thomas Paine,"The real man smiles in trouble, gathers strength from distress, and grows brave by reflection.","[strength, reflection, man]",smile
7,Connie Stevens,Nothing you wear is more important than your smile.,"[nothing, important, you]",smile
8,Henri Nouwen,"Did I offer peace today? Did I bring a smile to someone's face? Did I say words of healing? Did I let go of my anger and resentment? Did I forgive? Did I love? These are the real questions. I must trust that the little bit of love that I sow now will bear many fruits, here in this world and the life to come.","[life, positive, love]",smile
9,Paramahansa Yogananda,"Let my soul smile through my heart and my heart smile through my eyes, that I may scatter rich smiles in sad hearts.","[sad, eyes, heart]",smile
10,Leonardo da Vinci,"I love those who can smile in trouble, who can gather strength from distress, and grow brave by reflection. 'Tis the business of little minds to shrink, but they whose heart is firm, and whose conscience approves their conduct, will pursue their principles unto death.","[love, strength, death]",smile
11,Bryant H. McGill,"The greatest self is a peaceful smile, that always sees the world smiling back.","[greatest, self, world]",smile
12,Dr. Seuss,Don't cry because it's over. Smile because it happened.,"[cry, over, because]",smile
13,Mother Teresa,Peace begins with a smile.,"[peace, begins]",smile
14,Rabindranath Tagore,Beauty is truth's smile when she beholds her own face in a perfect mirror.,"[beauty, truth, mirror]",smile
15,Nicole Scherzinger,"I love a man with a great sense of humor and who is intelligent - a man who has a great smile. He has to make me laugh. I like a man who is very ambitious and driven and who has a good heart and makes me feel safe. I like a man who is very strong and independent and confident - that is very sexy - but at the same time, he's very kind to people.","[love, time, good]",smile
16,Brad Garrett,"You take away all the other luxuries in life, and if you can make someone smile and laugh, you have given the most special gift: happiness.","[life, happiness, birthday]",smile
17,Leigh Hunt,Colors are the smiles of nature.,"[nature, colors, smiles]",smile
18,Kenneth Branagh,"Lighten up, just enjoy life, smile more, laugh more, and don't get so worked up about things.","[life, enjoy life, laugh]",smile
19,Phyllis Diller,A smile is a curve that sets everything straight.,"[everything, straight, curve]",smile
20,Thomas Paine,"I love the man that can smile in trouble, that can gather strength from distress, and grow brave by reflection. 'Tis the business of little minds to shrink, but he whose heart is firm, and whose conscience approves his conduct, will pursue his principles unto death.","[love, strength, death]",smile
21,Denis Waitley,"A smile is the light in your window that tells others that there is a caring, sharing person inside.","[light, caring, window]",smile
22,Maya Angelou,If you have only one smile in you give it to the people you love.,"[love, people]",smile
23,William Arthur Ward,A warm smile is the universal language of kindness.,"[kindness, language, warm]",smile
24,Douglas Horton,"Smile, it's free therapy.","[free, therapy]",smile
25,Jean Chatzky,"While you're going through this process of trying to find the satisfaction in your work, pretend you feel satisfied. Tell yourself you had a good day. Walk through the corridors with a smile rather than a scowl. Your positive energy will radiate. If you act like you're having fun, you'll find you are having fun.","[positive, work, good]",smile
