,0,1,2,3
0,Raymond Chandler,She gave me a smile I could feel in my hip pocket.,"[me, she, feel]",smile
1,Goldie Hawn,I have witnessed the softening of the hardest of hearts by a simple smile.,"[simple, hardest, hearts]",smile
2,Diane Lane,I think that anybody that smiles automatically looks better.,"[better, think, looks]",smile
3,W. C. Fields,Start every day off with a smile and get it over with.,"[humor, day, start]",smile
4,Adrienne Barbeau,"When I see myself on film it makes me smile, I mean making a good living doing what I enjoy is soo much fun. I just hope that everyone has the chance to enjoy life like I do.","[life, hope, good]",smile
5,Karen McDougal,"If you want to meet a woman, it's best just to smile and say hi.","[best, woman, want]",smile
6,Dean Norris,"If you force yourself to smile, within a couple minutes, you feel happy.","[happy, yourself, you]",smile
7,Mahmoud Darwish,"Sarcasm helps me overcome the harshness of the reality we live, eases the pain of scars and makes people smile.","[pain, people, reality]",smile
8,A. Scott Berg,"When most people think of Woodrow Wilson, they see a dour minister's son who never cracked a smile, where in fact he was a man of genuine joy and great sadness.","[joy, great, man]",smile
9,Mary-Kate Olsen,"There are just some really beautiful people in the world. When you're walking down the street, or you're at a restaurant, someone catches your eye because they have their own look. It goes way beyond what they're wearing - into their mannerisms, the way they smile, or just the way they hold themselves.","[beautiful, walking, world]",smile
10,Pierre Teilhard de Chardin,"Nothing can resist the person who smiles at life - I don't mean the ironic and disillusioned smile of my grandfather, but the triumphant smile of the person who knows that he will survive, or that at least he will be saved by what seems to be destroying him.","[life, grandfather, nothing]",smile
11,Desmond Tutu,But God can only smile because only God can know what is coming next.,"[god, know, next]",smile
12,Max Eastman,A smile is the universal welcome.,"[welcome, universal]",smile
13,Washington Irving,"A kind heart is a fountain of gladness, making everything in its vicinity freshen into smiles.","[heart, kind, fountain]",smile
14,Harvey Ball,The catch phrase for the day is 'Do an act of kindness. Help one person smile.',"[kindness, day, help]",smile
15,George Eliot,Wear a smile and have friends; wear a scowl and have wrinkles.,"[friends, wrinkles, wear]",smile
16,Samuel Taylor Coleridge,"The happiness of life is made up of minute fractions - the little, soon forgotten charities of a kiss or a smile, a kind look or heartfelt compliment.","[life, happiness, kiss]",smile
17,Nhat Hanh,"Smiling is very important. If we are not able to smile, then the world will not have peace. It is not by going out for a demonstration against nuclear missiles that we can bring about peace. It is with our capacity of smiling, breathing, and being peace that we can make peace.","[peace, world, important]",smile
18,Anne Roiphe,A woman whose smile is open and whose expression is glad has a kind of beauty no matter what she wears.,"[beauty, woman, she]",smile
19,Marcus Garvey,Real men laugh at opposition; real men smile when enemies appear.,"[men, laugh, opposition]",smile
20,Julien Benda,And History will smile to think that this is the species for which Socrates and Jesus Christ died.,"[history, think, jesus]",smile
21,Kin Hubbard,"If you haven't seen your wife smile at a traffic cop, you haven't seen her smile her prettiest.","[wife, you, traffic]",smile
22,Victor Hugo,Jesus wept; Voltaire smiled. From that divine tear and from that human smile is derived the grace of present civilization.,"[grace, present, civilization]",smile
23,Christina Rossetti,Better by far you should forget and smile that you should remember and be sad.,"[sad, remember, better]",smile
24,Charles de Lint,I want to touch the heart of the world and make it smile.,"[heart, world, want]",smile
25,Arizona Muse,"I don't know why my smile has become a signature pose. I think it's a nice change. I think people want to see happiness, so a smile is what can bring that. I didn't make it my trademark on purpose.","[happiness, change, purpose]",smile
