,0,1,2,3
0,Mahatma Gandhi,"You must not lose faith in humanity. Humanity is an ocean; if a few drops of the ocean are dirty, the ocean does not become dirty.","[faith, humanity, ocean]",society
1,Lord Byron,"There is pleasure in the pathless woods, there is rapture in the lonely shore, there is society where none intrudes, by the deep sea, and music in its roar; I love not Man the less, but Nature more.","[love, music, nature]",society
2,Kofi Annan,"Knowledge is power. Information is liberating. Education is the premise of progress, in every society, in every family.","[family, education, knowledge]",society
3,Frederick Douglass,"Where justice is denied, where poverty is enforced, where ignorance prevails, and where any one class is made to feel that society is an organized conspiracy to oppress, rob and degrade them, neither persons nor property will be safe.","[justice, ignorance, poverty]",society
4,Carl Sagan,"We live in a society exquisitely dependent on science and technology, in which hardly anyone knows anything about science and technology.","[technology, science, live]",society
5,Bayard Rustin,"If we desire a society of peace, then we cannot achieve such a society through violence. If we desire a society without discrimination, then we must not discriminate against anyone in the process of building this society. If we desire a society that is democratic, then democracy must become a means as well as an end.","[peace, end, democracy]",society
6,B. R. Ambedkar,"Unlike a drop of water which loses its identity when it joins the ocean, man does not lose his being in the society in which he lives. Man's life is independent. He is born not for the development of the society alone, but for the development of his self.","[life, alone, water]",society
7,Elie Wiesel,"Without memory, there is no culture. Without memory, there would be no civilization, no society, no future.","[future, culture, memory]",society
8,Vince Lombardi,"Individual commitment to a group effort - that is what makes a team work, a company work, a society work, a civilization work.","[work, team, effort]",society
9,Margaret Mead,We won't have a society if we destroy the environment.,"[environmental, environment]",society
10,Eminem,I say what I want to say and do what I want to do. There's no in between. People will either love you for it or hate you for it.,"[love, hate, people]",society
11,Alex Haley,"Racism is taught in our society, it is not automatic. It is learned behavior toward persons with dissimilar physical characteristics.","[racism, behavior]",society
12,Bhumibol Adulyadej,A good person can make another person good; it means that goodness will elicit goodness in the society; other persons will also be good.,"[good, good person, goodness]",society
13,Alexander Hamilton,I think the first duty of society is justice.,"[justice, think, duty]",society
14,Al Sharpton,"As I often say, we have come a long way from the days of slavery, but in 2014, discrimination and inequality still saturate our society in modern ways. Though racism may be less blatant now in many cases, its existence is undeniable.","[racism, slavery]",society
15,Karl Marx,"Society does not consist of individuals but expresses the sum of interrelations, the relations within which these individuals stand.","[stand, within, which]",society
16,Noam Chomsky,"The internet could be a very positive step towards education, organisation and participation in a meaningful society.","[positive, education]",society
17,Neil Armstrong,"In much of society, research means to investigate something you do not know or understand.","[research, know, you]",society
18,John Adams,The happiness of society is the end of government.,"[happiness, end, government]",society
19,Ani DiFranco,"Patriarchy is like the elephant in the room that we don't talk about, but how could it not affect the planet radically when it's the superstructure of human society.","[elephant, talk, planet]",society
20,Nelson Mandela,"People respond in accordance to how you relate to them. If you approach them on the basis of violence, that's how they'll react. But if you say, 'We want peace, we want stability,' we can then do a lot of things that will contribute towards the progress of our society.","[peace, progress, violence]",society
21,John Lennon,"My role in society, or any artist's or poet's role, is to try and express what we all feel. Not to tell people how to feel. Not as a preacher, not as a leader, but as a reflection of us all.","[reflection, leader, people]",society
22,Nelson Mandela,"I have cherished the ideal of a democratic and free society in which all persons live together in harmony and with equal opportunities. It is an ideal which I hope to live for and to achieve. But if needs be, it is an ideal for which I am prepared to die.","[hope, together, i am]",society
23,Gloria Steinem,A gender-equal society would be one where the word 'gender' does not exist: where everyone can be themselves.,"[gender, everyone, themselves]",society
24,Keith O'Brien,Same-sex marriage would eliminate entirely in law the basic idea of a mother and a father for every child. It would create a society which deliberately chooses to deprive a child of either a mother or a father.,"[marriage, father, mother]",society
25,Camille Paglia,"I say the law should be blind to race, gender and sexual orientation, just as it claims to be blind to wealth and power. There should be no specially protected groups of any kind, except for children, the severely disabled and the elderly, whose physical frailty demands society's care.","[children, power, gender]",society
