,0,1,2,3
0,Denis Diderot,Patriotism is an ephemeral motive that scarcely ever outlasts the particular threat to society that aroused it.,"[patriotism, motive]",society
1,John Major,Society needs to condemn a little more and understand a little less.,"[understand, more, less]",society
2,Walter Lippmann,In a free society the state does not administer the affairs of men. It administers justice among men who conduct their own affairs.,"[justice, men, free]",society
3,Marian Wright Edelman,Remember and help America remember that the fellowship of human beings is more important than the fellowship of race and class and gender in a democratic society.,"[gender, america, help]",society
4,Henrik Ibsen,"What business has science and capitalism got, bringing all these new inventions into the works, before society has produced a generation educated up to using them!","[business, science]",society
5,Jude Law,"I suppose I'm intrigued with the bad traits of society, because I'm a part of society, and the bad traits pose the dangerous questions for our future.","[future, questions, bad]",society
6,Tom Hanks,"But look, I was born in 1956, the peak year for births in US history. I think I'm very representative of many of the thought processes my generation have been through and, by and large, people of my age have had their imprint planted on the consciousness of western society for a long time.","[time, history, age]",society
7,Allan Houston,We don't want to put a band-aid on our problems that we keep talking about in society; we want to get down to the nitty gritty and do some surgery.,"[problems, want, down]",society
8,Hilary Swank,"I don't think people should have boundaries put on them, by themselves or society or another gender, because it's our birthright to experience life in whatever way we feel best suits us.","[life, best, experience]",society
9,Colin Farrell,"You're scrutinized all through your life - you're scrutinized by your family, by yourself, by society, and your friends in a certain way, shape, or form.","[life, family, yourself]",society
10,Nong Duc Manh,Individual rights always go along with the interests of the society. I want to add that in Vietnam we have no political prisoners. No one is arrested or jailed for his or her speech or point of view. They are put in jail because they violated the law.,"[law, political, speech]",society
11,Shigeru Miyamoto,"Up until now, the biggest question in society about video games has been what to do about violent games. But it's almost like society in general considers video games to be something of a nuisance, that they want to toss into the garbage can.","[video games, want, question]",society
12,Dan T. Cathy,"As it relates to society in general, I think we are inviting God's judgment on our nation when we shake our fist at him and say, 'We know better than you as to what constitutes a marriage.'","[marriage, god, know]",society
13,Sally Ride,"For a long time, society put obstacles in the way of women who wanted to enter the sciences.","[time, women, obstacles]",society
14,Rand Paul,I believe we should work to end all racism in American society and staunchly defend the inherent rights of every person.,"[work, racism, end]",society
15,Rowan Atkinson,"But, actually, so many of the clerics that I've met, particularly the Church of England clerics, are people of such extraordinary smugness and arrogance and conceitedness who are extraordinarily presumptuous about the significance of their position in society.","[people, arrogance, church]",society
16,Isabel Allende,"Giving women education, work, the ability to control their own income, inherit and own property, benefits the society. If a woman is empowered, her children and her family will be better off. If families prosper, the village prospers, and eventually so does the whole country.","[family, education, work]",society
17,Daisaku Ikeda,"No one can live entirely on their own, nor can any country or society exist in isolation.","[live, isolation, country]",society
18,Michael Haneke,"Drama lives on conflict. If you're trying to deal with social issues seriously, there's no way of avoiding violence, which is so present in society.","[violence, conflict, trying]",society
19,Jessica Simpson,It's not fair that women look in the mirror and feel disgust because of what society has made them believe.,"[women, mirror, believe]",society
20,Adam Carolla,A lot of guys and people in our society think that chicks just love dudes with money. Chicks love dudes who are successful who happen to have money - do you know what I mean? Chicks are attracted to dudes that are doing their own thing.,"[love, money, people]",society
21,David Cameron,"The political system is broken, the economy is broken and so is society. That is why people are so depressed about the state of our country.","[political, people, broken]",society
22,Alice Englert,"I think that every child grows up with the ideas that what we are given, is our society. Your education, and your mother and father, they tell you this is how it is, but then you hit adolescence and you think, 'Is it? Why? Why is it like that?' Sometimes that questioning leads to something more.","[education, father, mother]",society
23,Robert Higgs,"We need to have a modicum of faith in people's common sense, creativity and will to survive and prosper even in the face of great difficulties and obstacles. If people could keep society running in the aftermath of the Black Death, they could keep it running after the U.S. government defaulted on its debt.","[death, faith, creativity]",society
24,Pratibha Patil,"Financial institutions, the corporate world and civil society - all must uphold high standards of probity in their working. Only a genuine partnership between the Government and its people can bring about positive change to create a just society.","[positive, change, government]",society
25,Liu Xiaobo,"Hatred is corrosive of a person's wisdom and conscience; the mentality of enmity can poison a nation's spirit, instigate brutal life and death struggles, destroy a society's tolerance and humanity, and block a nation's progress to freedom and democracy.","[life, wisdom, death]",society
