,0,1,2,3
0,John Glenn,"The most important thing we can do is inspire young minds and to advance the kind of science, math and technology education that will help youngsters take us to the next phase of space travel.","[education, travel, science]",space
1,Johnny Cash,"You build on failure. You use it as a stepping stone. Close the door on the past. You don't try to forget the mistakes, but you don't dwell on it. You don't let it have any of your energy, or any of your time, or any of your space.","[time, moving on, failure]",space
2,Neil deGrasse Tyson,"Do you realize that if you fall into a black hole, you will see the entire future of the Universe unfold in front of you in a matter of moments and you will emerge into another space-time created by the singularity of the black hole you just fell into?","[future, black, universe]",space
3,Stephen Hawking,"Time travel used to be thought of as just science fiction, but Einstein's general theory of relativity allows for the possibility that we could warp space-time so much that you could go off in a rocket and return before you set out.","[travel, time, science]",space
4,Marilyn Monroe,The real lover is the man who can thrill you just by touching your head or smiling into your eyes - or just by staring into space.,"[romantic, eyes, man]",space
5,Anna Freud,"We are aware only of the empty space in the forest, which only yesterday was filled with trees.","[environmental, trees, forest]",space
6,Nikola Tesla,"Modern science says: 'The sun is the past, the earth is the present, the moon is the future.' From an incandescent mass we have originated, and into a frozen mass we shall turn. Merciless is the law of nature, and rapidly and irresistibly we are drawn to our doom.","[nature, future, science]",space
7,Neil Armstrong,"That's one small step for a man, one giant leap for mankind.","[man, small, step]",space
8,Anais Nin,"Throw your dreams into space like a kite, and you do not know what it will bring back, a new life, a new friend, a new love, a new country.","[inspirational, life, love]",space
9,Ludwig Mies van der Rohe,Architecture is the will of an epoch translated into space.,"[architecture, will, epoch]",space
10,Xi Jinping,"The vast Pacific Ocean has ample space for China and the United States. We welcome a constructive role by the United States in promoting peace, stability and prosperity in the region. We also hope that the United States will fully respect and accommodate the major interests and legitimate concerns of Asia-Pacific countries.","[hope, peace, respect]",space
11,Ada Yonath,"People always talk about the implication and applications of a process, but for me, the goal is purely about knowledge. Knowledge can become practical today, in 20 years, or in 500 years. Ask Newton. He didn't know there would be space research based on his accident with the apple.","[knowledge, today, goal]",space
12,Max de Pree,"We need to give each other the space to grow, to be ourselves, to exercise our diversity. We need to give each other space so that we may both give and receive such beautiful things as ideas, openness, dignity, joy, healing, and inclusion.","[life, joy, diversity]",space
13,Stephen Hawking,We are just an advanced breed of monkeys on a minor planet of a very average star. But we can understand the Universe. That makes us something very special.,"[universe, star, special]",space
14,Mae West,Personality is the glitter that sends your little gleam across the footlights and the orchestra pit into that big black space where the audience is.,"[personality, black, audience]",space
15,Neil deGrasse Tyson,"Philosophically, the universe has really never made things in ones. The Earth is special and everything else is different? No, we've got seven other planets. The sun? No, the sun is one of those dots in the night sky. The Milky Way? No, it's one of a hundred billion galaxies. And the universe - maybe it's countless other universes.","[sky, sun, universe]",space
16,Hillary Clinton,"In almost every profession - whether it's law or journalism, finance or medicine or academia or running a small business - people rely on confidential communications to do their jobs. We count on the space of trust that confidentiality provides. When someone breaches that trust, we are all worse off for it.","[business, trust, law]",space
17,Dwayne Johnson,"WWE is a space where I thrived, and I loved, and I still do. I love connecting with an audience; that is the greatest thing about going back to WWE.","[love, greatest, loved]",space
18,Douglas Adams,"Space is big. You just won't believe how vastly, hugely, mind-bogglingly big it is. I mean, you may think it's a long way down the road to the drug store, but that's just peanuts to space.","[believe, road, down]",space
19,John Muir,"Trees go wandering forth in all directions with every wind, going and coming like ourselves, traveling with us around the sun two million miles a day, and through space heaven knows how fast and far!","[day, sun, wind]",space
20,Neil Armstrong,The important achievement of Apollo was demonstrating that humanity is not forever chained to this planet and our visions go rather further than that and our opportunities are unlimited.,"[achievement, humanity]",space
21,William S. Burroughs,After one look at this planet any visitor from outer space would say 'I want to see the manager.',"[want, look, see]",space
22,Nikola Tesla,The feeling is constantly growing on me that I had been the first to hear the greeting of one planet to another.,"[me, feeling, growing]",space
23,Cat Stevens,"When many astronauts go to space, they see the insignificant size of the earth and vastness of space, and they become very religious, because they have seen the Signs of Allah.","[earth, allah, see]",space
24,Buzz Aldrin,"I think humans will reach Mars, and I would like to see it happen in my lifetime.","[happen, mars, think]",space
25,Elon Musk,"In order for us to have a future that's exciting and inspiring, it has to be one where we're a space-bearing civilization.","[future, civilization, us]",space
