,0,1,2,3
0,Michael Jordan,"I've missed more than 9000 shots in my career. I've lost almost 300 games. 26 times, I've been trusted to take the game winning shot and missed. I've failed over and over and over again in my life. And that is why I succeed.","[life, winning, career]",sports
1,Mario Lopez,"There's three things men always talk about - women, sports, and cars.","[women, car, men]",sports
2,Michael Jordan,Just play. Have fun. Enjoy the game.,"[fun, game, enjoy]",sports
3,Vince Lombardi,Winners never quit and quitters never win.,"[win, winners, quit]",sports
4,Michael Jordan,"The game of basketball has been everything to me. My place of refuge, place I've always gone where I needed comfort and peace. It's been the site of intense pain and the most intense feelings of joy and satisfaction. It's a relationship that has evolved over time, given me the greatest respect and love for the game.","[love, relationship, time]",sports
5,Bobby Unser,Success is where preparation and opportunity meet.,"[success, opportunity]",sports
6,Carl Lewis,The best kids are going to become the best. But the best thing about it is that you're going to learn lessons in playing those sports about winning and losing and teamwork and teammates and arguments and everything else that are going to affect you positively for the rest of your life.,"[life, best, teamwork]",sports
7,Paul Walker,"I live by 'Go big or go home.' That's with everything. It's like either commit and go for it or don't do it at all. I apply that to everything. I apply that to relationships, I apply that to like sports, I apply that to everything. That's what I live by. That's how I like it.","[home, live, relationships]",sports
8,Robert Griffin III,Football is football and talent is talent. But the mindset of your team makes all the difference.,"[team, football, talent]",sports
9,Bill Veeck,There are only two seasons - winter and Baseball.,"[winter, baseball, seasons]",sports
10,Henry David Thoreau,Many men go fishing all of their lives without knowing that it is not fish they are after.,"[men, fishing, fish]",sports
11,Apolo Ohno,"It is not up to me whether I win or lose. Ultimately, this might not be my day. And it is that philosophy towards sports, something that I really truly live by. I am emotional. I want to win. I am hungry. I am a competitor. I have that fire. But deep down, I truly enjoy the art of competing so much more than the result.","[art, deep, day]",sports
12,Gordie Howe,All hockey players are bilingual. They know English and profanity.,"[hockey, know, english]",sports
13,Bob Feller,"Every day is a new opportunity. You can build on yesterday's success or put its failures behind and start over again. That's the way life is, with a new game every day, and that's the way baseball is.","[life, success, opportunity]",sports
14,Steven Van Zandt,"Band members have a special bond. A great band is more than just some people working together. It's like a highly specialized army unit, or a winning sports team. A unique combination of elements that becomes stronger together than apart.","[working together, great]",sports
15,Billie Jean King,Champions keep playing until they get it right.,"[champions, right, get]",sports
16,Vince Lombardi,"Winning is habit. Unfortunately, so is losing.","[winning, losing, habit]",sports
17,Michael Phelps,"You can't put a limit on anything. The more you dream, the farther you get.","[dream, limit, you]",sports
18,Rodney Dangerfield,"I went to a fight the other night, and a hockey game broke out.","[hockey, night, fight]",sports
19,Mark Twain,It's good sportsmanship to not pick up lost golf balls while they are still rolling.,"[good, golf, lost]",sports
20,Babe Ruth,"The way a team plays as a whole determines its success. You may have the greatest bunch of individual stars in the world, but if they don't play together, the club won't be worth a dime.","[success, stars, together]",sports
21,Casey Stengel,Finding good players is easy. Getting them to play as a team is another story.,"[good, team, easy]",sports
22,Rogers Hornsby,People ask me what I do in winter when there's no baseball. I'll tell you what I do. I stare out the window and wait for spring.,"[winter, baseball, people]",sports
23,Dan Quayle,Bobby Knight told me this: 'There is nothing that a good defense cannot beat a better offense.' In other words a good offense wins.,"[good, words, me]",sports
24,Hunter S. Thompson,"When the going gets weird, the weird turn pro.","[weird, turn, going]",sports
25,Mia Hamm,"I am building a fire, and everyday I train, I add more fuel. At just the right moment, I light the match.","[light, fire, i am]",sports
