,0,1,2,3
0,Victoria Pendleton,"It would be great to be recognised for my achievements, but Sports Personality isn't about that.","[great, personality]",sports
1,George R. R. Martin,"Believe it or not, I worked four summers in college as a sports writer covering baseball for a parks and rec department in Bayonne, N.J.","[college, baseball, believe]",sports
2,Russell Crowe,"The Americans love Aussies, but they're actually quite afraid of us at the same time because they think we're insane. Then they see our sports - league, union, and AFL - and that makes them even more worried.","[love, time, think]",sports
3,Chrissy Teigen,"When we do 'Sports Illustrated,' it starts the night before. You do a St. Tropez tan that night, then baby oil gel, then body color.","[baby, color, night]",sports
4,George Vecsey,"Some anthems are great for sports. You've got the Russian national anthem... 'O Canada,' how wonderful is that for hockey... but I chose the Italian national song because at my first World Cup, I saw the Italians play four times, and they won all four times - they won the championship.","[great, hockey, world]",sports
5,George Vecsey,"I would never tell anybody to give up hockey - the great sports we have here - basketball, lacrosse - rugby coming into its own - we've got so many great team sports, and I say hold on to them.","[great, team, hockey]",sports
6,George Vecsey,There may not be much future for the kind of sports column I did.,"[future, may, kind]",sports
7,George Vecsey,"I know, I know - men have that extra hero gene in their foolish makeup; it's part of our charm. But I happen to know some women who have their inner sports hero, too.","[women, hero, men]",sports
8,George Vecsey,"When I was a kid, my father brought home the autobiography of Sid Luckman, the great Chicago Bears quarterback - probably an extra copy from the sports department where he worked. It was the first sports biography I ever read.","[home, father, great]",sports
9,George Vecsey,"This occasional sports columnist, who has been to his share of Super Bowls, had been glad to be home on Super Bowl Sunday, but the scary commercials made me want to be in the melee of the arena, where you are not aware of commercials.","[home, me, want]",sports
10,George Vecsey,"Television is making sports universal; for the same reason, big-time soccer is growing more popular in the United States.","[soccer, television, reason]",sports
11,George Vecsey,I will always treasure the privilege of writing the 'Sports of The Times' column.,"[writing, privilege, always]",sports
12,George Vecsey,"In recent generations, women's sports have been a blessing. Some of us can remember the bad old days in the '50s, when we would discover in casual schoolyard play that a girl could outrun most of us or hold her own in basketball or hit a softball - but there were no teams, no coaches, for girls.","[women, girl, basketball]",sports
13,George Vecsey,"Some religious guys in sports give the impression, 'I've got something you don't have.'","[you, something, impression]",sports
14,George Vecsey,"Some of the most inspiring moments in sports have come from players with physical defects. Tom Dempsey, born without toes on his right foot, kicked a 63-yard field goal in 1970, using a straighter, wider shoe.","[goal, moments, shoe]",sports
15,George Vecsey,Youth sports could not exist without millions of volunteers and modestly paid coaches who teach our children how to skate and catch and dribble and also how to get along with others.,"[children, youth, teach]",sports
16,George Vecsey,"Hockey suffers from being compared to itself in ways that other sports are not. Every four years, some of us fawn over Olympic hockey, a great event with bigger rinks, minimal goonishness and national pride in addition to the heightened skills of veritable all-star squads.","[great, pride, hockey]",sports
17,Shelly-Ann Fraser-Pryce,"I remember running at school sports day, and I would win everything, but I wasn't a super athlete or a superstar at high school.","[school, day, athlete]",sports
18,Kevin Plank,The sports apparel industry was dominated by the big shoe companies. But there was a void in apparel and I decided to fill it.,"[shoe, big, apparel]",sports
19,M. J. Rose,"Don't use your advance to buy an antique sports car, diamonds by the yard, or a bottle of wine from Thomas Jefferson's cellar instead of investing in your book.","[car, wine, book]",sports
20,Christie Brinkley,"I photographed all kinds of sports - Formula 1, Formula Atlantic. And anybody who knows me knows that, from the day they invented video cameras, I used to lug them around when you had to carry the pack here and the big camera here, plus the diaper bag and a baby and the purse or whatever.","[day, baby, me]",sports
21,Christie Brinkley,"I remember my first 'Sports Illustrated' shoot was with the photographer Walter Iooss, and Julie Campbell was the editor, and we were at the president of Mexico's private house in Cancun - this was before anything else that's now in Cancun even existed. And they told me to get a tan, so I spent all morning in the sun, and I was burnt.","[morning, sun, me]",sports
22,Christie Brinkley,"When doing sports... on the water, it's crucial to stop aging by protecting your skin.","[water, doing, stop]",sports
23,Greg Rutherford,People forget that track and field is one of the hardest sports because we compete against all the world. There are many sports when you are up against only 15 or 20 countries.,"[world, people, forget]",sports
24,Greg Rutherford,"I was quite lucky: although my dad worked a lot, whenever he was free, he would play sports with me and my brother, and I can't wait to do that with my child.","[dad, brother, me]",sports
25,Greg Rutherford,"It will be good fun finding out what sport baby's good at; perhaps it will be something obscure. My parents were fantastic at taking me to training sessions and letting me try lots of different sports, so I want to do the same.","[good, parents, training]",sports
