,0,1,2,3
0,Lou Holtz,"Sacrifice, discipline and prayer are essential. We gain strength through God's word. We receive grace from the sacrament. And when we fumble due to sin - and it's gonna happen - confession puts us back on the field.","[god, prayer, sacrifice]",strength
1,Bobby Bowden,Faith is the most important thing in the world to me. It's the greatest strength I've had. It's helped me get through the hard times. You're not going to win every one of your football games. I've always said I'm not going to make football my god. A lot of coaches put so much into coaching football games that they have nothing left.,"[god, faith, greatest]",strength
2,Lea Thompson,"'Howard The Duck' has a lot of fans, and usually when they come up to me, I just think they're the coolest. Because it takes a lot of strength, a lot of perseverance to love 'Howard the Duck.'","[love, perseverance, me]",strength
3,Mark McGwire,The only reason I took steroids was for my health purposes. I did not take steroids to get any gain for any strength purposes.,"[health, steroids, reason]",strength
4,Patti Davis,"It takes strength to make your way through grief, to grab hold of life and let it pull you forward.","[life, grief, forward]",strength
5,Dave Gahan,"I think there's a great strength in having the courage and also having the support to do what you want to do when you're an artist in any way, shape or form.","[courage, great, support]",strength
6,Emilia Clarke,I think the reason why strong women have such a powerful impact is that you've got the strength of a man with the heart and sensitivity of a woman.,"[women, heart, strong]",strength
7,W. E. B. Du Bois,"I believe in the Prince of Peace. I believe that War is Murder. I believe that armies and navies are at bottom the tinsel and braggadocio of oppression and wrong, and I believe that the wicked conquest of weaker and darker nations by nations whiter and stronger but foreshadows the death of that strength.","[death, peace, war]",strength
8,Janelle Monae,I believe it's time that women truly owned their superpowers and used their beauty and strength to change the world around them.,"[change, time, beauty]",strength
9,Michael Korda,"The freedom to fail is vital if you're going to succeed. Most successful people fail from time to time, and it is a measure of their strength that failure merely propels them into some new attempt at success.","[success, time, freedom]",strength
10,Michael Enzi,"When terrorists attacked the symbols of our national unity and strength, they failed to realize that they were just symbols of our strength. The real strength of our nation comes from our people - not our buildings.","[unity, people, buildings]",strength
11,Saint Bernard,"Truly, love is delightful and pleasant food, supplying, as it does, rest to the weary, strength to the weak, and joy to the sorrowful. It in fact renders the yoke of truth easy and its burden light.","[love, food, light]",strength
12,Guy Verhofstadt,Where do you find the strength to brave a barrage of enemy fire and to bring your wounded friends to safety at great risk to your own life? Conviction.,"[life, great, fire]",strength
13,Jamie Kennedy,"I'd like to be a wounded leading man. Instead of a pillar of strength, I'd be the scared one.","[man, scared, like]",strength
14,J. C. Watts,It doesn't take a lot of strength to hang on. It takes a lot of strength to let go.,"[let go, hang, go]",strength
15,Lao Tzu,He who conquers others is strong; He who conquers himself is mighty.,"[strong, others, conquers]",strength
16,Ovid,Endure and persist; this pain will turn to good by and by.,"[good, pain, turn]",strength
17,Robert E. Lee,"In all my perplexities and distresses, the Bible has never failed to give me light and strength.","[light, me, bible]",strength
18,William Ellery Channing,"Difficulties are meant to rouse, not discourage. The human spirit is to grow strong by conflict.","[strong, conflict, grow]",strength
19,Helen Keller,Faith is the strength by which a shattered world shall emerge into the light.,"[light, faith, world]",strength
20,William Wordsworth,"That though the radiance which was once so bright be now forever taken from my sight. Though nothing can bring back the hour of splendor in the grass, glory in the flower. We will grieve not, rather find strength in what remains behind.","[flower, sympathy, find]",strength
21,Katharine Hepburn,My greatest strength is common sense. I'm really a standard brand - like Campbell's tomato soup or Baker's chocolate.,"[greatest, chocolate]",strength
22,Carly Fiorina,"My mother taught me about the power of inspiration and courage, and she did it with a strength and a passion that I wish could be bottled.","[courage, mom, power]",strength
23,Mariah Carey,"You really have to look inside yourself and find your own inner strength, and say, 'I'm proud of what I am and who I am, and I'm just going to be myself.'","[myself, i am, yourself]",strength
24,Marquis de Sade,"Lust is to the other passions what the nervous fluid is to life; it supports them all, lends strength to them all ambition, cruelty, avarice, revenge, are all founded on lust.","[life, revenge, ambition]",strength
25,Zygmunt Bauman,"The carrying power of a bridge is not the average strength of the pillars, but the strength of the weakest pillar. I have always believed that you do not measure the health of a society by GNP but by the condition of its worst off.","[health, power, society]",strength
