,0,1,2,3
0,Charlotte Bronte,Men judge us by the success of our efforts. God looks at the efforts themselves.,"[god, men, judge]",success
1,Pierre de Coubertin,Success comprises in itself the seeds of its own decline and sport is not spared by this law.,"[law, seeds, own]",success
2,Desiderius Erasmus,"Whether a party can have much success without a woman present I must ask others to decide, but one thing is certain, no party is any fun unless seasoned with folly.","[woman, fun, party]",success
3,Bo Bennett,"Success is not in what you have, but who you are.","[you, success is, who]",success
4,Alan Greenspan,"I have found no greater satisfaction than achieving success through honest dealing and strict adherence to the view that, for you to gain, those you deal with should gain as well.","[achieving, you, satisfaction]",success
5,Nelson Boswell,The first and most important step toward success is the feeling that we can succeed.,"[step, succeed, important]",success
6,Victor Kiam,"Entrepreneurs are risk takers, willing to roll the dice with their money or reputation on the line in support of an idea or enterprise. They willingly assume responsibility for the success or failure of a venture and are answerable for all its facets.","[money, failure]",success
7,Karen Armstrong,"Mohammed was not an apparent failure. He was a dazzling success, politically as well as spiritually, and Islam went from strength to strength to strength.","[strength, failure, islam]",success
8,Alain de Botton,"I passionately believe that's it's not just what you say that counts, it's also how you say it - that the success of your argument critically depends on your manner of presenting it.","[believe, argument, you]",success
9,Jane Rule,My private measure of success is daily. If this were to be the last day of my life would I be content with it? To live in a harmonious balance of commitments and pleasures is what I strive for.,"[life, daily, day]",success
10,Loretta Young,Success can't be forced.,[forced],success
11,Arthur Henderson,"The first condition of success for the League of Nations is, therefore, a firm understanding between the British Empire and the United States of America and France and Italy that there will be no competitive building up of fleets or armies between them.","[america, building, italy]",success
12,Dennis Prager,Liberals tend to put the onus of your success on society and conservatives on you and your family.,"[family, society, you]",success
13,David Attenborough,Many individuals are doing what they can. But real success can only come if there is a change in our societies and in our economics and in our politics.,"[change, politics, economics]",success
14,Moira Kelly,"I did everything I could to stay in college and pay my own way, so I think that if success hadn't come so quickly, I would still be pursuing it.","[college, think, way]",success
15,Michael Bergdahl,Wal-Mart's success strategies and tactics are easy to understand yet hard to duplicate.,"[easy, understand, wal-mart]",success
16,Steven Curtis Chapman,"Success breeds volume, and it's just amazing how many young writers, artists, and musicians there are in town.","[amazing, musicians, young]",success
17,Kelly Jones,We didn't really want to be an overnight success as that brings with it its own problems.,"[problems, want]",success
18,Alan Rickman,"I want to swim in both directions at once. Desire success, court failure.","[failure, want, desire]",success
19,Edward Thorndike,"It will, of course, be understood that directly or indirectly, soon or late, every advance in the sciences of human nature will contribute to our success in controlling human nature and changing it to the advantage of the common weal.","[nature, late, human nature]",success
20,Herbert Read,"My own early experiences in war led me to suspect the value of discipline, even in that sphere where it is so often regarded as the first essential for success.","[war, discipline, value]",success
21,Isabelle Adjani,One is never ready for success. It consecrates and looses you at the same time.,"[time, you, same]",success
22,Herschel Walker,"I was a little different. I still say I'm a little different, because success to me is not having the most money, or having the biggest car or the biggest house.","[money, car, me]",success
23,Amy Tan,It's both rebellion and conformity that attack you with success.,"[rebellion, conformity, you]",success
24,Brian De Palma,"When you make a movie outside the system and it's successful critically or a moderate financial success, you usually have to go back into the system and make a big hit.","[successful, financial, you]",success
25,Jim Harrison,Success and money can really be quite blinding.,"[money, blinding, really]",success
