,0,1,2,3
0,Norman Cousins,Death is not the greatest loss in life. The greatest loss is what dies inside us while we live.,"[life, death, greatest]",sympathy
1,Albert Schweitzer,"The purpose of human life is to serve, and to show compassion and the will to help others.","[life, help others]",sympathy
2,Thomas Bailey Aldrich,"What is lovely never dies, But passes into other loveliness.","[lovely, never, other]",sympathy
3,Aeschylus,There is no pain so great as the memory of joy in present grief.,"[joy, great, memory]",sympathy
4,Juliette Gordon Low,"Badges mean nothing in themselves, but they mark a certain achievement and they are a link between the rich and the poor. For when one girl sees a badge on a sister Scout's arm, if that girl has won the same badge, it at once awakens an interest and sympathy between them.","[achievement, sister, girl]",sympathy
5,Saint Augustine,What does love look like? It has the hands to help others. It has the feet to hasten to the poor and needy. It has eyes to see misery and want. It has the ears to hear the sighs and sorrows of men. That is what love looks like.,"[love, eyes, help others]",sympathy
6,Keanu Reeves,"Grief changes shape, but it never ends.","[grief, changes, never]",sympathy
7,Billy Graham,"No matter how prepared you think you are for the death of a loved one, it still comes as a shock, and it still hurts very deeply.","[death, loved, think]",sympathy
8,Morrie Schwartz,"After you have wept and grieved for your physical losses, cherish the functions and the life you have left.","[life, you, cherish]",sympathy
9,Laura Ingalls Wilder,"Remember me with smiles and laughter, for that is how I will remember you all. If you can only remember me with tears, then don't remember me at all.","[laughter, me, remember]",sympathy
10,Thomas Aquinas,"Sorrow can be alleviated by good sleep, a bath and a glass of wine.","[good, sleep, wine]",sympathy
11,William Butler Yeats,"Come away, O human child: To the waters and the wild with a fairy, hand in hand, For the world's more full of weeping than you can understand.","[world, child, you]",sympathy
12,Confucius,"We should feel sorrow, but not sink under its oppression.","[oppression, feel, sorrow]",sympathy
13,Harriet Beecher Stowe,Any mind that is capable of real sorrow is capable of good.,"[good, mind, real]",sympathy
14,Cristiano Ronaldo,"When you lose a person you love so much, surviving the loss is difficult.","[love, loss, difficult]",sympathy
15,Angelina Grimke,"Women ought to feel a peculiar sympathy in the colored man's wrong, for, like him, she has been accused of mental inferiority, and denied the privileges of a liberal education.","[education, women, man]",sympathy
16,Emma Goldman,"No one has yet realized the wealth of sympathy, the kindness and generosity hidden in the soul of a child. The effort of every true education should be to unlock that treasure.","[education, kindness, effort]",sympathy
17,Davy Crockett,We must not permit our respect for the dead or our sympathy for the living to lead us into an act of injustice to the balance of the living.,"[respect, balance, injustice]",sympathy
18,Eric Schlosser,"One might expect that the families of murder victims would be showered with sympathy and support, embraced by their communities. But in reality they are far more likely to feel isolated, fearful, and ashamed, overwhelmed by grief and guilt, angry at the criminal-justice system, and shunned by their old friends.","[old friends, support]",sympathy
19,Emily Dickinson,"Unable are the loved to die, for love is immortality.","[love, love is, die]",sympathy
20,Haruki Murakami,You are 27 or 28 right? It is very tough to live at that age. When nothing is sure. I have sympathy with you.,"[age, tough, live]",sympathy
21,Anne Sullivan,Children require guidance and sympathy far more than instruction.,"[children, guidance]",sympathy
22,Dante Alighieri,There is no greater sorrow than to recall happiness in times of misery.,"[happiness, sorrow, misery]",sympathy
23,Meister Eckhart,"Truly, it is in darkness that one finds the light, so when we are in sorrow, then this light is nearest of all to us.","[light, darkness, sorrow]",sympathy
24,Tara Brach,"If our hearts are ready for anything, we can open to our inevitable losses, and to the depths of our sorrow. We can grieve our lost loves, our lost youth, our lost health, our lost capacities. This is part of our humanness, part of the expression of our love for life.","[life, love, health]",sympathy
25,Robert Browning,Autumn wins you best by this its mute appeal to sympathy for its decay.,"[best, autumn, you]",sympathy
